,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.8333333333333334,0.9293726118575126,15.0,3.0,1.0460999922288179,1.125272982987222
1,01_01_a0101135010000300031z,0.3333333333333333,0.15155075187969924,41.0,18.0,1.0043289280508765,0.8185847046999225
2,01_01_a0101135010000300042z,0.3333333333333333,0.30143862283167666,40.0,20.0,1.0132447850324846,0.8435885823180754
3,01_01_a0101135010001100026z,0.16666666666666666,0.2750928138102265,52.0,23.0,1.007737319116924,0.8044472658493813
4,01_01_a0101135010001100037z,0.16666666666666666,0.27149529898191804,52.0,23.0,1.008330145098263,0.8017807316563639
5,01_01_A0101135010001900032z,0.3333333333333333,0.4088075363625828,41.0,20.0,0.1576075814223057,0.8792090990730153
6,01_01_A0101135010001900041z,0.3333333333333333,0.234833718001808,53.0,24.0,0.14986327002699826,0.7991447678911439
7,01_01_a0101135010002200032A,0.3333333333333333,0.141225299120036,39.0,22.0,1.0034078818359642,0.9313593608636824
8,01_01_a0101135010002200032B,0.3333333333333333,0.32370940776762913,46.0,22.0,1.0091611515648715,0.8396056236808863
9,01_01_a0101135010002200032D,0.3333333333333333,0.380609151555359,46.0,25.0,1.0102741111841371,0.8817374993864792
10,01_01_A0101135010002600058a,0.16666666666666666,0.24674136833095814,80.0,40.0,0.15901926736737465,0.9170922897915168
11,01_01_A0101135010002600058b,0.16666666666666666,0.1789991806439175,59.0,26.0,0.14836528976363736,0.7858568088795799
12,01_01_A0101135010002600058c,0.16666666666666666,0.1789991806439175,59.0,26.0,0.15098708229619542,0.7964598137872433
13,01_01_A0101135010002600066z,0.16666666666666666,0.1204519419197646,61.0,27.0,0.1633644988564321,0.8766068174994908
14,01_01_a0101135010002600076z,0.16666666666666666,0.21671365914786966,82.0,45.0,0.186565379233027,0.8544933791603175
15,01_01_a0101135010002600077z,0.5,0.335954342072199,31.0,18.0,1.0103982962569888,0.8819472275849563
16,01_01_a0101135010003000030z,0.5,0.0638693507963457,32.0,15.0,1.0053633497985273,0.8652381825171885
17,01_01_a0101135010003000032z,0.3333333333333333,0.040318186771275966,41.0,16.0,1.0111771942642451,0.7804913714029529
18,01_01_A0101135010003800014z,0.5,0.44367101499331374,29.0,15.0,1.749900249744759,1.285140450923541
19,01_01_a0101135010004900033A,0.3333333333333333,0.32226368669156114,32.0,18.0,1.0076420313753207,0.8080965599750595
20,01_01_a0101135010004900038z,0.3333333333333333,0.3733069203180365,38.0,22.0,1.0073674239017802,0.8882663746298748
