,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,0.8263817934989421,23.0,11.0,1.7477254188813478,1.2327139773462472
1,01_01_a0101135010000300031z,0.5,0.07644006647887125,28.0,19.0,1.0016254981915491,0.7282615119879134
2,01_01_a0101135010000300042z,0.6666666666666666,0.4044294411902472,30.0,19.0,1.004412934666841,0.9944033401859076
3,01_01_a0101135010001100026z,0.3333333333333333,0.48745863216879703,48.0,21.0,1.0040544768604052,0.9599729666574156
4,01_01_a0101135010001100037z,0.3333333333333333,0.4838611173404885,48.0,21.0,1.0040603492525637,0.95970572698191
5,01_01_A0101135010001900032z,0.5,0.5117983547211533,38.0,22.0,1.0036975834245636,1.0025228549639202
6,01_01_A0101135010001900041z,0.5,0.3212821003567625,50.0,26.0,1.0059909044415012,0.8758876797541391
7,01_01_a0101135010002200032A,0.6666666666666666,0.07114051923853447,25.0,12.0,1.001997128330776,0.794246154607583
8,01_01_a0101135010002200032B,0.6666666666666666,0.40428141059094136,33.0,13.0,1.004874783414817,0.9125597378850754
9,01_01_a0101135010002200032D,0.6666666666666666,0.4098816668032115,31.0,15.0,1.002905806155677,0.9057971167758148
10,01_01_A0101135010002600058a,0.3333333333333333,0.3406244500276123,80.0,40.0,1.0070431880823636,1.1225951459842465
11,01_01_A0101135010002600058b,0.5,0.23649163771465295,62.0,28.0,1.0054274039351858,0.9936255602259028
12,01_01_A0101135010002600058c,0.5,0.23649163771465295,62.0,28.0,1.006025354308563,1.0080661263516937
13,01_01_A0101135010002600066z,0.3333333333333333,0.09191387643880587,67.0,32.0,1.0068978808190985,0.9258502318177316
14,01_01_a0101135010002600076z,0.3333333333333333,0.051222840789299166,84.0,43.0,1.010578956104337,0.8256305412394888
15,01_01_a0101135010002600077z,0.5,0.1576614762863715,24.0,13.0,1.4193638721324655,0.8012282226066914
16,01_01_a0101135010003000030z,0.6666666666666666,0.1484964675622248,28.0,15.0,1.4155766902193827,0.8315026320742269
17,01_01_a0101135010003000032z,0.8333333333333334,0.2526840051298465,21.0,11.0,1.006402524574492,0.9801911014638521
18,01_01_A0101135010003800014z,0.5,0.34068019663474325,34.0,16.0,2.010694376541041,1.1836700464013277
19,01_01_a0101135010004900033A,0.8333333333333334,0.4994771316670094,20.0,13.0,1.0044154983839386,0.8344316178454834
20,01_01_a0101135010004900038z,0.6666666666666666,0.44843389804053396,30.0,12.0,1.0034731215212809,0.8793630589275075
21,01_01_a0101135010004900043z,0.6666666666666666,0.3964166876390613,38.0,18.0,1.0020698958532994,0.8478175870754316
22,01_01_a0101135010005200042z,0.5,0.15477369689110876,62.0,27.0,1.0091786766210364,0.9337567872833596
23,01_01_a0101135010005200043z,0.5,0.23442020396949045,57.0,19.0,1.0049379058327292,0.984957231195852
24,01_01_a0101135010005200054z,0.5,0.3692406821484801,72.0,29.0,1.0066451452107117,0.8892750025374928
25,01_01_a0101135010005600032z,0.6666666666666666,0.4631067438499755,46.0,19.0,1.0026234573214263,0.9208608133390648
26,01_01_A0101135080001200060z,0.5,0.3252609978834697,58.0,24.0,1.006188023739488,0.9799454296024468
27,01_01_a0101135080001400034z,0.5,0.5606812515334767,38.0,16.0,1.003917591557145,0.9829358190468298
28,01_01_a0101135080001800024A,0.5,0.051152837697797326,35.0,17.0,1.0016085182438594,0.7412487577999043
29,01_01_a0101135080001800034z,0.5,0.5597145241748354,41.0,19.0,1.0037296564338238,1.074845084752151
30,01_01_a0101135080002300017z,0.3333333333333333,0.15824375787160894,38.0,22.0,2.0059283392546883,1.0739596210255715
31,01_01_a0101135080002300020z,0.3333333333333333,0.1570319179376155,41.0,22.0,2.00591323453862,1.0790920791065541
32,01_01_A0101135080004400016z,0.5,0.6904850178287565,34.0,16.0,2.009837745465404,1.3838319440285012
