,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,0.8796122162536204,34.0,16.0,1.7464097228889934,1.2844442323361396
1,01_01_a0101135010000300031z,1.0,0.08616535627580701,12.0,8.0,0.04360088623201912,0.7094012733468934
2,01_01_a0101135010000300042z,0.6666666666666666,0.3511990184355689,25.0,12.0,1.0044991086521675,0.8081835624589837
3,01_01_a0101135010001100026z,0.6666666666666666,0.3248532094141187,35.0,10.0,0.09210780695128434,0.7901470954174438
4,01_01_a0101135010001100037z,0.6666666666666666,0.3212556945858103,35.0,10.0,0.08722649489312001,0.7846047457145959
5,01_01_A0101135010001900032z,0.8333333333333334,0.48981793196647494,32.0,12.0,0.08188438394240315,0.8194422186654323
6,01_01_A0101135010001900041z,0.6666666666666666,0.26805167760208426,39.0,20.0,0.11884672127463596,0.7743422233100911
7,01_01_a0101135010002200032A,0.8333333333333334,0.09146490351614378,14.0,7.0,1.0008004756820228,0.5395557149793606
8,01_01_a0101135010002200032B,0.6666666666666666,0.3510509878362631,31.0,8.0,1.0010417482385028,0.6757441801431376
9,01_01_a0101135010002200032D,0.6666666666666666,0.3254012440485332,23.0,10.0,1.0005269293973331,0.5413466013615114
10,01_01_A0101135010002600058a,0.5,0.3186440272729341,64.0,36.0,0.09153775576467006,0.9802460129229896
11,01_01_A0101135010002600058b,0.5,0.21451121495997472,52.0,26.0,1.0046127623690442,0.8584078916170466
12,01_01_A0101135010002600058c,0.5,0.21451121495997472,52.0,26.0,1.00452135209211,0.8613578347045593
13,01_01_A0101135010002600066z,0.5,0.07069154631587238,57.0,27.0,0.13272773245741154,0.8172015154090948
14,01_01_a0101135010002600076z,0.3333333333333333,0.16695326354397744,72.0,37.0,0.09797971381739322,0.954780238453908
15,01_01_a0101135010002600077z,0.5,0.2861939464683068,29.0,17.0,1.4199126851156063,0.905244268868456
16,01_01_a0101135010003000030z,0.6666666666666666,0.017141044807546524,30.0,13.0,1.4151696083752434,0.5420915692800073
17,01_01_a0101135010003000032z,0.6666666666666666,0.1213285823751682,22.0,12.0,1.4167818313373444,0.7563387567974277
18,01_01_A0101135010003800014z,0.3333333333333333,0.3939106193894215,49.0,25.0,2.0132713227594916,1.2464545594759489
19,01_01_a0101135010004900033A,0.6666666666666666,0.3681217089123311,24.0,12.0,1.4145777692897559,0.7175443208145732
