,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.6666666666666666,0.7103852264835426,25.0,12.0,1.4180172619510554,0.9471752367306702
1,01_01_a0101135010000300031z,0.6666666666666666,0.3174366334942708,29.0,11.0,0.15170522925236726,0.8338813737677528
2,01_01_a0101135010000300042z,0.6666666666666666,0.5204260082056467,29.0,10.0,0.16009948245564978,0.8454932911591311
3,01_01_a0101135010001100026z,0.3333333333333333,0.7284551991841965,42.0,18.0,0.1310130929675214,1.0339464444396458
4,01_01_a0101135010001100037z,0.3333333333333333,0.7248576843558879,42.0,18.0,0.12610382104699544,1.028727674786205
5,01_01_A0101135010001900032z,0.5,0.6277949217365528,31.0,17.0,0.11956686487428073,0.91981564848278
6,01_01_A0101135010001900041z,0.3333333333333333,0.437278667372162,44.0,21.0,0.1626914419828855,0.9546067257278764
7,01_01_a0101135010002200032A,0.5,0.31213708625393394,29.0,13.0,1.0077592087239813,0.7481417528934707
8,01_01_a0101135010002200032B,0.5,0.5202779776063409,35.0,16.0,1.0071878660539884,0.9498583208350684
9,01_01_a0101135010002200032D,0.5,0.650878233818611,36.0,17.0,1.0127154030788141,0.825185313219468
10,01_01_A0101135010002600058a,0.3333333333333333,0.4566210170430118,72.0,42.0,0.10745314162013428,1.1140278801486918
11,01_01_A0101135010002600058b,0.5,0.3524882047300525,54.0,27.0,0.15147177673932805,1.1070341290702488
12,01_01_A0101135010002600058c,0.5,0.3524882047300525,54.0,27.0,0.14812420014657066,1.1121106793582722
13,01_01_A0101135010002600066z,0.16666666666666666,0.3329104434542054,67.0,33.0,0.15137356893885906,0.9897465792510116
14,01_01_a0101135010002600076z,0.16666666666666666,0.23664872622610034,78.0,38.0,0.11409668438934192,1.066620270663054
15,01_01_a0101135010002600077z,0.5,0.273658043301771,29.0,15.0,1.4279204314897642,1.009485621076361
16,01_01_a0101135010003000030z,0.5,0.3894930345776243,21.0,12.0,1.4207111995948076,0.6152627092335777
17,01_01_a0101135010003000032z,0.6666666666666666,0.493680572145246,22.0,9.0,1.0110410754254198,0.9169151185580358
18,01_01_A0101135010003800014z,0.5,0.22468362961934374,41.0,19.0,1.7585969575929228,1.1636729717381544
19,01_01_a0101135010004900033A,0.6666666666666666,0.7404736986824089,27.0,12.0,1.01076203030405,0.9726568498211676
20,01_01_a0101135010004900038z,0.5,0.6894304650559335,29.0,14.0,1.0122257248074662,0.9361339992652438
21,01_01_a0101135010004900043z,0.3333333333333333,0.6374132546544607,41.0,17.0,1.0163857491737602,0.9182912466848729
22,01_01_a0101135010005200042z,0.5,0.39577026390650827,56.0,24.0,0.20681430719053892,1.0200393900105094
23,01_01_a0101135010005200043z,0.5,0.4754167709848899,47.0,21.0,0.1944426582294013,1.077249834522067
24,01_01_a0101135010005200054z,0.3333333333333333,0.4852372491638796,60.0,28.0,0.11569940588403285,0.9416501207083458
25,01_01_a0101135010005600032z,0.3333333333333333,0.579103310865375,43.0,16.0,1.017553343868353,0.95930868227099
26,01_01_A0101135080001200060z,0.5,0.4412575648988693,49.0,20.0,0.21511633334778607,0.9799981235282651
27,01_01_a0101135080001400034z,0.6666666666666666,0.8016778185488762,34.0,10.0,0.13788001842380426,1.1431978580085678
28,01_01_a0101135080001800024A,0.6666666666666666,0.2523437293176022,31.0,13.0,0.12176799763645935,0.8529734771153664
29,01_01_a0101135080001800034z,0.5,0.6757110911902349,34.0,13.0,0.14231458810052866,0.9502274067475112
30,01_01_a0101135080002300017z,0.5,0.14525280914379055,36.0,16.0,1.4354694232596548,0.9522764151746712
31,01_01_a0101135080002300020z,0.5,0.130839649077784,33.0,16.0,1.4354088647522036,0.9510044216546052
32,01_01_A0101135080004400016z,0.5,0.5744884508133571,41.0,19.0,1.7487579561430886,1.358071266449863
33,01_01_A0101135080004400020z,0.8333333333333334,0.3428738575968232,25.0,14.0,1.0286863257117944,0.9989343176250456
34,01_01_A0101135080004400021z,0.6666666666666666,0.39491947479971995,38.0,17.0,1.440539735416542,1.2552898126043663
35,01_01_A0101135080004400032z,0.6666666666666666,0.3584988575968232,27.0,12.0,1.4188425287221451,0.9220215368286308
36,01_01_A0101135080004400047z,0.3333333333333333,0.4080950094177396,42.0,19.0,1.0061962476452757,1.0177615950065244
37,01_01_a0101135080004500034A,0.8333333333333334,0.7327820180595801,27.0,9.0,0.16594625456424786,1.052083615170827
38,01_01_a0101135080005500017z,0.5,0.6298573005944267,36.0,18.0,1.7557555157881093,1.3665290915943786
39,01_01_a0101135080005500019z,0.5,0.6139527280298144,37.0,18.0,1.7567885168893975,1.3604056499031407
40,01_01_a0101135080005500022z,0.5,0.6067016453475512,36.0,18.0,1.7563206302117829,1.351310424443386
41,01_01_a0101135080005500026z,0.5,0.6067016453475512,37.0,18.0,1.7552863595992152,1.3473571954555872
42,01_01_A0101135080005700022z,0.5,0.16911064007416454,29.0,12.0,1.004008863954824,0.7741382987869188
43,01_01_a0101135080005800031z,0.5,0.3631368214641956,31.0,11.0,1.0102754099150093,0.8705992078839184
44,01_01_a0101135080005800046z,0.3333333333333333,0.5023636764805243,34.0,14.0,1.0156244403772414,0.9010053120074558
45,01_01_a0101135080005800047A,0.3333333333333333,0.399456650135998,37.0,18.0,1.0156830671206871,0.8735435996890593
46,01_01_a0101135080005800047z,0.3333333333333333,0.3957486934254303,37.0,18.0,1.0170281072632423,0.8768412304060497
47,01_01_a0101135080007000014z,0.5,0.7765438028352465,41.0,19.0,1.7520882974664025,1.305790197576326
48,01_01_a0101135080007000018z,0.5,0.9951808477087368,39.0,19.0,1.754239595333366,1.4453927394059665
49,01_01_A0101135080007100014z,0.3333333333333333,0.2403086296193437,28.0,17.0,1.4221023886901452,1.020942650385443
50,01_01_A0101135080007100015a,0.3333333333333333,0.21781049167158506,32.0,14.0,1.4206900733765335,0.8397285985982663
51,01_01_a0101135080007500020z,0.5,0.33534597548638423,24.0,14.0,1.7423128232282374,1.0690286805817792
52,01_01_a0101135080007500021b,0.5,0.5337288090197898,22.0,11.0,1.423687002383308,1.0455493789124524
