,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.6666666666666666,0.5072627918529558,27.0,12.0,1.4176561234134193,0.9639404275135744
1,01_01_a0101135010000300031z,0.6666666666666666,0.33305906812485764,31.0,14.0,0.12710203861006564,0.9003034789999008
2,01_01_a0101135010000300042z,0.6666666666666666,0.7235484428362335,30.0,10.0,0.1822737924459182,0.9788286651475924
3,01_01_a0101135010001100026z,0.3333333333333333,0.6972026338147834,46.0,19.0,0.13885586841735498,1.1024826696048948
4,01_01_a0101135010001100037z,0.3333333333333333,0.6936051189864749,46.0,19.0,0.13500399696154225,1.0961196540089104
5,01_01_A0101135010001900032z,0.5,0.8309173563671397,29.0,18.0,0.1416719488608577,1.0747339918255177
6,01_01_A0101135010001900041z,0.3333333333333333,0.6404011020027489,42.0,21.0,0.16374727152908788,1.042228576536968
7,01_01_a0101135010002200032A,0.5,0.2808845208845209,25.0,13.0,1.0056287477413113,0.7585680126933589
8,01_01_a0101135010002200032B,0.5,0.7234004122369277,35.0,16.0,1.0078626310708012,1.0318290151079084
9,01_01_a0101135010002200032D,0.5,0.6977506684491979,34.0,18.0,1.0093637424747777,0.845253965326167
10,01_01_A0101135010002600058a,0.3333333333333333,0.6597434516735987,76.0,40.0,0.1413559413793703,1.2029757754596062
11,01_01_A0101135010002600058b,0.5,0.5556106393606394,56.0,28.0,0.1697693855875816,1.1742218078777158
12,01_01_A0101135010002600058c,0.5,0.5556106393606394,56.0,28.0,0.16925395493109155,1.178497689674786
13,01_01_A0101135010002600066z,0.16666666666666666,0.3016578780847923,67.0,34.0,0.16521152021281954,0.9752289117995164
14,01_01_a0101135010002600076z,0.16666666666666666,0.2678961608566872,80.0,41.0,0.1474284557268658,1.0854903707253003
15,01_01_a0101135010002600077z,0.5,0.4767804779323579,32.0,13.0,1.4279567423269883,1.091864815965852
16,01_01_a0101135010003000030z,0.5,0.3582404692082112,19.0,12.0,1.4190703215785458,0.7740177530365858
17,01_01_a0101135010003000032z,0.6666666666666666,0.4624280067758328,22.0,11.0,1.012698831529553,0.9900644915229428
18,01_01_A0101135010003800014z,0.5,0.02156119498875686,39.0,19.0,1.7598578234648354,1.0933566621411204
19,01_01_a0101135010004900033A,0.6666666666666666,0.7404711333129957,29.0,9.0,1.0066365401728294,1.0346585298453308
20,01_01_a0101135010004900038z,0.5,0.7050528996865204,29.0,13.0,1.0106052739052398,0.9920594255052422
21,01_01_a0101135010004900043z,0.3333333333333333,0.6374106892850476,37.0,18.0,1.0129853239269202,0.97847063849087
22,01_01_a0101135010005200042z,0.5,0.3801426985370952,56.0,25.0,0.18982603834607967,1.0302381846715416
23,01_01_a0101135010005200043z,0.5,0.5379142056154769,47.0,21.0,0.1834982957687409,1.1469707306553143
24,01_01_a0101135010005200054z,0.3333333333333333,0.6883596837944664,62.0,30.0,0.14815804036517727,1.0089125050194323
25,01_01_a0101135010005600032z,0.3333333333333333,0.7822257454959619,43.0,19.0,1.0145928247446174,1.0080452559783617
26,01_01_A0101135080001200060z,0.5,0.6443799995294561,49.0,20.0,0.2015050596349124,1.0721956349331117
27,01_01_a0101135080001400034z,0.6666666666666666,0.7704252531794631,36.0,14.0,0.15076420842360175,1.2078053954607302
28,01_01_a0101135080001800024A,0.6666666666666666,0.28359116394818906,31.0,13.0,0.1248443304013621,0.9064971298080642
29,01_01_a0101135080001800034z,0.5,0.8788335258208217,36.0,17.0,0.15685883197594078,1.064787635481761
30,01_01_a0101135080002300017z,0.5,0.16087524377437745,34.0,18.0,1.4354906467587352,0.965450681732534
31,01_01_a0101135080002300020z,0.5,0.16208708370837088,35.0,18.0,1.4354053801787352,0.9643997616935662
32,01_01_A0101135080004400016z,0.5,0.3713660161827701,39.0,19.0,1.7472115222051172,1.2880611664748494
33,01_01_A0101135080004400020z,0.8333333333333334,0.3116212922274101,25.0,14.0,1.0282209366868622,1.079522650251377
34,01_01_A0101135080004400021z,0.6666666666666666,0.19179704016913315,36.0,17.0,1.4384521792512577,1.184866949076696
35,01_01_A0101135080004400032z,0.6666666666666666,0.3272462922274101,23.0,10.0,1.4168721861590816,0.982490354395172
36,01_01_A0101135080004400047z,0.3333333333333333,0.5018424440483265,42.0,22.0,1.0050377039799154,1.026141009984653
37,01_01_a0101135080004500034A,0.8333333333333334,0.701529452690167,27.0,12.0,0.15682076348144613,1.1010031035252028
38,01_01_a0101135080005500017z,0.5,0.5986047352250136,34.0,17.0,1.7583264052170717,1.4009204692501298
39,01_01_a0101135080005500019z,0.5,0.5827001626604013,35.0,17.0,1.7597733965621758,1.3948372702176597
40,01_01_a0101135080005500022z,0.5,0.5754490799781381,35.0,17.0,1.7594518193671862,1.3849278720124099
41,01_01_a0101135080005500026z,0.5,0.5754490799781381,34.0,17.0,1.7587729247839343,1.4152211260215808
42,01_01_A0101135080005700022z,0.5,0.13785807470475142,30.0,10.0,1.0025507195618006,0.8573536078515199
43,01_01_a0101135080005800031z,0.5,0.33188425609478245,31.0,11.0,1.0074578043925126,0.9308116403565784
44,01_01_a0101135080005800046z,0.3333333333333333,0.4711111111111112,36.0,18.0,1.0140095531357258,1.056253467830048
45,01_01_a0101135080005800047A,0.3333333333333333,0.3682040847665848,37.0,19.0,1.0125271935175144,0.9408629583780936
46,01_01_a0101135080005800047z,0.3333333333333333,0.3644961280560172,37.0,19.0,1.0138929022701668,0.9453671899664772
47,01_01_a0101135080007000014z,0.5,0.7452963682046596,39.0,19.0,1.7493026921708763,1.2354199579872651
48,01_01_a0101135080007000018z,0.5,0.9639334130781498,37.0,19.0,1.7513831473554538,1.3747740270457875
49,01_01_A0101135080007100014z,0.3333333333333333,0.03718619498875686,26.0,19.0,1.4261557581854758,0.9470993139851188
50,01_01_A0101135080007100015a,0.3333333333333333,0.014688057040998181,32.0,16.0,1.4227915958275574,0.6242190284245075
51,01_01_a0101135080007500020z,0.5,0.4759684101169711,22.0,13.0,1.7446036739007142,1.141876180258607
52,01_01_a0101135080007500021b,0.5,0.7368512436503767,27.0,10.0,1.4245604492878268,0.9950604247541152
53,01_01_a0101135080007500021c,0.6666666666666666,0.7919108851674641,23.0,8.0,1.4243106911796275,1.1419641394843638
54,01_01_a0101135080007500026a,0.6666666666666666,0.7798443880292285,19.0,8.0,1.0125499929385808,0.9966808960710741
55,01_01_a0101135080007800024z,0.8333333333333334,0.3498128462039751,25.0,11.0,0.08881764274510967,0.7062504618195409
56,01_01_a0101135080008200031A,0.5,0.7668107707509881,32.0,13.0,1.013205008487683,1.1016856370374473
57,01_01_a0101135080008200031B,0.5,0.7669082351536379,32.0,13.0,1.0131805815305936,1.0998670994545363
58,01_01_a0101135080008200031C,0.5,0.8605607707509881,31.0,13.0,1.0121567735365808,1.0755210342970205
59,01_01_a0101135080008500034a,0.3333333333333333,0.6871780303030304,31.0,13.0,1.418768745152044,1.1403162161671825
60,01_01_a0101135080008500034b,0.3333333333333333,0.6425538948189015,21.0,9.0,1.4198709517693149,1.0040447280563372
61,01_01_a0101135080008900015z,0.5,0.35459459459459464,22.0,11.0,1.740155695916932,0.9760456772818941
62,01_01_a0101135080008900024z,0.6666666666666666,0.2344535376702808,22.0,9.0,1.013003768690533,0.8995397291369485
63,01_01_a0101135080008900025z,0.6666666666666666,0.4045141065830721,22.0,9.0,1.0175530548190947,1.060717443827908
64,01_01_a0101135080009700024A,0.6666666666666666,0.7661773597779032,24.0,9.0,1.005766646228233,1.0749659947574484
65,01_01_a0101135080009700024B,0.5,0.6255523597779032,43.0,17.0,1.0058698721462558,1.0791486868066846
66,01_01_a0101135080009700033A,0.6666666666666666,0.7919296499733144,25.0,11.0,1.0085637756403096,1.1159001232910508
67,01_01_a0101135080009700033B,0.3333333333333333,0.8424361791765349,33.0,18.0,1.0087531752865584,1.106555626511468
68,01_01_a0101135080010200010z,0.5,0.16566287878787864,25.0,14.0,1.7428429296238184,0.8407852389746864
69,01_01_a0101135080010200044z,0.3333333333333333,0.7919958195278526,53.0,31.0,1.0090914551958798,1.0819628331413107
70,01_01_a0101135080010200049A,0.3333333333333333,0.6949891281838891,44.0,21.0,1.009885111593634,1.0510875008872445
71,01_01_a0101135080010200049B,0.3333333333333333,0.6908108019853709,44.0,21.0,1.0090675059466618,1.0580047061969082
72,01_01_a0101135080010200054c,0.3333333333333333,0.6362849888531088,45.0,21.0,1.0058437332656471,1.012336784696813
73,01_01_a0101135080010300019z,0.6666666666666666,0.2298469846984699,20.0,12.0,1.4213977429014233,0.8536050390346296
74,01_01_a0101135080010300035z,0.5,0.5138905370072405,34.0,14.0,0.12571439589494804,1.0740202348653851
75,01_01_a0101135080010300036z,0.5,0.5050110864745012,48.0,16.0,1.0097524412339236,1.014399051514093
76,01_01_a0101135080010700022A,0.5,0.755758642765685,25.0,12.0,1.0031260920227227,1.0316771248698446
77,01_01_a0101135080010700044z,0.3333333333333333,0.7586928222094361,39.0,19.0,1.0119921478920362,1.0639373196252702
78,01_01_a0101135080010900023A,0.8333333333333334,0.9123771114063391,24.0,10.0,0.13812848136491412,1.183241456260969
79,01_01_a0101135080010900023B,0.6666666666666666,0.923072265260407,26.0,14.0,0.09952475380389543,1.1591218974822042
80,01_01_a0101135080010900023C,0.5,0.6893410476718403,30.0,15.0,1.0070150053497846,0.9438324520860436
81,01_01_a0101135080010900033a,0.5,0.8057810333729452,30.0,14.0,1.008087271204238,1.1124319656712436
82,01_01_a0101135080010900044z,0.5,0.7738293310463122,42.0,20.0,0.1290961467964733,0.9981749996043296
83,01_01_a0101135080010900055a,0.5,0.591720166625827,53.0,20.0,0.15846823108386898,0.8886737079599176
84,01_01_A0101135080011100012c,0.5,0.286440832797944,26.0,13.0,1.7323021073612637,0.8409475195686625
85,01_01_A010113508001110007b-1,0.3333333333333333,0.11088896343508893,34.0,14.0,1.7341611385116922,0.9995402874234822
86,01_01_A010113508001110007b,0.3333333333333333,0.3085983756877129,37.0,17.0,1.735050359962354,1.0431515328200942
87,01_01_a0101135080011300055z,0.3333333333333333,0.8380257393209201,40.0,29.0,0.15082894626435225,1.0661656583149342
88,01_01_a0101135080011300061z,0.3333333333333333,0.7785586280560172,53.0,31.0,0.1327524388483573,1.0446751470700488
89,01_01_a0101135080011900033A,0.5,0.6513352272727273,29.0,19.0,0.11225943316453203,1.0391407846183838
90,01_01_a0101135080011900033b,0.6666666666666666,0.6140254122369277,47.0,20.0,0.12685703539750934,1.0198620524631472
91,01_01_a0101135080011900033c,0.6666666666666666,0.6314275720264746,36.0,16.0,0.1324340763744343,1.1109383085312838
92,01_01_a0101135080011900043z,0.5,0.6683674477696218,50.0,21.0,0.14602961440879506,1.1998725763718932
93,01_01_a0101135080011900045z,0.5,0.5009826854899975,50.0,25.0,0.08288589652997387,0.9538977733910056
94,01_01_A0101135080012200017f,0.6666666666666666,0.5918811133486767,23.0,14.0,1.4250812653580218,1.133642544070459
95,01_01_A0101135080012200018a,0.5,0.4651278063481531,23.0,11.0,1.746340349108909,1.0108864876333947
96,01_01_a0101135080012700048C,0.3333333333333333,0.473186906377205,56.0,22.0,0.16890484379661064,0.9870108808778958
97,01_01_a0101135080012700056B,0.3333333333333333,0.469142766955267,50.0,24.0,0.1887758175228833,0.9449161627226907
98,01_01_a0101135080014700026z,0.3333333333333333,0.38218840187590186,28.0,16.0,1.4182580460017902,0.9119925220069196
99,01_01_a0101135080014700028z,0.5,0.3747407579632643,24.0,13.0,1.4222787644224884,1.0450464407021445
100,01_01_a0101135080014700032A,0.5,0.5739420310701957,34.0,14.0,1.0095190384182666,1.0379023137752348
101,01_01_a0101135080014700033z,0.3333333333333333,0.8744425257476729,27.0,16.0,1.4196597862255742,1.1545351896449456
102,01_01_a0101135090000300024z,0.8333333333333334,0.2093066255778121,11.0,5.0,1.0031618859840683,0.6614787313787182
103,01_01_a0101135090000300034z,0.5,0.7637595506345507,27.0,13.0,1.0070786602170234,0.9102052517328224
104,01_01_A0101135090000400023b,0.8333333333333334,0.30545454545454553,12.0,9.0,1.002837364444665,0.7074433705619766
105,01_01_A0101135090000400032z,0.6666666666666666,0.26577435593722243,24.0,13.0,1.0050790392805642,0.8007630235592291
106,01_01_A0101135090000400034z,0.5,0.28791581408944755,25.0,15.0,1.0018676359004146,0.6809452944827529
107,01_01_A0101135090000400044z,0.16666666666666666,0.3489441970133613,43.0,29.0,1.003248376653197,0.8379392507445679
108,01_01_a0101135090000500013z,0.5,0.6746552098857426,32.0,14.0,1.7413751323417996,0.7493600333805607
109,01_01_a0101135090000500032z,0.5,0.7103285727842096,34.0,17.0,0.12455163710264555,1.1554295063429822
110,01_01_a0101135090001000033z,1.0,0.3120461411700083,14.0,4.0,0.0963458900956644,0.8201182916145173
111,01_01_a0101135090001000044z,0.5,0.5329799641148325,39.0,16.0,0.14837312614356893,1.1113122934298985
112,01_01_A0101135090001800024z,0.8333333333333334,0.4045476664454767,21.0,7.0,0.063623386964661,0.8780763105370417
113,01_01_A0101135090001800031z,0.6666666666666666,0.6158025720264746,30.0,13.0,0.13458472515752773,1.0494647771993764
114,01_01_A0101135090001800033z,0.8333333333333334,0.8212528096903097,24.0,10.0,0.11804709082140408,1.046787098324856
115,01_01_A0101135090002000025z,0.5,0.1339158368133634,27.0,18.0,1.4170970534909897,0.8522102328329055
116,01_01_A0101135090002000032z,0.5,0.7567958222622888,36.0,15.0,1.0059450590012655,1.199834674491893
117,01_01_A0101135090002500025z,0.3333333333333333,0.2397157240153983,33.0,17.0,1.4170592961997452,0.8943239047516851
118,01_01_A0101135090002500032z,0.6666666666666666,0.7277456827592698,29.0,13.0,0.11152845597715004,1.026097700029888
119,01_01_A0101135090003000035z,0.6666666666666666,0.4872727272727273,21.0,14.0,0.11738117178141658,0.9240437043745976
120,01_01_a0101135090003100024z,0.8333333333333334,0.2829383619476499,16.0,9.0,1.0075581011041466,0.8183232719647244
121,01_01_a0101135090003100042z,0.5,0.14665317152359836,31.0,14.0,0.12480741432796895,0.7580161488474778
122,01_01_a0101135090003800024z,0.8333333333333334,0.2686232095878398,16.0,9.0,1.0065412273246028,0.8105132508901288
123,01_01_a0101135090003800033z,0.6666666666666666,0.2816080600900648,33.0,14.0,0.16976366622641076,0.874912909159529
124,01_01_a0101135090003800038z,0.5,0.12232537064190295,34.0,14.0,0.12649774621383278,0.7593282793975386
125,01_01_a0101135090004400025z,0.6666666666666666,0.2793216569363358,23.0,10.0,1.4161410350319186,0.990869521608674
126,01_01_a0101135090004400027z,0.6666666666666666,0.2854378648874062,23.0,10.0,1.4168811621838684,0.9922674045073101
127,01_01_a0101135090004400031z,0.8333333333333334,0.21664566456645665,26.0,7.0,0.0980820716271528,0.9394415586380986
128,01_01_a0101135090004400032z,0.6666666666666666,0.29707099816609905,28.0,8.0,0.146120370960053,0.8202784654527818
129,01_01_A0101135090004700036z,0.6666666666666666,0.6488548007068525,42.0,14.0,0.14205534703742914,0.9546558287664852
130,01_01_A0101135090004700042z,0.3333333333333333,0.4587526123301986,52.0,21.0,0.1309923274716772,0.9447833534723434
131,01_01_A0101135090004700047z,0.3333333333333333,0.5773220693779905,69.0,25.0,0.14901806416197438,1.0609726455845312
132,01_01_A0101135090004700049z,0.3333333333333333,0.7257605146290491,60.0,29.0,1.0285017308409252,1.0671403034294604
