,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.6666666666666666,0.7688906778558418,22.0,14.0,1.4330207449311878,1.1907922632232082
1,01_01_a0101135010000300031z,0.8333333333333334,0.08705618212197164,23.0,7.0,0.061056510658429375,0.5695827677578387
2,01_01_a0101135010000300042z,0.5,0.4619205568333475,29.0,12.0,1.0078905706648145,0.976142564035033
3,01_01_a0101135010001100026z,0.5,0.43557474781189737,39.0,17.0,0.09637470517804968,0.8644089083997798
4,01_01_a0101135010001100037z,0.5,0.4319772329835889,39.0,17.0,0.09411918892906047,0.8644378212061323
5,01_01_A0101135010001900032z,0.6666666666666666,0.6005394703642537,31.0,15.0,0.11260513157927815,0.933908247643698
6,01_01_A0101135010001900041z,0.5,0.3787732159998629,41.0,22.0,0.12740869721882006,0.8690055156887808
7,01_01_a0101135010002200032A,0.6666666666666666,0.05050663488163487,13.0,6.0,1.001936320327956,0.7293718537308769
8,01_01_a0101135010002200032B,0.5,0.4617725262340418,30.0,13.0,1.0024072024266208,0.7828140975380494
9,01_01_a0101135010002200032D,0.5,0.4361227824463119,28.0,12.0,1.0031294803489426,0.8197703690843686
10,01_01_A0101135010002600058a,0.3333333333333333,0.4293655656707127,72.0,41.0,0.1096886808934274,1.0850074401191556
11,01_01_A0101135010002600058b,0.3333333333333333,0.32523275335775337,60.0,29.0,1.0053782135986142,0.9349171994867906
12,01_01_A0101135010002600058c,0.3333333333333333,0.32523275335775337,60.0,29.0,1.0057649147371854,0.9427212536331566
13,01_01_A0101135010002600066z,0.3333333333333333,0.07127999208190627,61.0,32.0,0.12317525716681732,0.9000210975400785
14,01_01_a0101135010002600076z,0.16666666666666666,0.05623172514619879,78.0,43.0,0.1177133135040518,0.8921163928664457
15,01_01_a0101135010002600077z,0.5,0.2464025919294719,25.0,16.0,1.4197891638691276,0.8901332411624135
16,01_01_a0101135010003000030z,0.5,0.12786258320532518,33.0,18.0,1.4153736209515904,0.8659170550245492
17,01_01_a0101135010003000032z,0.5,0.23205012077294684,31.0,13.0,1.4174665054108582,0.8740407849282338
18,01_01_A0101135010003800014z,0.5,0.2831890809916429,40.0,22.0,1.754754808271631,1.1959694789262556
19,01_01_a0101135010004900033A,0.5,0.4788432473101098,21.0,8.0,1.4171872802059704,0.7545199415681814
20,01_01_a0101135010004900038z,0.6666666666666666,0.4434250136836344,15.0,8.0,1.0031895163771134,0.8023457047112815
21,01_01_a0101135010004900043z,0.5,0.3757828032821616,25.0,16.0,1.0035712093368951,0.6937275507734317
22,01_01_a0101135010005200042z,0.5,0.14976481253420915,50.0,25.0,0.14155130601490928,0.8735428564614099
23,01_01_a0101135010005200043z,0.5,0.3075363196125908,48.0,17.0,0.11119713207861684,0.8073981968727988
24,01_01_a0101135010005200054z,0.3333333333333333,0.4579817977915805,60.0,21.0,0.10424387393727462,0.8390220123904805
25,01_01_a0101135010005600032z,0.3333333333333333,0.5205978594930759,38.0,18.0,1.0032645073073527,0.8599075323006651
26,01_01_A0101135080001200060z,0.5,0.3827521135265701,45.0,20.0,0.22299884524472335,0.9215941841946806
27,01_01_a0101135080001400034z,0.8333333333333334,0.5087973671765771,25.0,7.0,0.11508357725843035,0.9472930053613234
28,01_01_a0101135080001800024A,0.8333333333333334,0.04053672205469694,16.0,10.0,0.06970786335962223,0.5126717482141089
29,01_01_a0101135080001800034z,0.6666666666666666,0.6172056398179357,30.0,10.0,0.09714132897142473,1.0286358674995348
30,01_01_a0101135080002300017z,0.5,0.14762764222850855,35.0,21.0,1.4299613718545416,1.06025319125729
31,01_01_a0101135080002300020z,0.5,0.16204080229451512,38.0,21.0,1.4298801280626228,1.065379253048668
32,01_01_A0101135080004400016z,0.5,0.6329939021856561,40.0,22.0,1.7467186216500392,1.39209059243951
33,01_01_A0101135080004400020z,0.6666666666666666,0.07500659377547593,32.0,16.0,1.4300636931599717,0.9265891844637976
34,01_01_A0101135080004400021z,0.6666666666666666,0.4534249261720191,36.0,20.0,1.4312101859548807,1.2726397725831429
35,01_01_A0101135080004400032z,0.6666666666666666,0.09063159377547593,23.0,15.0,1.4177272913311154,0.6825951111216509
36,01_01_A0101135080004400047z,0.3333333333333333,0.27146455804544045,45.0,23.0,1.0015680125866355,0.9200036093449712
37,01_01_a0101135080004500034A,0.6666666666666666,0.439901566687281,26.0,9.0,1.010074954109396,0.8662940594503845
38,01_01_a0101135080005500017z,0.5,0.3682268492221276,35.0,20.0,1.7537922482525403,1.0950751834857229
39,01_01_a0101135080005500019z,0.5,0.35232227665751525,34.0,20.0,1.755360515692748,1.1671053196061962
40,01_01_a0101135080005500022z,0.5,0.3450711939752521,34.0,20.0,1.75607819821552,1.1559431505149094
41,01_01_a0101135080005500026z,0.5,0.3450711939752521,34.0,20.0,1.7564865007396804,1.1458356841606716
42,01_01_A0101135080005700022z,0.6666666666666666,0.15501981129813458,24.0,11.0,1.0015942547185284,0.7024527991143065
43,01_01_a0101135080005800031z,0.6666666666666666,0.10150637009189643,17.0,10.0,1.0010503515276483,0.6112097326970397
44,01_01_a0101135080005800046z,0.5,0.24073322510822515,27.0,15.0,1.0054464661981126,0.8707162437784064
45,01_01_a0101135080005800047A,0.3333333333333333,0.10657619876369884,30.0,15.0,1.005532293098384,0.7954693895258156
46,01_01_a0101135080005800047z,0.3333333333333333,0.10286824205313116,30.0,15.0,1.005112351680849,0.7958517234225547
47,01_01_a0101135080007000014z,0.5,0.9756742542075456,40.0,22.0,1.7464101378456212,1.3448421709064369
48,01_01_a0101135080007000018z,0.5,1.1943112990810358,41.0,22.0,1.7490282858929056,1.4718319208938218
49,01_01_A0101135080007100014z,0.3333333333333333,0.2675640809916429,37.0,22.0,1.4284695689204967,0.8723986102210527
50,01_01_A0101135080007100015a,0.3333333333333333,0.2763159430438842,37.0,20.0,1.4250431412990536,1.074485484563918
51,01_01_a0101135080007500020z,0.5,0.2143405241140851,27.0,15.0,1.740605978264235,0.8260798869954479
52,01_01_a0101135080007500021b,0.5,0.5064733576474907,28.0,12.0,1.4188727284228682,0.962022015926536
53,01_01_a0101135080007500021c,0.6666666666666666,0.5302829991645781,22.0,13.0,1.4243871354024151,0.8595640225194238
54,01_01_a0101135080007500026a,0.6666666666666666,0.5182165020263425,26.0,11.0,1.0040465135698091,0.8807584083260472
55,01_01_a0101135080007800024z,1.0,0.5801907322068611,23.0,2.0,0.1154043058502952,0.8743366662242134
56,01_01_a0101135080008200031A,0.6666666666666666,0.5051828847481021,31.0,6.0,1.0052902415502762,0.9080286574445656
57,01_01_a0101135080008200031B,0.6666666666666666,0.5052803491507519,31.0,6.0,1.0051054993791586,0.9109382435465732
58,01_01_a0101135080008200031C,0.6666666666666666,0.5989328847481021,28.0,6.0,1.0045396929346166,0.93896414544259
59,01_01_a0101135080008500034a,0.3333333333333333,0.4411751443001444,36.0,20.0,1.4153948856720888,0.8431201060563983
60,01_01_a0101135080008500034b,0.3333333333333333,0.4471989911839845,31.0,13.0,1.4168019517448414,0.8570306455297587
61,01_01_a0101135080008900015z,0.5,0.12421670859170865,30.0,15.0,1.7371742306832108,0.8452769615288273
62,01_01_a0101135080008900024z,0.6666666666666666,0.08967434833260524,30.0,12.0,1.0047403878462795,0.9319610521151224
63,01_01_a0101135080008900025z,0.6666666666666666,0.17413622058018607,27.0,13.0,1.0088068227467777,0.9731028167726656
64,01_01_a0101135080009700024A,0.5,0.5045494737750172,23.0,8.0,1.4175708180756594,0.7326052165022409
65,01_01_a0101135080009700024B,0.5,0.3639244737750173,30.0,12.0,1.0042308157284976,0.6879593036929077
66,01_01_a0101135080009700033A,0.5,0.5303017639704284,27.0,12.0,1.4168187752423755,0.9165671496354648
67,01_01_a0101135080009700033B,0.5,0.5808082931736489,34.0,15.0,1.0050006256536987,0.9085289072177208
68,01_01_a0101135080010200010z,0.5,0.4272907647907647,30.0,17.0,1.7431852575382405,0.9807803851377074
69,01_01_a0101135080010200044z,0.3333333333333333,0.5303679335249666,48.0,29.0,1.0033076666444063,0.8135448936941373
70,01_01_a0101135080010200049A,0.3333333333333333,0.433361242181003,39.0,20.0,1.0035533303374484,0.8240941703143275
71,01_01_a0101135080010200049B,0.3333333333333333,0.4291829159824849,39.0,20.0,1.0034605805917551,0.8263537961782805
72,01_01_a0101135080010200054c,0.3333333333333333,0.3746571028502228,42.0,20.0,1.0018606581705751,0.7991410259875473
73,01_01_a0101135080010300019z,0.5,0.03178090130441613,27.0,13.0,1.7379115498297348,0.7318911347778301
74,01_01_a0101135080010300035z,0.5,0.2522626510043545,34.0,15.0,0.17762776916223755,0.8906145305139724
75,01_01_a0101135080010300036z,0.5,0.2746332004716152,41.0,17.0,1.00207461899993,0.9012223559082077
76,01_01_a0101135080010700022A,0.3333333333333333,0.4941307567627991,36.0,15.0,1.4193046479914138,0.8147267006965927
77,01_01_a0101135080010700044z,0.5,0.4970649362065501,32.0,18.0,1.0026671868750434,0.8205677376182667
78,01_01_a0101135080010900023A,1.0,0.650749225403453,22.0,8.0,0.1450381963746771,0.9390337677788532
79,01_01_a0101135080010900023B,0.8333333333333334,0.6614443792575211,29.0,9.0,0.09434632887761997,0.9575249188887304
80,01_01_a0101135080010900023C,0.6666666666666666,0.4277131616689544,31.0,10.0,1.0023578144439944,0.8023490848190755
81,01_01_a0101135080010900033a,0.6666666666666666,0.5441531473700592,20.0,11.0,1.0021488744192342,0.9064098507212529
82,01_01_a0101135080010900044z,0.5,0.5122014450434262,33.0,19.0,0.09931117066322392,0.8246127352430092
83,01_01_a0101135080010900055a,0.5,0.33009228062294105,47.0,15.0,0.15451113554339807,0.8653521344690849
84,01_01_A0101135080011100012c,0.5,0.51681871880083,27.0,15.0,1.7368813348657173,0.9628642322182902
85,01_01_A010113508001110007b-1,0.3333333333333333,0.15073892256779708,33.0,17.0,1.743776891863689,0.9201831065049672
86,01_01_A010113508001110007b,0.3333333333333333,0.07822048968482688,40.0,20.0,1.7398937506527217,0.913148251698812
87,01_01_a0101135080011300055z,0.16666666666666666,0.5763978533180341,46.0,29.0,1.010495221009732,0.913437239068402
88,01_01_a0101135080011300061z,0.16666666666666666,0.5169307420531312,53.0,31.0,1.0058065544116253,0.9012304042869508
89,01_01_a0101135080011900033A,0.6666666666666666,0.3897073412698413,29.0,16.0,0.09830871760266242,0.8579836361969518
90,01_01_a0101135080011900033b,0.6666666666666666,0.38364752623404175,37.0,15.0,0.07761218250045508,0.8560022313370231
91,01_01_a0101135080011900033c,0.6666666666666666,0.4010496860235886,27.0,13.0,0.11563986507041485,0.9318969750710264
92,01_01_a0101135080011900043z,0.5,0.4067395617667357,45.0,19.0,0.0773485565510922,0.9799292747126229
93,01_01_a0101135080011900045z,0.5,0.2706047994871115,46.0,23.0,0.07990454614160038,0.7895964008493089
94,01_01_A0101135080012200017f,0.5,0.33025322734579066,31.0,15.0,1.737023800395489,0.9142921854971324
95,01_01_A0101135080012200018a,0.5,0.2347499203452671,30.0,15.0,1.7411979230836572,0.9675849152350496
96,01_01_a0101135080012700048C,0.3333333333333333,0.21155902037431892,56.0,22.0,0.09323351513906032,0.7943227134683459
