,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,1.1885685526244425,24.0,11.0,1.7504503865851095,1.3931325699480683
1,01_01_a0101135010000300031z,0.5,0.348246692646629,34.0,13.0,1.0059332907554774,0.8219874491110769
2,01_01_a0101135010000300042z,0.5,0.3703676820647469,22.0,12.0,1.0037461287465794,0.6965921684809034
3,01_01_a0101135010001100026z,0.16666666666666666,0.18777187304329676,40.0,15.0,1.0076018473154331,0.7141672438495329
4,01_01_a0101135010001100037z,0.16666666666666666,0.1841743582149883,40.0,15.0,1.007524753993535,0.7114229786843821
5,01_01_A0101135010001900032z,0.5,0.47773659559565296,32.0,15.0,1.0027476588242306,0.660687506340064
6,01_01_A0101135010001900041z,0.3333333333333333,0.2403453412312623,45.0,20.0,1.0043734259777204,0.6973774600886521
7,01_01_a0101135010002200032A,0.6666666666666666,0.40042123988696576,28.0,11.0,1.0051989053127879,0.8518128223796907
8,01_01_a0101135010002200032B,0.6666666666666666,0.07334465146544111,37.0,11.0,1.0019728052480363,0.7018740305508747
9,01_01_a0101135010002200032D,0.6666666666666666,0.17105509232228874,34.0,14.0,1.0071930281833683,0.7692299962480784
10,01_01_A0101135010002600058a,0.3333333333333333,0.3690626909021121,76.0,40.0,1.0064488442713706,0.9642209597806031
11,01_01_A0101135010002600058b,0.5,0.2819451214108473,57.0,26.0,1.0034230627979437,0.904853422089416
12,01_01_A0101135010002600058c,0.5,0.2819451214108473,57.0,26.0,1.0027979242100604,0.9076984966604597
13,01_01_A0101135010002600066z,0.16666666666666666,0.3796478826866944,68.0,30.0,1.0082429271963504,0.9133120615856792
14,01_01_a0101135010002600076z,0.16666666666666666,0.4134095999147994,85.0,42.0,1.0104412555353763,1.0060653161913058
15,01_01_a0101135010002600077z,0.6666666666666666,0.4389002828391288,30.0,13.0,1.417121256969872,0.8643489237925644
16,01_01_a0101135010003000030z,0.6666666666666666,0.32306529156327546,26.0,12.0,1.4164389215888098,0.8305980149673365
17,01_01_a0101135010003000032z,0.8333333333333334,0.3279972460043462,18.0,9.0,1.0033062726548398,0.6741941722998045
18,01_01_A0101135010003800014z,0.6666666666666666,0.7028669557602435,33.0,16.0,1.7462890324999794,1.2581416953222315
19,01_01_a0101135010004900033A,0.8333333333333334,0.1841653725415091,19.0,9.0,1.0074878321335479,0.7582579015252009
20,01_01_a0101135010004900038z,0.6666666666666666,0.19500286108496626,29.0,11.0,1.0047353002523185,0.6869315004250016
21,01_01_a0101135010004900043z,0.5,0.112354928513561,32.0,15.0,1.0087642982140712,0.7696638074382949
22,01_01_a0101135010005200042z,0.5,0.3011630622343915,57.0,24.0,1.0191398195933423,0.9550495754227836
23,01_01_a0101135010005200043z,0.5,0.3097334448439902,50.0,19.0,1.0113623141420505,0.8424235482562012
