,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,1.3554161401106937,45.0,20.0,2.0068191891176013,1.441255543996243
1,01_01_a0101135010000300031z,0.6666666666666666,0.5150942801328804,35.0,14.0,1.414810898754754,0.9011804388407294
2,01_01_a0101135010000300042z,0.5,0.21914509457849551,31.0,15.0,1.4162098810989976,0.6609104924884904
3,01_01_a0101135010001100026z,0.3333333333333333,0.16154928555704534,34.0,11.0,1.4159165676552168,0.7305965320190123
4,01_01_a0101135010001100037z,0.3333333333333333,0.1579517707287369,34.0,11.0,1.4157450937139089,0.7255498147884009
5,01_01_A0101135010001900032z,0.6666666666666666,0.3297359918905984,24.0,14.0,1.0025022712268197,0.5468121561492094
6,01_01_A0101135010001900041z,0.5,0.2702522462549891,31.0,20.0,1.0018045949766925,0.7110964413444594
7,01_01_a0101135010002200032A,0.6666666666666666,0.5672688273732172,29.0,13.0,1.4150856681440214,0.9008861364288322
8,01_01_a0101135010002200032B,0.8333333333333334,0.12475293602081028,25.0,12.0,1.0008057305274571,0.7779847268137902
9,01_01_a0101135010002200032D,0.8333333333333334,0.32227767980854016,29.0,14.0,1.0015203759056446,0.8388439969233104
10,01_01_A0101135010002600058a,0.6666666666666666,0.3915348965841393,64.0,33.0,0.07767442961900539,0.9261137151262744
11,01_01_A0101135010002600058b,0.5,0.32379270889709866,52.0,22.0,1.002475779366257,0.9131592105208104
12,01_01_A0101135010002600058c,0.5,0.32379270889709866,52.0,22.0,1.0022830054478755,0.9122449887330438
13,01_01_A0101135010002600066z,0.3333333333333333,0.5464954701729458,56.0,25.0,1.006003952824136,0.9196415815481478
14,01_01_a0101135010002600076z,0.5,0.5802571874010508,68.0,39.0,0.10497973149785428,0.9724681888347136
15,01_01_a0101135010002600077z,0.5,0.4807478703253801,40.0,21.0,1.4193109145812024,0.9696755528081072
16,01_01_a0101135010003000030z,0.6666666666666666,0.4899128790495269,36.0,21.0,1.415259989223626,0.8192101330788425
17,01_01_a0101135010003000032z,0.6666666666666666,0.3857253414819052,35.0,14.0,1.4158094321069383,0.7134426657688373
18,01_01_A0101135010003800014z,0.3333333333333333,0.8697145432464949,60.0,29.0,2.0143501672866,1.327429939524155
19,01_01_a0101135010004900033A,0.6666666666666666,0.3108072149447423,37.0,14.0,1.4146899513841302,0.8279030909648885
20,01_01_a0101135010004900038z,0.6666666666666666,0.3462254485712176,27.0,14.0,1.4144159103832037,0.797651017509422
21,01_01_a0101135010004900043z,0.5,0.2107426589726904,31.0,19.0,1.4147861346127788,0.8442743860602278
22,01_01_a0101135010005200042z,0.6666666666666666,0.4680106497206429,39.0,14.0,0.1731286111664628,0.951509742280962
23,01_01_a0101135010005200043z,0.8333333333333334,0.3102391426422612,32.0,16.0,0.14617573878830467,0.789148049079524
24,01_01_a0101135010005200054z,0.5,0.4722936644632716,47.0,19.0,0.0927354541321034,0.8901490298953509
25,01_01_a0101135010005600032z,0.6666666666666666,0.3784276027617761,31.0,12.0,1.0008907122685262,0.7724283943701662
26,01_01_A0101135080001200060z,0.5,0.3131483487282819,37.0,21.0,1.002051013314046,0.7276848211827454
27,01_01_a0101135080001400034z,0.6666666666666666,0.312896904921725,30.0,6.0,1.4153454303724509,0.7858850492167091
28,01_01_a0101135080001800024A,0.6666666666666666,0.564562184309549,29.0,14.0,1.4154290630838582,0.9202046274806942
29,01_01_a0101135080001800034z,0.8333333333333334,0.2338051775630837,20.0,7.0,1.0036543121711974,0.6430779801478218
30,01_01_a0101135080002300017z,0.3333333333333333,0.6872781044833606,50.0,23.0,1.7415779207946205,1.1544924988855467
31,01_01_a0101135080002300020z,0.3333333333333333,0.6860662645493671,50.0,23.0,1.7414893028884335,1.1598545507524634
32,01_01_A0101135080004400016z,0.3333333333333333,1.219519364440508,60.0,29.0,2.0141593007340117,1.5253133439793918
33,01_01_A0101135080004400020z,0.3333333333333333,0.5365320560303279,50.0,24.0,2.007109449028925,0.9407224307924632
34,01_01_A0101135080004400021z,0.3333333333333333,1.0399503884268713,58.0,27.0,2.0153474591839413,1.3993043223755968
35,01_01_A0101135080004400032z,0.3333333333333333,0.5209070560303279,42.0,20.0,2.0021304835810243,0.96314520286309
36,01_01_A0101135080004400047z,0.6666666666666666,0.3463109042094116,32.0,8.0,1.002449536536926,0.7917478856862838
37,01_01_a0101135080004500034A,0.6666666666666666,0.146623895567571,30.0,9.0,1.4152931223923542,0.7116513826010864
38,01_01_a0101135080005500017z,0.3333333333333333,0.4379513869672755,56.0,27.0,2.010589989559282,0.9712372750858729
39,01_01_a0101135080005500019z,0.3333333333333333,0.4220468144026632,56.0,27.0,2.010797911180461,1.0014460947389778
40,01_01_a0101135080005500022z,0.3333333333333333,0.4147957317204001,56.0,27.0,2.009899632536501,0.9577507740333544
41,01_01_a0101135080005500026z,0.3333333333333333,0.4147957317204001,56.0,27.0,2.0084733418047307,0.9782109383316329
42,01_01_A0101135080005700022z,0.6666666666666666,0.7102952735529866,33.0,14.0,1.4152897006305638,1.0076676153593374
43,01_01_a0101135080005800031z,0.6666666666666666,0.5162690921629556,31.0,17.0,1.4154907038203608,0.9040995007826852
44,01_01_a0101135080005800046z,0.5,0.3770422371466269,25.0,15.0,1.4170652765452394,0.6341787816688662
45,01_01_a0101135080005800047A,0.6666666666666666,0.4799492634911532,29.0,14.0,1.0004009916241503,0.8033267628970038
46,01_01_a0101135080005800047z,0.6666666666666666,0.4836572202017209,29.0,14.0,1.0007401863965528,0.8066259119111189
47,01_01_a0101135080007000014z,0.3333333333333333,0.9684497164623976,60.0,29.0,2.0153920576616557,1.4678080155376343
48,01_01_a0101135080007000018z,0.3333333333333333,1.187086761335888,59.0,29.0,2.0181811292617944,1.6046477754346915
49,01_01_A0101135080007100014z,0.3333333333333333,0.8540895432464949,48.0,24.0,1.736616624435776,1.195928152731773
50,01_01_A0101135080007100015a,0.3333333333333333,0.8628414052987362,50.0,22.0,1.7360056204046006,1.1951401882236836
51,01_01_a0101135080007500020z,0.3333333333333333,0.3721849381407669,45.0,22.0,2.0056253362657137,0.95248123275776
52,01_01_a0101135080007500021b,0.5,0.2949478953926386,40.0,17.0,1.7351994217547335,0.8616254939132885
53,01_01_a0101135080007500021c,0.5,0.21249246309027392,38.0,20.0,1.7348104397415165,0.8900764189389673
54,01_01_a0101135080007500026a,0.6666666666666666,0.3026839602285095,34.0,14.0,1.4179771430526804,0.9657641200335622
55,01_01_a0101135080007800024z,0.5,0.8542161944617132,32.0,11.0,1.7347824713354862,1.1142551053031595
56,01_01_a0101135080008200031A,0.6666666666666666,0.08134257750674984,30.0,13.0,1.4158244751925395,0.5970487431587874
57,01_01_a0101135080008200031B,0.6666666666666666,0.08124511310410004,30.0,13.0,1.41574555358903,0.5960222431573368
58,01_01_a0101135080008200031C,0.6666666666666666,0.15946757750674986,28.0,13.0,1.41546939773746,0.6218797816491334
59,01_01_a0101135080008500034a,0.5,0.4578503179547077,42.0,21.0,1.4169036745479766,0.8528635976524077
60,01_01_a0101135080008500034b,0.6666666666666666,0.5180994534388366,34.0,17.0,1.4161168715552308,0.93361556944162
61,01_01_a0101135080008900015z,0.3333333333333333,0.4935587536631434,47.0,22.0,2.0035029193721363,0.9583329668124732
62,01_01_a0101135080008900024z,0.6666666666666666,0.6136998105874573,35.0,17.0,1.42285479402989,1.0987870931701065
63,01_01_a0101135080008900025z,0.6666666666666666,0.443639241674666,38.0,18.0,1.4210916038441699,0.8891121853117141
64,01_01_a0101135080009700024A,0.6666666666666666,0.2694759884798348,35.0,14.0,1.415007402451193,0.8130309199299768
65,01_01_a0101135080009700024B,0.6666666666666666,0.2226009884798348,29.0,12.0,1.0014254176207469,0.8107731296406984
