,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,0.7804682408382213,30.0,20.0,2.012343008247196,1.0960153203522454
1,01_01_a0101135010000300031z,0.8333333333333334,0.059853619139592085,20.0,7.0,1.0007986719620217,0.4538274760515214
2,01_01_a0101135010000300042z,0.5,0.45034299385096793,30.0,10.0,1.4175449266893432,0.8916143974240376
3,01_01_a0101135010001100026z,0.5,0.4239971848295178,37.0,15.0,1.002722866090914,0.8907496614962461
4,01_01_a0101135010001100037z,0.5,0.42039967000120937,37.0,15.0,1.0027283510771632,0.8890319226818343
5,01_01_A0101135010001900032z,0.8333333333333334,0.5577119073818742,29.0,11.0,0.09082845967580698,0.8778791753543542
6,01_01_A0101135010001900041z,0.6666666666666666,0.36719565301748336,33.0,13.0,0.08403601819124354,0.8322901217732747
7,01_01_a0101135010002200032A,0.8333333333333334,0.007679071899255319,20.0,12.0,1.0013815954078535,0.6990294706034311
8,01_01_a0101135010002200032B,0.6666666666666666,0.4501949632516622,32.0,16.0,1.0012160518249424,0.7617886488249112
9,01_01_a0101135010002200032D,0.6666666666666666,0.4245452194639323,30.0,14.0,1.002065152759864,0.8023001664506758
10,01_01_A0101135010002600058a,0.5,0.3865380026883332,67.0,37.0,0.0879205815787096,1.0781432697669373
11,01_01_A0101135010002600058b,0.5,0.2824051903753738,54.0,26.0,1.0027317699176397,0.9420268834140284
12,01_01_A0101135010002600058c,0.5,0.2824051903753738,54.0,26.0,1.0029966131421542,0.9501966835555822
13,01_01_A0101135010002600066z,0.5,0.028452429099526718,58.0,30.0,0.09863220166516767,0.8329259870026926
14,01_01_a0101135010002600076z,0.3333333333333333,0.06780928812857834,73.0,39.0,0.08742511073171473,0.7926337611064501
15,01_01_a0101135010002600077z,0.5,0.20357502894709234,29.0,20.0,1.419265482868136,0.8132246231369682
16,01_01_a0101135010003000030z,0.6666666666666666,0.08503502022294562,30.0,20.0,1.415578250800028,0.7446851908311746
17,01_01_a0101135010003000032z,0.6666666666666666,0.1892225577905673,31.0,14.0,1.415959467965825,0.7942039892020234
18,01_01_A0101135010003800014z,0.3333333333333333,0.2947666439740224,46.0,29.0,2.01152645045588,1.1794802159446072
19,01_01_a0101135010004900033A,0.6666666666666666,0.4672656843277302,22.0,11.0,1.4160241567916323,0.7607356677264638
20,01_01_a0101135010004900038z,0.8333333333333334,0.4318474507012549,20.0,6.0,1.0018254334077408,0.7830128739364208
21,01_01_a0101135010004900043z,0.6666666666666666,0.3642052402997821,30.0,9.0,1.0013483351448176,0.7277285540976357
22,01_01_a0101135010005200042z,0.6666666666666666,0.1069372495518296,42.0,19.0,0.14191263184958147,0.8299688445125384
23,01_01_a0101135010005200043z,0.8333333333333334,0.2647087566302113,42.0,16.0,0.10415140665106196,0.8855477248678054
24,01_01_a0101135010005200054z,0.5,0.4151542348092009,57.0,20.0,0.0841823476896096,0.8375852322895523
25,01_01_a0101135010005600032z,0.5,0.5090202965106964,36.0,16.0,1.001538377588762,0.8451298068547497
26,01_01_A0101135080001200060z,0.5,0.3711745505441906,45.0,21.0,1.005608142362356,0.8864609774232759
27,01_01_a0101135080001400034z,0.8333333333333334,0.4972198041941975,24.0,7.0,1.0036180760162527,0.9699066648702446
28,01_01_a0101135080001800024A,0.8333333333333334,0.06773928503707649,11.0,3.0,1.00046180203629,0.4706747277350022
29,01_01_a0101135080001800034z,1.0,0.6056280768355562,26.0,4.0,0.07932368734068243,0.9146725674606592
30,01_01_a0101135080002300017z,0.3333333333333333,0.1592052052108881,40.0,20.0,1.7400378676292492,0.9840240574504416
31,01_01_a0101135080002300020z,0.3333333333333333,0.17361836527689467,43.0,20.0,1.7400136299395277,0.9897758916098676
32,01_01_A0101135080004400016z,0.3333333333333333,0.6445714651680357,46.0,29.0,2.00968853342036,1.3785658750620202
33,01_01_A0101135080004400020z,0.3333333333333333,0.11783415675785547,35.0,23.0,2.003333301772749,0.9296382777786129
34,01_01_A0101135080004400021z,0.3333333333333333,0.4650024891543987,42.0,27.0,2.0090512907362688,1.2631756158935603
35,01_01_A0101135080004400032z,0.3333333333333333,0.13345915675785547,32.0,20.0,2.0012435521365464,0.7395639909506307
36,01_01_A0101135080004400047z,0.5,0.2286369950630609,37.0,17.0,1.0011105389769122,0.909745885199676
37,01_01_a0101135080004500034A,0.6666666666666666,0.4283240037049015,24.0,13.0,1.416485733472251,0.9175800352360536
