,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,1.3432159135572377,33.0,16.0,1.7383600173317566,1.4140463636075953
1,01_01_a0101135010000300031z,1.0,0.5028940535794242,20.0,6.0,0.034367599165434554,0.9108787536811892
2,01_01_a0101135010000300042z,0.6666666666666666,0.11240467886804828,28.0,11.0,1.001267240071791,0.503479356755031
3,01_01_a0101135010001100026z,0.6666666666666666,0.35750048788949845,34.0,8.0,0.06775764717154276,0.7361013682181907
4,01_01_a0101135010001100037z,0.6666666666666666,0.3610980027178069,34.0,8.0,0.06816862415027829,0.7362952475390158
5,01_01_A0101135010001900032z,0.8333333333333334,0.3956607653371422,27.0,12.0,0.046866653610395326,0.5421816929770941
6,01_01_A0101135010001900041z,0.6666666666666666,0.2580520197015329,39.0,19.0,0.05971365836184815,0.7768018256785293
7,01_01_a0101135010002200032A,0.8333333333333334,0.5550686008197611,21.0,7.0,1.0003717553947478,0.9016532782415032
8,01_01_a0101135010002200032B,0.6666666666666666,0.3156777094673541,31.0,12.0,1.000520206690719,0.7964933612680021
9,01_01_a0101135010002200032D,0.6666666666666666,0.560077453255084,24.0,12.0,1.0009468477356884,0.8412403121273905
10,01_01_A0101135010002600058a,0.5,0.3793346700306831,68.0,39.0,0.06985744321913173,1.060210866798529
11,01_01_A0101135010002600058b,0.5,0.31159248234364245,55.0,23.0,1.0011871344058816,0.99486556543299
12,01_01_A0101135010002600058c,0.5,0.31159248234364245,55.0,23.0,1.0013514332444318,1.0044632018329396
13,01_01_A0101135010002600066z,0.5,0.5342952436194895,61.0,27.0,0.07575422698326519,0.9661152182095796
14,01_01_a0101135010002600076z,0.3333333333333333,0.5680569608475946,74.0,41.0,0.08276710800834237,1.0417878755909205
15,01_01_a0101135010002600077z,0.5,0.4685476437719239,32.0,17.0,1.4175846039411983,1.0270829116023534
16,01_01_a0101135010003000030z,0.6666666666666666,0.4777126524960706,29.0,17.0,1.4150595646120423,0.8904965945860902
17,01_01_a0101135010003000032z,0.6666666666666666,0.3735251149284489,23.0,8.0,1.4149168548847262,0.6272550799078163
18,01_01_A0101135010003800014z,0.3333333333333333,0.8575143166930387,49.0,26.0,2.0117593891919894,1.401670768040142
