,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,1.1425226745141543,42.0,20.0,1.74395440493292,1.4475709461805275
1,01_01_a0101135010000300031z,0.6666666666666666,0.31782581453634084,25.0,15.0,1.4148359826477526,0.7885069799116659
2,01_01_a0101135010000300042z,0.8333333333333334,0.21328856017503506,31.0,14.0,1.0014250345196336,0.7911614539226526
3,01_01_a0101135010001100026z,0.6666666666666666,0.4681927511535849,35.0,12.0,1.00283842591068,0.6727645598703531
4,01_01_a0101135010001100037z,0.6666666666666666,0.4645952363252765,35.0,12.0,1.002727630240914,0.6704979721385802
5,01_01_A0101135010001900032z,0.5,0.1956574737059412,32.0,20.0,1.4144447864747551,0.7787570788670518
6,01_01_A0101135010001900041z,0.6666666666666666,0.10423378065844956,36.0,19.0,1.0028812171673425,0.7307130621304583
7,01_01_a0101135010002200032A,0.5,0.3543753617766776,32.0,16.0,1.7324622789064703,0.8465016840245717
8,01_01_a0101135010002200032B,0.6666666666666666,0.27123447042427073,30.0,14.0,1.4149158322460964,0.7638325511013647
9,01_01_a0101135010002200032D,0.6666666666666666,0.5156342142120006,28.0,15.0,1.414901154871527,0.7556493579666236
10,01_01_A0101135010002600058a,0.5,0.05364143098759977,63.0,37.0,1.0026106102049324,1.0179027012295874
11,01_01_A0101135010002600058b,0.3333333333333333,0.07964924330055911,59.0,27.0,1.415437747216067,0.9296319506075474
12,01_01_A0101135010002600058c,0.3333333333333333,0.07964924330055911,59.0,27.0,1.4151522339563214,0.9305691163225229
13,01_01_A0101135010002600066z,0.5,0.3336020045764062,58.0,29.0,1.0049168896101859,0.9422680464762071
14,01_01_a0101135010002600076z,0.6666666666666666,0.3673637218045113,68.0,42.0,0.09617926925692054,1.013268477852033
15,01_01_a0101135010002600077z,0.3333333333333333,0.1584794047288406,37.0,20.0,1.7347257935849771,0.9778203752894112
16,01_01_a0101135010003000030z,0.5,0.2770194134529873,36.0,21.0,1.732835531576519,0.8260710847642435
17,01_01_a0101135010003000032z,0.5,0.2334181241146344,36.0,14.0,1.7325822865522045,0.8063692447907702
