,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,1.372769993647976,35.0,15.0,2.007056504803762,1.5280504144071378
1,01_01_a0101135010000300031z,0.8333333333333334,0.5324481336701626,21.0,5.0,1.0008442940824778,0.8942678395027153
2,01_01_a0101135010000300042z,0.5,0.14195875895878673,28.0,14.0,1.4152065414055797,0.6614509675927907
3,01_01_a0101135010001100026z,0.5,0.4026795679802369,30.0,13.0,1.003667114311611,0.597765312391327
4,01_01_a0101135010001100037z,0.5,0.40627708280854535,30.0,13.0,1.0036534132571986,0.6025420578631391
5,01_01_A0101135010001900032z,0.8333333333333334,0.26896484542788063,28.0,17.0,1.0011870303050392,0.724605049059591
6,01_01_A0101135010001900041z,0.6666666666666666,0.22510609979227136,32.0,20.0,1.0009320255318477,0.7463735802991897
7,01_01_a0101135010002200032A,1.0,0.5846226809104994,21.0,8.0,1.0007959184434465,0.8964432602057303
8,01_01_a0101135010002200032B,0.8333333333333334,0.3608567895580925,27.0,9.0,1.0004668794624558,0.8144528065308501
9,01_01_a0101135010002200032D,0.8333333333333334,0.5896315333458224,27.0,11.0,1.0011600302882644,0.8569770977713287
10,01_01_A0101135010002600058a,0.5,0.2526387501214216,70.0,41.0,1.003432487051399,1.0762833485419807
11,01_01_A0101135010002600058b,0.5,0.3098965624343809,52.0,23.0,1.4151965952236063,0.9568548017077836
12,01_01_A0101135010002600058c,0.5,0.3098965624343809,52.0,23.0,1.4151968271430542,0.9591834881715277
13,01_01_A0101135010002600066z,0.5,0.563849323710228,62.0,30.0,1.0047113883672254,0.9982932374239624
14,01_01_a0101135010002600076z,0.3333333333333333,0.5976110409383331,81.0,41.0,1.005170456556057,1.0670170846679101
15,01_01_a0101135010002600077z,0.6666666666666666,0.3887267238626624,31.0,14.0,1.4171565061152156,1.0099526346507768
16,01_01_a0101135010003000030z,0.8333333333333334,0.5072667325868091,25.0,14.0,1.4154441504815254,0.8838870501228723
17,01_01_a0101135010003000032z,0.8333333333333334,0.4030791950191874,17.0,5.0,1.4149309879907082,0.8039021311272428
18,01_01_A0101135010003800014z,0.5,0.8870683967837771,44.0,23.0,2.0122332266676968,1.3358768474292289
19,01_01_a0101135010004900033A,0.8333333333333334,0.5469110684820245,17.0,8.0,1.4149753419075033,0.8288657710551468
20,01_01_a0101135010004900038z,1.0,0.5823293021084999,24.0,8.0,1.0003695706091171,0.8072620179829184
21,01_01_a0101135010004900043z,0.8333333333333334,0.4468465125099727,27.0,7.0,1.0006347734931225,0.7883439610370241
22,01_01_a0101135010005200042z,0.6666666666666666,0.4853645032579251,54.0,22.0,1.0113128361047086,0.9476952711670068
23,01_01_a0101135010005200043z,0.6666666666666666,0.32759299617954346,43.0,14.0,1.0072819328346003,0.8666960295503608
24,01_01_a0101135010005200054z,0.5,0.4896475180005538,62.0,23.0,1.0027919845720294,0.851105857916
25,01_01_a0101135010005600032z,0.6666666666666666,0.2864064562990584,33.0,12.0,1.000606609409648,0.8089812931634462
