,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,0.8804099787798617,22.0,13.0,1.7411529919331632,1.1112677065549907
1,01_01_a0101135010000300031z,0.8333333333333334,0.08696311880204832,16.0,7.0,0.044616780231847585,0.4803254815804723
2,01_01_a0101135010000300042z,0.8333333333333334,0.4285262559093276,30.0,5.0,0.10801928469823356,0.9045811920437948
3,01_01_a0101135010001100026z,0.5,0.3240554468878774,38.0,16.0,0.07866965310405533,0.7777579679410017
4,01_01_a0101135010001100037z,0.5,0.32045793205956896,38.0,16.0,0.08168626682670391,0.7770969642209149
5,01_01_A0101135010001900032z,0.6666666666666666,0.5983951694402336,32.0,13.0,0.08232857303163027,0.8740245438897878
6,01_01_A0101135010001900041z,0.5,0.2985039150758429,42.0,18.0,0.13118769002856356,0.8078398525174496
7,01_01_a0101135010002200032A,0.6666666666666666,0.09226266604238507,18.0,8.0,1.000626319145064,0.6881561969729639
8,01_01_a0101135010002200032B,0.6666666666666666,0.3502532253100218,34.0,13.0,1.0023165036820605,0.7282326833668182
9,01_01_a0101135010002200032D,0.6666666666666666,0.3246034815222919,26.0,13.0,1.0010711762147664,0.7493221748929056
10,01_01_A0101135010002600058a,0.5,0.4272212647466928,70.0,34.0,0.10344992907838026,1.057287139434543
11,01_01_A0101135010002600058b,0.6666666666666666,0.3230884524337334,47.0,24.0,0.1323084852848899,0.8840377199645455
12,01_01_A0101135010002600058c,0.6666666666666666,0.3230884524337334,47.0,24.0,0.13317696302552626,0.8942999031395072
13,01_01_A0101135010002600066z,0.3333333333333333,0.07148930884211369,56.0,28.0,0.12650604623917885,0.8697804710814029
14,01_01_a0101135010002600076z,0.3333333333333333,0.16775102607021875,76.0,38.0,0.09064157751070998,0.9097675362257416
15,01_01_a0101135010002600077z,0.5,0.2869917089945481,25.0,14.0,1.4221833148970529,0.8552585661042901
16,01_01_a0101135010003000030z,0.6666666666666666,0.12571828228130522,22.0,12.0,1.4153246069787748,0.7781019687360656
17,01_01_a0101135010003000032z,0.8333333333333334,0.2299058198489269,21.0,10.0,1.0044230639376357,0.8469756314100444
18,01_01_A0101135010003800014z,0.3333333333333333,0.3947083819156628,42.0,23.0,2.0153785704092293,1.2240820664388938
19,01_01_a0101135010004900033A,0.8333333333333334,0.3673239463860898,18.0,3.0,1.0028953985847275,0.7077554596181537
20,01_01_a0101135010004900038z,0.6666666666666666,0.33190571275961445,27.0,10.0,1.0025035738884502,0.7380268123801859
21,01_01_a0101135010004900043z,0.5,0.2642635023581417,32.0,14.0,1.001893549280938,0.6901627720117245
22,01_01_a0101135010005200042z,0.6666666666666666,0.1476205116101892,46.0,22.0,0.14828415103137174,0.8345374113262123
23,01_01_a0101135010005200043z,0.6666666666666666,0.30539201868857085,46.0,19.0,0.12514422906385972,0.8065614596953664
