,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.16666666666666666,1.2158031022458875,52.0,25.0,2.239882847483776,1.296384482184027
1,01_01_a0101135010000300031z,0.5,0.3754812422680742,29.0,13.0,1.7326890189640851,0.8123504825283019
2,01_01_a0101135010000300042z,0.16666666666666666,0.3900081324433017,41.0,19.0,2.0011330268838505,0.7284993571507391
3,01_01_a0101135010001100026z,0.16666666666666666,0.3949123234218515,38.0,17.0,1.7321940874541342,0.7470657843128763
4,01_01_a0101135010001100037z,0.16666666666666666,0.3913148085935431,38.0,17.0,1.732255790134993,0.7437731352673537
5,01_01_A0101135010001900032z,0.5,0.4348770459742078,40.0,10.0,1.4150559203137452,0.650733524205282
6,01_01_A0101135010001900041z,0.3333333333333333,0.19748579160981705,45.0,16.0,1.4172327129813926,0.7155787439742862
7,01_01_a0101135010002200032A,0.5,0.427655789508411,39.0,15.0,1.7325464894520282,0.8377504207876348
8,01_01_a0101135010002200032B,0.3333333333333333,0.1554851018439959,44.0,22.0,1.733330370018752,0.7554020916140497
9,01_01_a0101135010002200032D,0.3333333333333333,0.317335358056266,42.0,19.0,1.7325270602150875,0.8106257716983643
10,01_01_A0101135010002600058a,0.16666666666666666,0.26370314128066685,73.0,42.0,1.4145582434621493,0.9469898956810066
11,01_01_A0101135010002600058b,0.16666666666666666,0.2533203289677075,56.0,33.0,1.7334224668240914,0.8323677874733951
12,01_01_A0101135010002600058c,0.16666666666666666,0.2533203289677075,56.0,33.0,1.7335827366316874,0.8457812290932138
13,01_01_A0101135010002600066z,0.16666666666666666,0.4068824323081396,62.0,34.0,1.4148542704608416,0.8674970264480364
14,01_01_a0101135010002600076z,0.0,0.44064414953624464,73.0,43.0,1.4148439660097205,0.8865863567913294
15,01_01_a0101135010002600077z,0.5,0.231759832460574,44.0,22.0,1.7364122006075096,0.7359872482349527
16,01_01_a0101135010003000030z,0.3333333333333333,0.3684501588152793,49.0,26.0,2.000540811090982,0.7900384320457792
17,01_01_a0101135010003000032z,0.3333333333333333,0.472637696382901,41.0,19.0,2.0009172966724877,0.8368923602464808
18,01_01_A0101135010003800014z,0.16666666666666666,0.7301015053816887,68.0,38.0,2.2481567595777743,1.2316632955457316
