,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,0.7945270959450901,29.0,16.0,2.0172397534182527,1.3129151678149005
1,01_01_a0101135010000300031z,0.8333333333333334,0.04579476403272331,24.0,5.0,1.001371495714242,0.7018008834146138
2,01_01_a0101135010000300042z,0.5,0.4362841387440992,32.0,11.0,1.4161537751310982,0.8916739315407961
3,01_01_a0101135010001100026z,0.5,0.44118832972264893,36.0,15.0,1.0040141493514878,0.9004624005863535
4,01_01_a0101135010001100037z,0.5,0.4375908148943406,36.0,15.0,1.0039631451314872,0.8962259044976569
5,01_01_A0101135010001900032z,0.8333333333333334,0.5436530522750054,30.0,9.0,1.0021670116695087,0.8833328785129527
6,01_01_A0101135010001900041z,0.6666666666666666,0.3531367979106146,37.0,14.0,1.0020007668629536,0.8021699241587261
7,01_01_a0101135010002200032A,1.0,0.024870216792386542,6.0,2.0,1.001049967586454,0.4505282343125802
8,01_01_a0101135010002200032B,0.8333333333333334,0.4361361081447934,26.0,9.0,1.0003429090732383,0.7297979193450496
9,01_01_a0101135010002200032D,0.8333333333333334,0.4104863643570635,17.0,7.0,1.002098099928953,0.5806251586656893
10,01_01_A0101135010002600058a,0.5,0.3724791475814644,72.0,37.0,1.0032223629916683,1.0694849741585084
11,01_01_A0101135010002600058b,0.5,0.26834633526850504,56.0,29.0,1.4154802068883248,0.9905399069577352
12,01_01_A0101135010002600058c,0.5,0.26834633526850504,56.0,29.0,1.4152816208421195,0.9929245170922172
13,01_01_A0101135010002600066z,0.5,0.04564357399265795,59.0,31.0,1.0055335095613769,0.8525970640959626
14,01_01_a0101135010002600076z,0.3333333333333333,0.05061814323544711,79.0,38.0,1.0074841959973275,0.9248287365433672
15,01_01_a0101135010002600077z,0.6666666666666666,0.1895161738402236,24.0,14.0,1.4184114863945094,0.8785184743560428
16,01_01_a0101135010003000030z,0.8333333333333334,0.10222616511607684,25.0,13.0,1.4158013147026778,0.7579062242006132
17,01_01_a0101135010003000032z,0.8333333333333334,0.20641370268369846,22.0,10.0,1.4151594582999798,0.8053613939964641
18,01_01_A0101135010003800014z,0.5,0.3088254990808912,42.0,22.0,2.011113457378055,1.1994431844680191
19,01_01_a0101135010004900033A,0.8333333333333334,0.4532068292208614,15.0,3.0,1.4151969076229531,0.6955903413504221
20,01_01_a0101135010004900038z,1.0,0.4177885955943861,16.0,4.0,1.000659620778763,0.6738341700348387
21,01_01_a0101135010004900043z,0.8333333333333334,0.3501463851929133,19.0,11.0,1.0004811616433824,0.7054913918231199
22,01_01_a0101135010005200042z,0.6666666666666666,0.10850339444496082,47.0,22.0,1.013907823776149,0.7915834188690604
23,01_01_a0101135010005200043z,0.6666666666666666,0.2506499015233425,47.0,20.0,1.0094089900078702,0.9325167705685362
24,01_01_a0101135010005200054z,0.5,0.4010953797023321,60.0,25.0,1.0064459718431116,0.7956562818924399
25,01_01_a0101135010005600032z,0.6666666666666666,0.4949614414038276,38.0,14.0,1.0009644704385083,0.7637265670659301
26,01_01_A0101135080001200060z,0.5,0.3571156954373218,45.0,24.0,1.0039134540659789,0.9034334993890268
27,01_01_a0101135080001400034z,0.8333333333333334,0.5144109490873288,21.0,7.0,1.0024532342092796,0.9648070229604648
28,01_01_a0101135080001800024A,0.8333333333333334,0.050548140143945264,21.0,9.0,1.001988796733607,0.709780848934758
