,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,1.1008992771556616,36.0,18.0,1.7507522150210524,1.322565603822033
1,01_01_a0101135010000300031z,1.0,0.2605774171778482,27.0,10.0,0.11609671166335757,0.8510077556178526
2,01_01_a0101135010000300042z,0.6666666666666666,0.2080369575335277,24.0,11.0,1.0041535016613783,0.7430474460793057
3,01_01_a0101135010001100026z,0.6666666666666666,0.2441911485120775,31.0,12.0,0.09505240434219796,0.7077504571616805
4,01_01_a0101135010001100037z,0.6666666666666666,0.2405936336837691,31.0,12.0,0.09354380724706493,0.7068685660228381
5,01_01_A0101135010001900032z,0.8333333333333334,0.3779058710644338,25.0,10.0,0.09037846276296976,0.6153201837609497
6,01_01_A0101135010001900041z,0.6666666666666666,0.15636038329995694,32.0,15.0,0.03482161341372598,0.6691667927067474
7,01_01_a0101135010002200032A,0.8333333333333334,0.312751964418185,28.0,7.0,1.001607581064995,0.8725839090539795
8,01_01_a0101135010002200032B,0.6666666666666666,0.2139860730657781,35.0,12.0,1.0019206351344545,0.7331352552211783
9,01_01_a0101135010002200032D,0.6666666666666666,0.333385816853508,32.0,9.0,1.0054972430998883,0.8128441621388433
10,01_01_A0101135010002600058a,0.5,0.27764303362910714,72.0,41.0,0.09503910365953896,0.8794526600190291
11,01_01_A0101135010002600058b,0.5,0.20990084594206648,56.0,29.0,1.0012965745377769,0.8577130434108848
12,01_01_A0101135010002600058c,0.5,0.20990084594206648,56.0,29.0,1.0017601336915072,0.8654489313226655
13,01_01_A0101135010002600066z,0.5,0.2919786072179136,63.0,30.0,0.07046156799044809,0.9056880356103928
14,01_01_a0101135010002600076z,0.3333333333333333,0.32574032444601864,76.0,37.0,0.1188215776207984,0.9999799002902068
15,01_01_a0101135010002600077z,0.5,0.366856007370348,33.0,18.0,1.4178704853953328,0.9025088987088226
16,01_01_a0101135010003000030z,0.6666666666666666,0.2353960160944947,27.0,17.0,1.4156695529454977,0.8673486085246666
17,01_01_a0101135010003000032z,0.6666666666666666,0.150041521473127,24.0,12.0,1.4149414654947918,0.6647989593324996
18,01_01_A0101135010003800014z,0.3333333333333333,0.6151976802914627,50.0,25.0,2.0129556899924617,1.2803608753181854
19,01_01_a0101135010004900033A,0.6666666666666666,0.3219153519897101,31.0,8.0,1.4171764083728629,0.7977180092347926
20,01_01_a0101135010004900038z,0.8333333333333334,0.35733358561618545,23.0,7.0,1.001702056572422,0.7444889300548245
21,01_01_a0101135010004900043z,0.6666666666666666,0.17497579601765822,27.0,13.0,1.002796493722282,0.7982023760499342
22,01_01_a0101135010005200042z,0.6666666666666666,0.2134937867656107,51.0,23.0,0.11966391223067993,0.9428791837870306
23,01_01_a0101135010005200043z,0.6666666666666666,0.13177772031277096,38.0,17.0,0.0943383439838831,0.7856781683442879
24,01_01_a0101135010005200054z,0.5,0.5146518015082394,58.0,26.0,0.08593434773197538,0.8341895897075152
25,01_01_a0101135010005600032z,0.5,0.31141073980674394,32.0,12.0,1.0031046925306841,0.7144899496123993
26,01_01_A0101135080001200060z,0.6666666666666666,0.19925648577324973,42.0,21.0,0.11544391735915535,0.6137309800911185
27,01_01_a0101135080001400034z,1.0,0.3174137678767572,20.0,6.0,0.08592751533800877,0.7895122549709487
28,01_01_a0101135080001800024A,1.0,0.3100453213545168,26.0,8.0,0.0817508745651184,0.8899083650399634
29,01_01_a0101135080001800034z,0.8333333333333334,0.28519704051811584,22.0,9.0,0.10523370275362348,0.7977380254789861
30,01_01_a0101135080002300017z,0.3333333333333333,0.4327612415283284,42.0,22.0,1.7399541168842203,1.1640871802918702
31,01_01_a0101135080002300020z,0.3333333333333333,0.43154940159433497,45.0,22.0,1.7399044663559406,1.1644196837170988
32,01_01_A0101135080004400016z,0.3333333333333333,0.965002501485476,50.0,25.0,2.015972516987184,1.479696166697469
33,01_01_A0101135080004400020z,0.5,0.29764019307529577,38.0,20.0,1.738531433988933,0.9545564499839956
34,01_01_A0101135080004400021z,0.5,0.7854335254718392,46.0,23.0,1.7489243518158455,1.3484206291621688
35,01_01_A0101135080004400032z,0.5,0.31326519307529577,36.0,18.0,1.7369061143305624,0.9207135526097868
36,01_01_A0101135080004400047z,0.5,0.0917940412543794,41.0,17.0,1.002033248242293,0.7679052205629883
37,01_01_a0101135080004500034A,0.8333333333333334,0.2485179673874612,24.0,9.0,1.001777949860584,0.7269180803814416
38,01_01_a0101135080005500017z,0.3333333333333333,0.2862182499223077,46.0,23.0,2.00868803801412,0.969989876123284
39,01_01_a0101135080005500019z,0.3333333333333333,0.2703136773576954,46.0,23.0,2.0090075365629216,0.964640174295241
40,01_01_a0101135080005500022z,0.3333333333333333,0.26306259467543225,46.0,23.0,2.009057090801238,0.9545620085314448
41,01_01_a0101135080005500026z,0.3333333333333333,0.26306259467543225,46.0,23.0,2.007792120655541,0.9977132881862852
42,01_01_A0101135080005700022z,0.8333333333333334,0.4557784105979544,26.0,11.0,1.0033958444811986,0.9709102102663402
43,01_01_a0101135080005800031z,0.8333333333333334,0.2617522292079234,27.0,10.0,1.0016270950504178,0.8427351995032141
44,01_01_a0101135080005800046z,0.6666666666666666,0.1587246258084053,23.0,10.0,1.0011238661415305,0.6276313527522565
45,01_01_a0101135080005800047A,0.5,0.225432400536121,35.0,12.0,1.0032768289110092,0.7739150814152556
46,01_01_a0101135080005800047z,0.5,0.2291403572466887,35.0,12.0,1.00390323819776,0.7751844271854266
47,01_01_a0101135080007000014z,0.3333333333333333,1.1201828535073657,50.0,25.0,2.0170187273048508,1.4248224978721258
48,01_01_a0101135080007000018z,0.3333333333333333,1.3388198983808557,49.0,25.0,2.020706150092153,1.559306551941281
49,01_01_A0101135080007100014z,0.16666666666666666,0.5995726802914627,40.0,23.0,1.7335856230393525,1.1686935127236622
50,01_01_A0101135080007100015a,0.16666666666666666,0.6083245423437039,42.0,20.0,1.7337907932643426,1.177191994623081
51,01_01_a0101135080007500020z,0.3333333333333333,0.14891807518573474,39.0,18.0,2.0028907160273826,0.7910693387185895
52,01_01_a0101135080007500021b,0.6666666666666666,0.2838397583476708,24.0,15.0,1.4169853029162374,0.8716004968522628
53,01_01_a0101135080007500021c,0.5,0.2392256001352417,32.0,16.0,1.73641567879103,0.8382848309631562
54,01_01_a0101135080007500026a,0.8333333333333334,0.3919170972734773,27.0,12.0,1.004584962532672,0.8637059062762175
55,01_01_a0101135080007800024z,0.8333333333333334,0.7715743315066809,24.0,9.0,1.009175898733418,1.0521708997447343
56,01_01_a0101135080008200031A,0.8333333333333334,0.17317428544828234,20.0,7.0,1.0016497479260074,0.6713463187380097
57,01_01_a0101135080008200031B,0.8333333333333334,0.17327174985093213,20.0,7.0,1.0018202857579763,0.6735262658305865
58,01_01_a0101135080008200031C,0.8333333333333334,0.26692428544828234,22.0,7.0,1.0013822924002682,0.6894673632226829
59,01_01_a0101135080008500034a,0.5,0.3439584549996755,34.0,16.0,1.415647677136527,0.754228897735752
60,01_01_a0101135080008500034b,0.5,0.5448325904838044,28.0,16.0,1.4155593336166314,0.8748972331670416
61,01_01_a0101135080008900015z,0.3333333333333333,0.2390418907081112,37.0,18.0,2.0019195506552565,0.9399053440721732
62,01_01_a0101135080008900024z,0.8333333333333334,0.3591829476324251,29.0,13.0,1.0131268903479678,1.0917245268432214
63,01_01_a0101135080008900025z,0.8333333333333334,0.18912237871963375,31.0,15.0,1.0066104680566677,0.8598687785405691
