,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,0.9071296456317072,33.0,16.0,2.0127517317928807,1.352554757086713
1,01_01_a0101135010000300031z,0.8333333333333334,0.08243278565389378,21.0,5.0,1.0010644275582037,0.7202274602917785
2,01_01_a0101135010000300042z,0.5,0.3236815890574821,32.0,11.0,1.4177995573724926,0.8442578462239374
3,01_01_a0101135010001100026z,0.5,0.34421078003603195,40.0,15.0,1.0031993397457304,0.8360314832865281
4,01_01_a0101135010001100037z,0.5,0.3406132652077235,40.0,15.0,1.0029720831812583,0.8318091016543163
5,01_01_A0101135010001900032z,0.8333333333333334,0.4310505025883882,30.0,9.0,1.003623511461012,0.8135989054509974
6,01_01_A0101135010001900041z,0.6666666666666666,0.2405342482239975,38.0,14.0,1.00614432201506,0.7387316800089206
7,01_01_a0101135010002200032A,1.0,0.11898233289423055,4.0,2.0,1.00070766209949,0.5379026676336128
8,01_01_a0101135010002200032B,0.8333333333333334,0.32353355845817633,23.0,9.0,1.0007718402067816,0.7260628417236998
9,01_01_a0101135010002200032D,0.8333333333333334,0.31149118532955355,19.0,7.0,1.0004586176208636,0.5988108611067691
10,01_01_A0101135010002600058a,0.5,0.2598765978948473,70.0,37.0,1.0043746303480234,0.9901107232073856
11,01_01_A0101135010002600058b,0.5,0.15574378558188795,62.0,29.0,1.4183369958061434,0.923632174327516
12,01_01_A0101135010002600058c,0.5,0.15574378558188795,62.0,29.0,1.4181211617595448,0.9303683680308056
13,01_01_A0101135010002600066z,0.5,0.09820897569395914,60.0,31.0,1.0091436920007946,0.8702906352046762
14,01_01_a0101135010002600076z,0.3333333333333333,0.1475956929220642,77.0,38.0,1.0040174426284694,0.9714410250037528
15,01_01_a0101135010002600077z,0.6666666666666666,0.2668363758463935,25.0,14.0,1.4208299118562076,0.9219991027350182
16,01_01_a0101135010003000030z,0.8333333333333334,0.041626384570540235,24.0,13.0,1.4159306887061929,0.6966190188667263
17,01_01_a0101135010003000032z,0.8333333333333334,0.10943615299708144,24.0,10.0,1.4162180853041733,0.721902992117859
18,01_01_A0101135010003800014z,0.5,0.4214280487675083,44.0,22.0,2.0135520232735606,1.2619167244628275
19,01_01_a0101135010004900033A,0.8333333333333334,0.3562292795342443,16.0,3.0,1.4149103111069603,0.6447019290179163
20,01_01_a0101135010004900038z,1.0,0.305186045907769,19.0,4.0,1.0019882530433175,0.5939261411683463
21,01_01_a0101135010004900043z,0.8333333333333334,0.2531688355062962,23.0,11.0,1.0018867652024028,0.6522525140164767
22,01_01_a0101135010005200042z,0.6666666666666666,0.019724155241656268,51.0,22.0,1.0155577915047749,0.7204610795240637
23,01_01_a0101135010005200043z,0.6666666666666666,0.1380473518367254,49.0,20.0,1.0110911975884036,0.852731357597129
24,01_01_a0101135010005200054z,0.5,0.4146321699842849,56.0,25.0,1.0031053282367508,0.8262102177858622
25,01_01_a0101135010005600032z,0.6666666666666666,0.3823588917172105,31.0,14.0,1.0019307330072122,0.6981574907396961
26,01_01_A0101135080001200060z,0.5,0.2445131457507047,46.0,24.0,1.007404455922248,0.841136835017557
27,01_01_a0101135080001400034z,0.8333333333333334,0.4174333994007116,26.0,7.0,1.0044682725466445,0.9013112346100276
