,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,1.2874538007794298,41.0,18.0,1.7472003909595586,1.294458452554016
1,01_01_a0101135010000300031z,0.8333333333333334,0.4471319408016165,27.0,11.0,1.0065508332419602,0.7675501597648484
2,01_01_a0101135010000300042z,0.8333333333333334,0.5058574339097595,25.0,9.0,1.0074690073001202,0.7889485681938001
3,01_01_a0101135010001100026z,0.8333333333333334,0.4482616248883093,26.0,17.0,0.12778672610349606,0.7735841444798275
4,01_01_a0101135010001100037z,0.8333333333333334,0.4446641100600008,26.0,17.0,0.12302528297358685,0.7694199418767866
5,01_01_A0101135010001900032z,0.6666666666666666,0.3788513474406656,28.0,16.0,1.0042659506484075,0.6986520931303014
6,01_01_A0101135010001900041z,0.8333333333333334,0.34458509307627483,29.0,14.0,0.07082428663073373,0.6369363747675864
7,01_01_a0101135010002200032A,0.6666666666666666,0.4993064880419532,28.0,13.0,1.4152131927521798,0.8214352976491623
8,01_01_a0101135010002200032B,0.5,0.22445940331045366,32.0,12.0,1.4147712336166027,0.7846312529209073
9,01_01_a0101135010002200032D,0.5,0.16755965952272378,27.0,14.0,1.4153355017069915,0.8009364546067947
10,01_01_A0101135010002600058a,0.3333333333333333,0.39517744274712463,70.0,34.0,1.0030116653327543,0.8760068904362595
11,01_01_A0101135010002600058b,0.3333333333333333,0.3691696304341653,57.0,31.0,1.4160743209524482,0.881323089063816
12,01_01_A0101135010002600058c,0.3333333333333333,0.3691696304341653,57.0,31.0,1.4158648154373108,0.8883458957140308
13,01_01_A0101135010002600066z,0.6666666666666666,0.4785331308416818,52.0,25.0,0.1105428345055852,0.8030424038602073
14,01_01_a0101135010002600076z,0.5,0.5122948480697869,73.0,34.0,0.12009663208496607,0.9475807853620296
15,01_01_a0101135010002600077z,0.3333333333333333,0.3815355309941162,39.0,18.0,1.7362259105283937,0.8400400126710941
16,01_01_a0101135010003000030z,0.5,0.4842994602817371,34.0,15.0,1.7326979903284767,0.8040832732580904
17,01_01_a0101135010003000032z,0.5,0.5884869978493588,28.0,14.0,1.7333907991444488,0.8158378022227835
18,01_01_A0101135010003800014z,0.3333333333333333,0.8017522039152309,57.0,28.0,2.01237626389757,1.2321069524320072
19,01_01_a0101135010004900033A,0.5,0.2415301243865217,33.0,13.0,1.7323391605072973,0.826563822944178
20,01_01_a0101135010004900038z,0.6666666666666666,0.19048689076004632,30.0,16.0,1.4149229901854543,0.7479814260022698
21,01_01_a0101135010004900043z,0.8333333333333334,0.3728446803585736,25.0,11.0,1.0020550039201006,0.8467864960894423
22,01_01_a0101135010005200042z,0.5,0.490576689610621,55.0,21.0,1.0143599474028837,0.920937440773658
23,01_01_a0101135010005200043z,0.5,0.5702231966890028,38.0,14.0,1.0091310515355711,0.8636665325359993
24,01_01_a0101135010005200054z,0.5,0.18558132513200765,46.0,25.0,0.09995077118141382,0.6997338733765227
25,01_01_a0101135010005600032z,0.6666666666666666,0.22078473656948785,33.0,7.0,1.0014057180845541,0.6728606742888229
26,01_01_A0101135080001200060z,0.8333333333333334,0.4266889906029821,34.0,20.0,0.10886559017924036,0.6288915722088213
27,01_01_a0101135080001400034z,0.8333333333333334,0.599609244252989,25.0,15.0,1.0070405610952473,0.8864101552903035
28,01_01_a0101135080001800024A,0.8333333333333334,0.49659984497828497,28.0,13.0,1.0050804058853626,0.822997806222144
29,01_01_a0101135080001800034z,0.6666666666666666,0.5048925168943477,21.0,18.0,1.0066525207121684,0.8240990576450061
30,01_01_a0101135080002300017z,0.3333333333333333,0.6193157651520966,53.0,27.0,1.7412964576921308,1.077759087418336
31,01_01_a0101135080002300020z,0.3333333333333333,0.6181039252181032,53.0,27.0,1.7413249897842726,1.0844930355131956
32,01_01_A0101135080004400016z,0.3333333333333333,1.1515570251092442,57.0,28.0,2.0135677361454087,1.4280498358680629
33,01_01_A0101135080004400020z,0.5,0.468569716699064,44.0,23.0,1.739993677730457,0.9933160375022082
34,01_01_A0101135080004400021z,0.5,0.9719880490956072,53.0,27.0,1.748667822655164,1.3020482372503273
35,01_01_A0101135080004400032z,0.5,0.452944716699064,43.0,19.0,1.7353030227429318,0.8408710900949286
36,01_01_A0101135080004400047z,0.5,0.5029014351218524,45.0,23.0,1.0028928561914712,0.8552174322784731
37,01_01_a0101135080004500034A,0.6666666666666666,0.42133844376369295,28.0,15.0,1.4154012595603374,0.7641979616395984
38,01_01_a0101135080005500017z,0.3333333333333333,0.7246637262985395,52.0,27.0,2.0117078080642963,1.084983057940685
39,01_01_a0101135080005500019z,0.3333333333333333,0.7087591537339272,53.0,27.0,2.011903381849688,1.0661309352886377
40,01_01_a0101135080005500022z,0.3333333333333333,0.7015080710516639,53.0,27.0,2.010972305156599,1.0693202457339412
41,01_01_a0101135080005500026z,0.3333333333333333,0.7015080710516639,53.0,27.0,2.0095255367889657,1.1222867580387357
42,01_01_A0101135080005700022z,0.6666666666666666,0.6423329342217227,33.0,12.0,1.4161459172509308,0.8982336244519141
43,01_01_a0101135080005800031z,0.6666666666666666,0.4579432471683084,30.0,13.0,1.4160461591613225,0.7771324121382254
44,01_01_a0101135080005800046z,0.8333333333333334,0.5971701021846371,21.0,11.0,1.0044139365817195,0.7272901757288774
45,01_01_a0101135080005800047A,0.6666666666666666,0.4473880758401108,31.0,13.0,1.001287255110368,0.7088469453248053
46,01_01_a0101135080005800047z,0.6666666666666666,0.4436801191295431,31.0,13.0,1.001571643832198,0.703935316453812
47,01_01_a0101135080007000014z,0.3333333333333333,0.6817373771311337,57.0,28.0,2.0146222211392133,1.3633358260954829
48,01_01_a0101135080007000018z,0.3333333333333333,0.9003744220046239,57.0,28.0,2.018099067106975,1.496811203247046
49,01_01_A0101135080007100014z,0.16666666666666666,0.7861272039152309,50.0,28.0,1.737237454481719,1.1102617016956784
50,01_01_A0101135080007100015a,0.16666666666666666,0.7948790659674723,52.0,25.0,1.7371462463602576,1.131517265909341
51,01_01_a0101135080007500020z,0.3333333333333333,0.39890240119049697,44.0,20.0,2.005239347013445,0.8366970703049647
52,01_01_a0101135080007500021b,0.6666666666666666,0.5191602347239026,36.0,16.0,1.4204773312975647,0.919953784740482
53,01_01_a0101135080007500021c,0.3333333333333333,0.29296987624098997,40.0,21.0,2.002305223561888,0.8793755900160509
54,01_01_a0101135080007500026a,0.6666666666666666,0.09340337910275442,34.0,14.0,1.4213367821399332,0.7878053225170659
55,01_01_a0101135080007800024z,0.6666666666666666,0.5675038551304492,28.0,14.0,1.4212557149461158,1.0011421854964613
56,01_01_a0101135080008200031A,0.6666666666666666,0.3616197618245141,23.0,13.0,1.4162627718591092,0.7499134880635513
57,01_01_a0101135080008200031B,0.6666666666666666,0.3617172262271639,23.0,13.0,1.4162823997009502,0.7520426570755919
58,01_01_a0101135080008200031C,0.6666666666666666,0.3616197618245141,21.0,13.0,1.4155648889879755,0.7443332995349146
59,01_01_a0101135080008500034a,0.5,0.3132370213765563,37.0,15.0,1.4176857191853558,0.7328776263456538
60,01_01_a0101135080008500034b,0.5,0.23138711410757265,40.0,18.0,1.4174868428389498,0.7915769053413234
61,01_01_a0101135080008900015z,0.3333333333333333,0.4806535856681206,42.0,20.0,2.0033187988049064,0.8927023979226363
62,01_01_a0101135080008900024z,0.6666666666666666,0.5457374712561933,37.0,17.0,1.4263530145863932,0.9908662935085124
63,01_01_a0101135080008900025z,0.6666666666666666,0.530573097656598,35.0,17.0,1.4218850028017296,0.8353791759147167
64,01_01_a0101135080009700024A,0.5,0.2516113508514292,27.0,13.0,1.7330266822401847,0.8651026486122794
65,01_01_a0101135080009700024B,0.5,0.3922363508514292,30.0,16.0,1.4159725263696596,0.8725875733768726
66,01_01_a0101135080009700033A,0.5,0.3086136410468403,31.0,13.0,1.7330899897606995,0.7026155774251238
67,01_01_a0101135080009700033B,0.8333333333333334,0.2341201702500608,19.0,9.0,1.0014692927997892,0.7667229065613059
68,01_01_a0101135080010200010z,0.3333333333333333,0.8521038877143527,47.0,23.0,2.0040436787154547,1.0966865302065134
69,01_01_a0101135080010200044z,0.3333333333333333,0.0899298106013785,36.0,26.0,1.4157095053448887,0.616641368333403
70,01_01_a0101135080010200049A,0.6666666666666666,0.19604811925741492,27.0,14.0,1.0029367446022206,0.5815080479391305
71,01_01_a0101135080010200049B,0.6666666666666666,0.20749479305889684,25.0,14.0,1.0034452821632116,0.5802805743046876
72,01_01_a0101135080010200054c,0.6666666666666666,0.14390602007336528,27.0,14.0,1.0022993288414572,0.5497645548179708
73,01_01_a0101135080010300019z,0.3333333333333333,0.5503440242280042,43.0,18.0,2.0021177314406597,0.8009393506674737
74,01_01_a0101135080010300035z,0.5,0.3743245280807664,30.0,17.0,1.0011712966522968,0.6301188005505048
75,01_01_a0101135080010300036z,0.5,0.6310700775480271,36.0,14.0,1.4186872739972844,0.9293427341411962
76,01_01_a0101135080010700022A,0.5,0.11818236616078905,34.0,16.0,1.4157259394289032,0.6512054019564191
77,01_01_a0101135080010700044z,0.8333333333333334,0.11912681328296205,19.0,11.0,1.0021329472846017,0.5841520692775279
78,01_01_a0101135080010900023A,0.6666666666666666,0.2884361024798649,24.0,14.0,1.41503537217132,0.796139336642117
79,01_01_a0101135080010900023B,0.8333333333333334,0.2678812563339329,19.0,13.0,1.005117789663694,0.8002729305617992
80,01_01_a0101135080010900023C,0.6666666666666666,0.4404000387453663,29.0,15.0,1.4162566634741345,0.8752006023581798
81,01_01_a0101135080010900033a,0.6666666666666666,0.2599650244464711,26.0,12.0,1.4154785258442986,0.7464890919553069
82,01_01_a0101135080010900044z,0.8333333333333334,0.11863832211983814,21.0,9.0,0.07120199492375694,0.6250444326336034
83,01_01_a0101135080010900055a,0.8333333333333334,0.21777915769935294,37.0,19.0,0.09673977808263587,0.7421284422419693
84,01_01_A0101135080011100012c,0.3333333333333333,0.5510068417244179,43.0,20.0,2.0025887472489945,1.0320824547179674
85,01_01_A010113508001110007b-1,0.16666666666666666,0.6693020454913852,51.0,22.0,2.0051523026534124,1.0370477803076827
86,01_01_A010113508001110007b,0.16666666666666666,0.4715926332387612,54.0,25.0,2.0020838212016523,0.8846428676281356
87,01_01_a0101135080011300055z,0.5,0.182834730394446,37.0,23.0,1.010684782389108,0.6671973989108808
88,01_01_a0101135080011300061z,0.5,0.12336761912954307,36.0,29.0,1.0036058948629798,0.6473654237678816
89,01_01_a0101135080011900033A,0.6666666666666666,0.4492692183462532,31.0,8.0,1.0032730787432629,0.857496718869303
90,01_01_a0101135080011900033b,0.6666666666666666,0.4275844033104537,34.0,11.0,1.0147868849125332,0.7234955797256851
91,01_01_a0101135080011900033c,0.6666666666666666,0.4606115631000005,27.0,10.0,1.0035881644473321,0.6487188775751312
92,01_01_a0101135080011900043z,0.5,0.4819264388431476,38.0,14.0,1.0052310167842688,0.7764828967848044
93,01_01_a0101135080011900045z,0.5,0.3729583234364766,46.0,21.0,1.0091881516805097,0.6967311076463562
94,01_01_A0101135080012200017f,0.3333333333333333,0.2960651044222026,45.0,20.0,2.0046863369761203,0.8085761573388682
95,01_01_A0101135080012200018a,0.3333333333333333,0.45056179742167896,42.0,20.0,2.007690935482297,0.9251481660635456
96,01_01_a0101135080012700048C,0.6666666666666666,0.32262910254926913,37.0,19.0,0.12011446108500312,0.6109834010107191
97,01_01_a0101135080012700056B,0.6666666666666666,0.32667324197120706,35.0,20.0,0.12968430329099742,0.6544582395952637
98,01_01_a0101135080014700026z,0.6666666666666666,0.4136276070505722,36.0,14.0,1.417092153347254,0.930394674556816
99,01_01_a0101135080014700028z,0.6666666666666666,0.5007997490367903,34.0,15.0,1.4188609665512222,0.6923784833797739
100,01_01_a0101135080014700032A,0.6666666666666666,0.2937510221437216,27.0,12.0,1.4156996145525165,0.6693203241374284
101,01_01_a0101135080014700033z,0.5,0.3286265168211988,39.0,16.0,1.4156114694694415,0.7603170597261449
102,01_01_a0101135090000300024z,0.3333333333333333,0.570884383348662,35.0,19.0,2.0011619932581377,0.8652208532655739
103,01_01_a0101135090000300034z,0.6666666666666666,0.11018145829192337,29.0,13.0,1.4166198701637018,0.7850865756577631
104,01_01_A0101135090000400023b,0.5,0.4747364634719286,37.0,21.0,1.735385542171732,0.7924583636133126
105,01_01_A0101135090000400032z,0.3333333333333333,0.5144166529892517,41.0,24.0,1.7343091523503156,0.8267270054771779
106,01_01_A0101135090000400034z,0.5,0.4922751948370265,38.0,21.0,1.4208840903720583,0.7928402631382762
107,01_01_A0101135090000400044z,0.5,0.4750031880868872,45.0,28.0,1.0016097137706328,0.7923621837459228
108,01_01_a0101135090000500013z,0.3333333333333333,0.6892212188122167,50.0,23.0,2.003677873218467,1.2114713513773885
109,01_01_a0101135090000500032z,0.6666666666666666,0.5238875638577355,27.0,12.0,1.0071721697506335,0.7463862929280002
110,01_01_a0101135090001000033z,0.5,0.4681448677564658,36.0,18.0,1.7352828279139183,0.7752225141322014
111,01_01_a0101135090001000044z,0.8333333333333334,0.6434139551883584,24.0,15.0,0.040678289035751936,0.7481434192528568
112,01_01_A0101135090001800024z,0.6666666666666666,0.5306066575190026,26.0,14.0,1.4187396739592173,0.8632602425363518
113,01_01_A0101135090001800031z,0.8333333333333334,0.4762365631000005,17.0,13.0,1.005628911444207,0.7570831997268417
114,01_01_A0101135090001800033z,0.6666666666666666,0.3379368007638356,26.0,14.0,1.4184686284813857,0.8095859641710201
115,01_01_A0101135090002000025z,0.16666666666666666,0.6462751721131107,47.0,20.0,2.000797054667357,0.9155947866822851
116,01_01_A0101135090002000032z,0.6666666666666666,0.5859798133358147,28.0,13.0,1.4146847757608991,0.8760131740226642
117,01_01_A0101135090002500025z,0.16666666666666666,0.5404752849110758,51.0,26.0,1.7356439662383645,0.8722984654292031
118,01_01_A0101135090002500032z,0.5,0.5881796738327957,28.0,17.0,1.4175901870437624,0.8081120906775581
119,01_01_A0101135090003000035z,0.5,0.6133317183462532,32.0,19.0,1.4184357534763676,0.8654881556484664
120,01_01_a0101135090003100024z,0.5,0.4972526469788242,39.0,19.0,1.7353894997610981,0.8209886965323602
121,01_01_a0101135090003100042z,1.0,0.6335378374028757,28.0,10.0,0.09793622012988587,0.8686541015663963
122,01_01_a0101135090003800024z,0.5,0.5115677993386343,39.0,19.0,1.73583729704648,0.8229899950175978
123,01_01_a0101135090003800033z,0.6666666666666666,0.4985829488364093,28.0,14.0,1.0074379382032719,0.8026253250091004
