,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,1.2632346106043797,65.0,29.0,2.0103335136017058,1.3900955332060465
1,01_01_a0101135010000300031z,0.5,0.4229127506265664,46.0,19.0,1.7331128787402748,0.8293072263187263
2,01_01_a0101135010000300042z,0.6666666666666666,0.4519516240848095,47.0,21.0,1.4169075650381353,0.8725898972658109
3,01_01_a0101135010001100026z,0.5,0.4099808150633593,42.0,22.0,1.4149576129616028,0.8105983134233319
4,01_01_a0101135010001100037z,0.5,0.4063833002350509,42.0,22.0,1.4151523043252348,0.8087997694767562
5,01_01_A0101135010001900032z,0.5,0.4030705376157156,38.0,21.0,1.7337198665977671,0.7995250330305035
6,01_01_A0101135010001900041z,0.6666666666666666,0.2594292832513249,33.0,17.0,1.4154357170276184,0.51464000498329
7,01_01_a0101135010002200032A,0.5,0.4750872978669032,53.0,22.0,1.7327165193330103,0.8528318462581659
8,01_01_a0101135010002200032B,0.6666666666666666,0.1705535934855037,48.0,22.0,1.4159158335259383,0.8138940377817793
9,01_01_a0101135010002200032D,0.6666666666666666,0.2855288496977738,45.0,27.0,1.4170357573675365,0.8222146592537852
10,01_01_A0101135010002600058a,0.5,0.26314663292217466,59.0,33.0,1.0020440012427485,0.7817148478336499
11,01_01_A0101135010002600058b,0.3333333333333333,0.3152638206092153,46.0,23.0,1.4159608382184588,0.8377948568242021
12,01_01_A0101135010002600058c,0.3333333333333333,0.3152638206092153,46.0,23.0,1.4162219148847668,0.8443646833747931
13,01_01_A0101135010002600066z,0.5,0.4543139406666318,50.0,29.0,1.4150491346499845,0.8485736530393797
14,01_01_a0101135010002600076z,0.8333333333333334,0.4880756578947368,54.0,33.0,0.08832789905269472,0.8718147913760249
15,01_01_a0101135010002600077z,0.3333333333333333,0.27919134081906616,61.0,29.0,1.7362146045722322,0.8716819507870819
16,01_01_a0101135010003000030z,0.5,0.4303936504567871,59.0,29.0,1.7330667974061282,0.8816587661061236
