,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,1.165867656587919,46.0,22.0,2.0044413381766373,1.2953786610108802
1,01_01_a0101135010000300031z,0.6666666666666666,0.4244542033898947,28.0,13.0,1.4172611093979457,0.8063249593873951
2,01_01_a0101135010000300042z,0.5,0.7211935781012706,40.0,20.0,1.422849315363915,0.8982948721622248
3,01_01_a0101135010001100026z,0.3333333333333333,0.4292227690798204,45.0,21.0,1.4203669709615945,0.7701703540823573
4,01_01_a0101135010001100037z,0.3333333333333333,0.425625254251512,45.0,21.0,1.4201731181972619,0.7704130006490592
5,01_01_A0101135010001900032z,0.6666666666666666,0.5004374916321768,35.0,13.0,1.0090289042338425,0.8587949598070996
6,01_01_A0101135010001900041z,0.5,0.5286712372677861,48.0,20.0,1.010840693489346,0.7047945818043111
7,01_01_a0101135010002200032A,0.6666666666666666,0.3879046561495579,36.0,16.0,1.4176155937159394,0.7943916759185445
8,01_01_a0101135010002200032B,0.6666666666666666,0.4397955475019648,37.0,16.0,1.4191340925561151,0.8753824367523709
9,01_01_a0101135010002200032D,0.6666666666666666,0.2266458037142349,31.0,18.0,1.41585853956343,0.829871855198549
10,01_01_A0101135010002600058a,0.5,0.5167635869386358,62.0,31.0,1.008472752859929,0.9543739971946666
11,01_01_A0101135010002600058b,0.5,0.5845057746256764,57.0,27.0,1.010744559323169,0.8545062696324519
12,01_01_A0101135010002600058c,0.5,0.5845057746256764,57.0,27.0,1.011399798604251,0.8647230569075715
13,01_01_A0101135010002600066z,0.3333333333333333,0.4086780133498293,60.0,27.0,1.0133143935850268,0.8033353047102673
14,01_01_a0101135010002600076z,0.3333333333333333,0.4532087038782757,68.0,37.0,1.0089836234467122,0.8806826710847395
15,01_01_a0101135010002600077z,0.5,0.42755061319739496,43.0,24.0,1.4275474575282272,0.8084452875182547
16,01_01_a0101135010003000030z,0.6666666666666666,0.4652606044732482,45.0,22.0,1.4183262851787466,0.8171145048107563
17,01_01_a0101135010003000032z,0.6666666666666666,0.5694481420408699,39.0,22.0,1.4216550980014089,0.8820387352448613
18,01_01_A0101135010003800014z,0.3333333333333333,0.6801660597237198,64.0,32.0,2.0224546021538967,1.194468291181258
19,01_01_a0101135010004900033A,0.6666666666666666,0.2381162685780328,41.0,19.0,1.4172250254083962,0.8108874925088841
20,01_01_a0101135010004900038z,0.6666666666666666,0.20269803495155747,37.0,20.0,1.4188712551689266,0.8110577511784735
21,01_01_a0101135010004900043z,0.5,0.3850558245500847,43.0,21.0,1.4188309266288306,0.8859551147482483
22,01_01_a0101135010005200042z,0.8333333333333334,0.4871628338021322,35.0,14.0,0.21185371687196475,0.8581052671605762
23,01_01_a0101135010005200043z,1.0,0.6449343408805139,28.0,17.0,0.1815334463720321,0.8931551103143271
24,01_01_a0101135010005200054z,0.6666666666666666,0.2797548190595035,46.0,21.0,0.09495993883762917,0.5894909317510827
25,01_01_a0101135010005600032z,0.5,0.342370880760999,41.0,21.0,1.4188920811203891,0.8139755370203556
26,01_01_A0101135080001200060z,0.5,0.5639001347944932,39.0,21.0,1.0134825269912575,0.7526760935201939
27,01_01_a0101135080001400034z,0.6666666666666666,0.5805703884445002,37.0,18.0,1.4212012129541616,0.8083418022950676
28,01_01_a0101135080001800024A,0.6666666666666666,0.4375137007867739,35.0,17.0,1.4177984923547104,0.8196628180229236
29,01_01_a0101135080001800034z,0.8333333333333334,0.7202286610858588,33.0,18.0,1.0108870158460797,0.9612120433885954
30,01_01_a0101135080002300017z,0.3333333333333333,0.5446046209605855,50.0,28.0,1.7496238014816707,0.9953646503342792
31,01_01_a0101135080002300020z,0.3333333333333333,0.559017781026592,52.0,28.0,1.749585582041944,0.9970166217978156
32,01_01_A0101135080004400016z,0.3333333333333333,1.0299708809177328,64.0,32.0,2.011355840380991,1.3930077969450538
33,01_01_A0101135080004400020z,0.3333333333333333,0.34698357250755285,50.0,26.0,2.0109334818589804,0.9219999592024181
34,01_01_A0101135080004400021z,0.3333333333333333,0.8504019049040961,60.0,30.0,2.0161184006789963,1.2086426838268878
35,01_01_A0101135080004400032z,0.3333333333333333,0.33135857250755285,47.0,22.0,2.0016537000343617,0.8147124797887615
36,01_01_A0101135080004400047z,0.5,0.6088625793133635,37.0,17.0,1.41634347712607,0.8147247162463699
37,01_01_a0101135080004500034A,0.6666666666666666,0.4022995879552041,37.0,17.0,1.42130747925949,0.7548280130484942
38,01_01_a0101135080005500017z,0.3333333333333333,0.7056248704900506,58.0,31.0,2.02031709475178,1.1115404562913
39,01_01_a0101135080005500019z,0.3333333333333333,0.6897202979254383,59.0,31.0,2.0206905997695395,1.071798400044667
40,01_01_a0101135080005500022z,0.3333333333333333,0.6824692152431752,59.0,31.0,2.0197384140049146,1.0984134225163618
41,01_01_a0101135080005500026z,0.3333333333333333,0.6824692152431752,59.0,31.0,2.0176077174327944,1.1298722017581937
42,01_01_A0101135080005700022z,0.6666666666666666,0.5207467900302115,40.0,16.0,1.4166426307742872,0.9014084141684002
43,01_01_a0101135080005800031z,0.6666666666666666,0.4389043913598195,37.0,20.0,1.4172884237637011,0.8455625470403941
