,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,1.402460970932912,33.0,20.0,2.009911862046181,1.2620344101983694
1,01_01_a0101135010000300031z,0.8333333333333334,0.5621391109550986,18.0,11.0,1.0006988960691083,0.679871962987331
2,01_01_a0101135010000300042z,0.5,0.4064752637562773,32.0,12.0,1.417634892224814,0.8219977745206365
3,01_01_a0101135010001100026z,0.5,0.4270044547348271,39.0,19.0,1.00355964006832,0.7558685174867124
4,01_01_a0101135010001100037z,0.5,0.4234069399065187,39.0,19.0,1.0032709027273965,0.7506518261439415
5,01_01_A0101135010001900032z,0.8333333333333334,0.1857191772871834,31.0,11.0,0.07779851974019851,0.7726426888450031
6,01_01_A0101135010001900041z,0.6666666666666666,0.3016720770772073,38.0,17.0,0.1290325387270061,0.7476273604517468
7,01_01_a0101135010002200032A,0.8333333333333334,0.6143136581954354,23.0,10.0,1.000743459764432,0.7639346941838041
8,01_01_a0101135010002200032B,0.6666666666666666,0.2499227668430285,33.0,12.0,1.0015784685545457,0.652397648359778
9,01_01_a0101135010002200032D,0.6666666666666666,0.2755725106307584,22.0,12.0,1.000249158874047,0.7215508965254921
10,01_01_A0101135010002600058a,0.5,0.23545472740635756,65.0,36.0,0.10706810723035123,0.972959957231878
11,01_01_A0101135010002600058b,0.5,0.3395875397193169,46.0,29.0,1.0080069001103191,0.8601955126109482
12,01_01_A0101135010002600058c,0.5,0.3395875397193169,46.0,29.0,1.0075050215644232,0.8634024028052868
13,01_01_A0101135010002600066z,0.5,0.593540300995164,50.0,29.0,0.12572605451433705,0.9217965143218372
14,01_01_a0101135010002600076z,0.3333333333333333,0.627302018223269,69.0,35.0,0.07626590451249822,1.0082567272866054
15,01_01_a0101135010002600077z,0.5,0.4184177011475984,32.0,17.0,1.4214675257316671,0.9485755464471568
16,01_01_a0101135010003000030z,0.6666666666666666,0.5369577098717451,29.0,17.0,1.4154183925968356,0.7657950752853825
17,01_01_a0101135010003000032z,0.6666666666666666,0.4891048276958766,30.0,16.0,1.4172245819442526,0.7653682374060035
18,01_01_A0101135010003800014z,0.3333333333333333,0.9167593740687132,53.0,28.0,2.0145713368996647,1.3091309215444673
19,01_01_a0101135010004900033A,0.6666666666666666,0.2328520457669605,29.0,11.0,1.4149152387504933,0.5912636531827962
20,01_01_a0101135010004900038z,0.8333333333333334,0.26827027939343584,28.0,11.0,1.0015520618167757,0.7021883200656903
21,01_01_a0101135010004900043z,0.6666666666666666,0.3515875102050914,27.0,16.0,1.0014836366217887,0.5387810103414963
22,01_01_a0101135010005200042z,0.6666666666666666,0.5150554805428611,33.0,20.0,0.15915041466606816,0.8641595539877059
23,01_01_a0101135010005200043z,0.8333333333333334,0.4708410265355206,37.0,17.0,0.1298855835043573,0.7035953403458207
24,01_01_a0101135010005200054z,0.5,0.2068384952854898,49.0,24.0,0.059070297449982975,0.8142131379617382
25,01_01_a0101135010005600032z,0.5,0.19109743358399436,42.0,17.0,1.0008412865094565,0.7733490638508773
26,01_01_A0101135080001200060z,0.5,0.2508181795505001,40.0,23.0,1.0063248063480843,0.7539479428914051
27,01_01_a0101135080001400034z,0.8333333333333334,0.5783520740995067,24.0,12.0,1.0042718442379843,0.8105418446949249
28,01_01_a0101135080001800024A,0.8333333333333334,0.6116070151317672,23.0,11.0,1.0032089568016285,0.7238249080575133
29,01_01_a0101135080001800034z,1.0,0.4836353467408655,16.0,11.0,0.1018055171937028,0.8752846228202293
30,01_01_a0101135080002300017z,0.3333333333333333,0.7343229353055788,36.0,22.0,1.7430424167916216,1.1676883845077228
31,01_01_a0101135080002300020z,0.3333333333333333,0.7331110953715854,40.0,22.0,1.743010817609206,1.172430844971586
32,01_01_A0101135080004400016z,0.3333333333333333,1.2665641952627262,53.0,28.0,2.010401854576706,1.5070592575553243
33,01_01_A0101135080004400020z,0.3333333333333333,0.6617018868525462,41.0,21.0,2.005647580190612,1.054330550030708
34,01_01_A0101135080004400021z,0.3333333333333333,1.0869952192490897,49.0,26.0,2.0105122665519493,1.4007382665191068
35,01_01_A0101135080004400032z,0.3333333333333333,0.6460768868525462,35.0,20.0,2.0008851300030948,0.7860472728578206
36,01_01_A0101135080004400047z,0.5,0.4035192649683702,38.0,16.0,1.0011382997397975,0.7549746982093447
37,01_01_a0101135080004500034A,0.6666666666666666,0.4000812736102108,25.0,12.0,1.416764513466278,0.7295248075450924
38,01_01_a0101135080005500017z,0.3333333333333333,0.6252815561450573,47.0,26.0,2.013669971215012,1.0725831225775466
39,01_01_a0101135080005500019z,0.3333333333333333,0.609376983580445,47.0,26.0,2.013990044728369,1.074406442308266
40,01_01_a0101135080005500022z,0.3333333333333333,0.6021259008981819,47.0,26.0,2.013400379396152,1.0595167215138044
41,01_01_a0101135080005500026z,0.3333333333333333,0.6021259008981819,47.0,26.0,2.011682685222681,1.0655067226308608
42,01_01_A0101135080005700022z,0.8333333333333334,0.7573401043752048,30.0,12.0,1.0011727794074383,0.8124697326923902
43,01_01_a0101135080005800031z,0.8333333333333334,0.5633139229851738,20.0,12.0,1.0014116725392066,0.7021748168673484
44,01_01_a0101135080005800046z,0.6666666666666666,0.4977879320311549,32.0,15.0,1.0066536573977751,0.7764626530328034
45,01_01_a0101135080005800047A,0.5,0.5269940943133714,33.0,16.0,1.001898500929231,0.7676716449069529
46,01_01_a0101135080005800047z,0.5,0.5307020510239391,33.0,16.0,1.0013343512971729,0.7717118873955967
47,01_01_a0101135080007000014z,0.3333333333333333,0.7811195472846159,53.0,28.0,2.0112308784875794,1.4541573601886952
48,01_01_a0101135080007000018z,0.3333333333333333,0.999756592158106,54.0,28.0,2.0145872169502588,1.5965011278925656
49,01_01_A0101135080007100014z,0.3333333333333333,0.9011343740687132,38.0,23.0,1.7356992730090148,0.9939360677136272
50,01_01_A0101135080007100015a,0.3333333333333333,0.9098862361209544,40.0,21.0,1.7347554451979923,1.1837216309417713
51,01_01_a0101135080007500020z,0.3333333333333333,0.4192297689629851,42.0,21.0,2.0044295540548287,0.828339770580221
52,01_01_a0101135080007500021b,0.5,0.3260280645704204,32.0,16.0,1.7385152190785294,0.8395715601970157
53,01_01_a0101135080007500021c,0.5,0.1814122939124921,34.0,19.0,1.7369942818401625,0.7236198541767691
54,01_01_a0101135080007500026a,0.6666666666666666,0.19347879105072774,28.0,15.0,1.4183624393697871,0.8482533600700711
55,01_01_a0101135080007800024z,0.6666666666666666,0.5887610252839314,28.0,11.0,1.4174094934294827,0.9514974089609142
56,01_01_a0101135080008200031A,0.8333333333333334,0.34036259167103194,34.0,8.0,1.0055373157891023,0.7819243087655187
57,01_01_a0101135080008200031B,0.8333333333333334,0.3404600560736817,34.0,8.0,1.00560748854148,0.7797406054234285
58,01_01_a0101135080008200031C,0.8333333333333334,0.24661259167103194,30.0,10.0,1.0077183167180934,0.7932134993617668
59,01_01_a0101135080008500034a,0.5,0.20802014877692587,34.0,15.0,1.4167710217055143,0.7665691383629172
60,01_01_a0101135080008500034b,0.6666666666666666,0.3151442842610548,28.0,11.0,1.4172194598164063,0.9346536596710756
61,01_01_a0101135080008900015z,0.3333333333333333,0.5406035844853616,39.0,20.0,2.003363651177316,0.8414670794854068
62,01_01_a0101135080008900024z,0.6666666666666666,0.6919946414096755,34.0,17.0,1.4202819389914767,1.029578152336622
63,01_01_a0101135080008900025z,0.6666666666666666,0.4906840724968842,32.0,15.0,1.4235283208208969,0.8767680632546816
64,01_01_a0101135080009700024A,0.6666666666666666,0.230354180697947,31.0,11.0,1.4166880031405051,0.6010094793321527
65,01_01_a0101135080009700024B,0.6666666666666666,0.370979180697947,32.0,13.0,1.0033185805069964,0.6703791366404401
66,01_01_a0101135080009700033A,0.6666666666666666,0.2561064708933581,34.0,15.0,1.416443216994696,0.7915336284946061
67,01_01_a0101135080009700033B,0.6666666666666666,0.21286300009657866,37.0,17.0,1.00287115152317,0.7717930168841378
68,01_01_a0101135080010200010z,0.3333333333333333,0.9671110578678348,42.0,23.0,2.0023335941426565,1.115849724237403
69,01_01_a0101135080010200044z,0.16666666666666666,0.18132735955210366,50.0,33.0,1.4154591394177956,0.7885902521544761
70,01_01_a0101135080010200049A,0.5,0.2783340508960672,36.0,21.0,1.0036575395721126,0.7590812083488523
71,01_01_a0101135080010200049B,0.5,0.2825123770945853,32.0,21.0,1.004365748076726,0.7626305224955909
72,01_01_a0101135080010200054c,0.5,0.33703819022684744,38.0,21.0,1.0022795769941677,0.7937315376373252
73,01_01_a0101135080010300019z,0.3333333333333333,0.6653511943814864,39.0,19.0,2.00089028920082,0.8425672875878412
74,01_01_a0101135080010300035z,0.8333333333333334,0.4594326420727157,26.0,12.0,0.08561409925785192,0.8019562584212709
75,01_01_a0101135080010300036z,0.6666666666666666,0.5316879073945449,37.0,10.0,1.0036169017305114,0.8035498816230611
76,01_01_a0101135080010700022A,0.6666666666666666,0.1394395363142712,28.0,12.0,1.4160055912108094,0.8671083497248183
77,01_01_a0101135080010700044z,0.6666666666666666,0.21463035687052007,29.0,19.0,1.002141204468615,0.7759447239249031
78,01_01_a0101135080010900023A,0.6666666666666666,0.26717893232638273,30.0,15.0,1.4154752292827204,0.8503513506863604
79,01_01_a0101135080010900023B,0.8333333333333334,0.24662408618045076,28.0,15.0,1.004013319674466,0.833248785074449
80,01_01_a0101135080010900023C,0.8333333333333334,0.2941428685918841,32.0,15.0,1.005251773497942,0.7046630126831759
81,01_01_a0101135080010900033a,0.8333333333333334,0.2387078542929889,24.0,13.0,1.0028641103402072,0.7742634477303719
82,01_01_a0101135080010900044z,0.5,0.199493848033644,30.0,17.0,1.0018394848785748,0.8143022934041655
83,01_01_a0101135080010900055a,0.5,0.3816030124541292,45.0,19.0,1.0015067831156763,0.7956058722316646
84,01_01_A0101135080011100012c,0.3333333333333333,0.7441390118779002,42.0,21.0,2.001667439983878,1.0478897965230316
85,01_01_A010113508001110007b-1,0.16666666666666666,0.7843092156448673,46.0,22.0,2.0049360049929117,1.069542679844965
86,01_01_A010113508001110007b,0.16666666666666666,0.5865998033922434,52.0,25.0,2.001307206871461,0.9550872746689862
87,01_01_a0101135080011300055z,0.5,0.1352974397590362,39.0,24.0,1.0084494603442251,0.8004077402636399
88,01_01_a0101135080011300061z,0.3333333333333333,0.19476455102393908,44.0,26.0,1.003878539956856,0.8395875389973954
89,01_01_a0101135080011900033A,1.0,0.4280120481927711,22.0,12.0,0.097225424195564,0.6936469379525112
90,01_01_a0101135080011900033b,0.6666666666666666,0.2811727668430285,39.0,14.0,1.0017059478697476,0.7645018815863939
91,01_01_a0101135080011900033c,0.6666666666666666,0.3612293929465184,28.0,13.0,1.0064634531153756,0.7934434737519335
92,01_01_a0101135080011900043z,0.6666666666666666,0.4606692686896655,32.0,13.0,0.11508128425813514,0.8663228596948963
93,01_01_a0101135080011900045z,0.6666666666666666,0.3942154935899588,40.0,16.0,0.09379004613043528,0.8213849925631506
94,01_01_A0101135080012200017f,0.3333333333333333,0.3814420657312796,39.0,20.0,2.0052540676964905,0.8964106009790731
95,01_01_A0101135080012200018a,0.3333333333333333,0.4300703727318032,40.0,20.0,2.0062526648119317,0.9023672349120968
96,01_01_a0101135080012700048C,0.5,0.4688862727027513,41.0,20.0,0.10312176903035923,0.8917358574826685
97,01_01_a0101135080012700056B,0.5,0.5041804121246892,37.0,20.0,0.0987386871262744,0.9038994475446828
98,01_01_a0101135080014700026z,0.6666666666666666,0.5911347772040544,30.0,15.0,1.4155962095159744,1.0051333858673928
99,01_01_a0101135080014700028z,0.5,0.5204574211166919,34.0,16.0,1.7348681698053119,0.8070494957927244
100,01_01_a0101135080014700032A,0.8333333333333334,0.3993811480097605,27.0,10.0,1.001182063994363,0.8087714203334987
