,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,0.7390251351131438,30.0,16.0,1.7428875395628172,1.093349650143419
1,01_01_a0101135010000300031z,0.6666666666666666,0.10129672486466956,27.0,12.0,1.0019801078012534,0.5488367445449317
2,01_01_a0101135010000300042z,0.3333333333333333,0.4917860995760455,35.0,12.0,1.4194444010221883,0.9955155883118676
3,01_01_a0101135010001100026z,0.3333333333333333,0.4810652905545953,43.0,14.0,1.0044909596388991,0.8886877315666003
4,01_01_a0101135010001100037z,0.3333333333333333,0.4774677757262869,43.0,14.0,1.0039685936172384,0.8846172555489386
5,01_01_A0101135010001900032z,0.6666666666666666,0.5991550131069516,26.0,10.0,0.07468305469374628,0.9213964439548292
6,01_01_A0101135010001900041z,0.5,0.4086387587425608,38.0,15.0,0.11565828466837562,0.8807549763521002
7,01_01_a0101135010002200032A,0.6666666666666666,0.0647471776243328,20.0,11.0,1.0028312018565255,0.7288188461950826
8,01_01_a0101135010002200032B,0.5,0.4916380689767397,33.0,16.0,1.0030131120295942,0.8175783269808585
9,01_01_a0101135010002200032D,0.5,0.4659883251890098,32.0,17.0,1.0010834925553531,0.8192999086909996
10,01_01_A0101135010002600058a,0.3333333333333333,0.4279811084134105,70.0,35.0,0.09982091791959416,1.1194390009922677
11,01_01_A0101135010002600058b,0.3333333333333333,0.3238482961004513,57.0,28.0,1.0072972162027491,0.9489594181170636
12,01_01_A0101135010002600058c,0.3333333333333333,0.3238482961004513,57.0,28.0,1.0070505212818066,0.9512951850409966
13,01_01_A0101135010002600066z,0.3333333333333333,0.0855205348246042,57.0,29.0,0.14582942330108145,0.9406106405861336
14,01_01_a0101135010002600076z,0.16666666666666666,0.03613381759649914,73.0,38.0,0.11408075880063462,0.8966546975842418
15,01_01_a0101135010002600077z,0.5,0.24501813467216985,33.0,20.0,1.4237552454536408,0.9403739896400014
16,01_01_a0101135010003000030z,0.5,0.1421031259480231,33.0,19.0,1.4165618202464336,0.8630541530921247
17,01_01_a0101135010003000032z,0.5,0.2462906635156448,35.0,15.0,1.41799367238846,0.8528806799493339
18,01_01_A0101135010003800014z,0.5,0.2533235382489449,45.0,25.0,1.757675527613057,1.2180611329124418
19,01_01_a0101135010004900033A,0.5,0.5087087900528077,24.0,10.0,1.415371488814695,0.758469974590197
20,01_01_a0101135010004900038z,0.6666666666666666,0.4732905564263323,24.0,13.0,1.0030307898939543,0.8069827921323459
21,01_01_a0101135010004900043z,0.5,0.4056483460248596,28.0,20.0,1.0040140675848022,0.7333093254592771
22,01_01_a0101135010005200042z,0.5,0.14838035527690707,41.0,18.0,0.19515190332911556,0.8729277274011809
23,01_01_a0101135010005200043z,0.6666666666666666,0.30615186235528874,43.0,19.0,0.1656955200258543,0.8534588949120143
24,01_01_a0101135010005200054z,0.3333333333333333,0.4565973405342784,56.0,23.0,0.0846552179871544,0.8634845008520208
