,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.6666666666666666,0.2215886592223013,27.0,11.0,1.4574870023282192,1.1488135119765472
1,01_01_a0101135010000300031z,0.3333333333333333,0.6187332007555121,55.0,24.0,1.4341079669545935,1.2836058022133634
2,01_01_a0101135010000300042z,0.3333333333333333,1.009222575466888,49.0,24.0,1.4413851653393634,1.4435405867911426
3,01_01_a0101135010001100026z,0.16666666666666666,0.982876766445438,67.0,28.0,1.4366372613219534,1.4242958663490315
4,01_01_a0101135010001100037z,0.16666666666666666,0.9792792516171294,67.0,28.0,1.4363446919757057,1.4245405244694156
5,01_01_A0101135010001900032z,0.3333333333333333,1.116591488997794,51.0,27.0,1.4376463170793274,1.408222159709995
6,01_01_A0101135010001900041z,0.3333333333333333,0.9260752346334034,62.0,31.0,1.4376020484449399,1.3559133009369766
7,01_01_a0101135010002200032A,0.5,0.5665586535151753,42.0,22.0,1.4322289059851432,1.2256071282685042
8,01_01_a0101135010002200032B,0.5,1.0090745448675822,54.0,23.0,1.4297192887790202,1.3244104493518327
9,01_01_a0101135010002200032D,0.5,0.9834248010798524,55.0,25.0,1.4374572827348406,1.3089320782974183
10,01_01_A0101135010002600058a,0.16666666666666666,0.9454175843042532,98.0,46.0,1.4415084415913664,1.5217312799465583
11,01_01_A0101135010002600058b,0.16666666666666666,0.8412847719912938,82.0,35.0,1.4425577904852822,1.4202717886637803
12,01_01_A0101135010002600058c,0.16666666666666666,0.8412847719912938,82.0,35.0,1.4422553920244254,1.4271552441925532
13,01_01_A0101135010002600066z,0.16666666666666666,0.5873320107154467,87.0,34.0,1.44544899890496,1.3529187321423608
14,01_01_a0101135010002600076z,0.16666666666666666,0.5535702934873417,104.0,49.0,1.4411816919644262,1.274057645200791
15,01_01_a0101135010002600077z,0.6666666666666666,0.7624546105630123,36.0,19.0,1.433631246865114,1.2005725821897089
16,01_01_a0101135010003000030z,0.6666666666666666,0.6439146018388656,35.0,18.0,1.4309959250511208,1.3236491958240075
17,01_01_a0101135010003000032z,0.5,0.7481021394064873,46.0,19.0,1.4374915153702152,1.375197301101582
18,01_01_A0101135010003800014z,0.8333333333333334,0.2641129376418976,11.0,3.0,1.7379618442189588,0.8834008897174529
19,01_01_a0101135010004900033A,0.5,1.0261452659436503,44.0,20.0,1.434297178976872,1.2928060240230654
20,01_01_a0101135010004900038z,0.5,0.9907270323171748,45.0,22.0,1.438603934279976,1.2487735267215572
21,01_01_a0101135010004900043z,0.5,0.923084821915702,57.0,25.0,1.4421452936939962,1.3350239008524147
22,01_01_a0101135010005200042z,0.3333333333333333,0.6658168311677496,86.0,34.0,1.448900646587309,1.407193667483885
23,01_01_a0101135010005200043z,0.3333333333333333,0.8235883382461313,71.0,29.0,1.4432006640267805,1.4040218858683682
24,01_01_a0101135010005200054z,0.3333333333333333,0.9740338164251208,93.0,39.0,1.4379929914657672,1.34976663880867
25,01_01_a0101135010005600032z,0.5,1.0678998781266165,61.0,25.0,1.4424983411677812,1.3689899175815727
26,01_01_A0101135080001200060z,0.3333333333333333,0.9300541321601106,78.0,34.0,1.4487176215075594,1.424168540333247
27,01_01_a0101135080001400034z,0.3333333333333333,1.0560993858101175,55.0,23.0,1.4399461488693848,1.4955883881547551
28,01_01_a0101135080001800024A,0.3333333333333333,0.5692652965788435,53.0,24.0,1.430812566889193,1.1962787514636375
29,01_01_a0101135080001800034z,0.3333333333333333,1.1645076584514762,59.0,26.0,1.4388625785253697,1.4526269516747103
30,01_01_a0101135080002300017z,0.8333333333333334,0.4465493764050319,34.0,12.0,1.4197011724595543,1.1131293571549188
31,01_01_a0101135080002300020z,0.8333333333333334,0.4477612163390253,35.0,12.0,1.4197339610364306,1.110728206716529
32,01_01_A0101135080004400016z,0.8333333333333334,0.08569188355211567,11.0,3.0,1.733222143987848,0.7697791942744414
33,01_01_A0101135080004400020z,0.6666666666666666,0.5972954248580645,25.0,6.0,1.4228976839355292,1.1827275776964747
34,01_01_A0101135080004400021z,0.6666666666666666,0.09387709246152133,13.0,4.0,1.7356290910528094,0.8035314965103532
35,01_01_A0101135080004400032z,0.6666666666666666,0.6129204248580645,27.0,9.0,1.4246750941123456,1.1300575365377226
