,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,1.284412147382196,41.0,16.0,2.008923292363161,1.4831085676314786
1,01_01_a0101135010000300031z,0.6666666666666666,0.44409028740438267,31.0,10.0,1.414785664386901,0.8854965064909545
2,01_01_a0101135010000300042z,0.5,0.13389908730699324,31.0,15.0,1.4147555306945367,0.6842388754308051
3,01_01_a0101135010001100026z,0.3333333333333333,0.20494672171445694,36.0,16.0,1.4158427380368368,0.4540430466081543
4,01_01_a0101135010001100037z,0.3333333333333333,0.20854423654276535,36.0,16.0,1.4157905123186882,0.4508194666581726
5,01_01_A0101135010001900032z,0.6666666666666666,0.35248199916210066,31.0,14.0,1.4149217022783076,0.680191769838556
6,01_01_A0101135010001900041z,0.5,0.2148732535264914,37.0,19.0,1.4147029796778523,0.6434046217547678
7,01_01_a0101135010002200032A,0.8333333333333334,0.4962648346447194,25.0,9.0,1.4144418906277032,0.8728359670470841
8,01_01_a0101135010002200032B,1.0,0.16312394329231256,23.0,8.0,1.0007108771150486,0.7668249649088882
9,01_01_a0101135010002200032D,1.0,0.4075236870800424,28.0,6.0,1.0023532822001942,0.8001082749060776
10,01_01_A0101135010002600058a,0.6666666666666666,0.3361559038556416,67.0,38.0,1.003039233774804,1.0232385791793437
11,01_01_A0101135010002600058b,0.5,0.2684137161686009,54.0,30.0,1.414692134143625,0.9817915722385616
12,01_01_A0101135010002600058c,0.5,0.2684137161686009,54.0,30.0,1.414737268803232,0.9885322693038264
13,01_01_A0101135010002600066z,0.3333333333333333,0.475491477444448,66.0,32.0,1.4169707922531638,0.9939640340127976
14,01_01_a0101135010002600076z,0.5,0.5092531946725531,70.0,37.0,1.0050091537713124,1.078475899316864
15,01_01_a0101135010002600077z,0.6666666666666666,0.4253688775968824,35.0,18.0,1.416823169396713,0.9131487621845288
16,01_01_a0101135010003000030z,0.8333333333333334,0.4189088863210291,31.0,15.0,1.4152159121007577,0.8846362723528084
17,01_01_a0101135010003000032z,0.8333333333333334,0.31472134875340746,26.0,12.0,1.4146081391512315,0.6681659248378679
18,01_01_A0101135010003800014z,0.5,0.7987105505179972,53.0,24.0,2.013187128107568,1.3238804173072936
19,01_01_a0101135010004900033A,0.8333333333333334,0.39605322221624456,27.0,8.0,1.415963205869041,0.7793245054600437
20,01_01_a0101135010004900038z,0.8333333333333334,0.4314714558427199,21.0,5.0,1.414372857510767,0.7368897955435175
21,01_01_a0101135010004900043z,0.6666666666666666,0.2491136662441927,25.0,11.0,1.4146907747157762,0.7684997128854593
