,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,1.137219514452786,25.0,13.0,1.750289962111517,1.4733107098877214
1,01_01_a0101135010000300031z,0.5,0.3437726544749725,38.0,12.0,1.0224985872219492,0.8720690707796079
2,01_01_a0101135010000300042z,0.5,0.23421672023640344,29.0,13.0,1.0131184459836016,0.7835218854848879
3,01_01_a0101135010001100026z,0.16666666666666666,0.10462908878504673,45.0,21.0,1.0163545477306828,0.7702321942787352
4,01_01_a0101135010001100037z,0.16666666666666666,0.10822660361335518,45.0,21.0,1.016057291483634,0.7727680430361641
5,01_01_A0101135010001900032z,0.5,0.4709143662326905,30.0,18.0,1.0106545139994458,0.8025080990332815
6,01_01_A0101135010001900041z,0.3333333333333333,0.3333056205970812,41.0,22.0,1.01356174131403,0.8390233496665968
7,01_01_a0101135010002200032A,0.6666666666666666,0.3490722017153092,28.0,8.0,1.0171284371919935,0.8129050431239329
8,01_01_a0101135010002200032B,0.6666666666666666,0.32843131036290235,35.0,14.0,1.0111077994869997,0.8447018789755557
9,01_01_a0101135010002200032D,0.6666666666666666,0.3853310541506321,36.0,15.0,1.0338635854641158,0.8243256297373219
10,01_01_A0101135010002600058a,0.3333333333333333,0.4545882709262314,80.0,43.0,1.0115256796657732,1.0992702072024727
11,01_01_A0101135010002600058b,0.5,0.3868460832391907,63.0,30.0,1.0069147130749954,1.0213503674078293
12,01_01_A0101135010002600058c,0.5,0.3868460832391907,63.0,30.0,1.0070411294429114,1.0345237061698211
13,01_01_A0101135010002600066z,0.16666666666666666,0.3282988445150378,70.0,36.0,1.0158348824532348,1.0119147531705852
14,01_01_a0101135010002600076z,0.16666666666666666,0.4245605617431429,81.0,43.0,1.0046860805541995,1.0155270530611802
15,01_01_a0101135010002600077z,0.6666666666666666,0.5438012446674723,28.0,11.0,1.4241228882882344,0.9411538483930708
16,01_01_a0101135010003000030z,0.6666666666666666,0.2717162533916189,21.0,12.0,1.4269118070043845,0.8821414217773367
17,01_01_a0101135010003000032z,0.8333333333333334,0.16752871582399725,21.0,7.0,1.0117626067061518,0.8316911051215209
18,01_01_A0101135010003800014z,0.6666666666666666,0.651517917588587,36.0,16.0,1.7475654201600477,1.3367769332169273
19,01_01_a0101135010004900033A,0.8333333333333334,0.32698558928683435,17.0,8.0,1.0259367968611812,0.692429795101905
20,01_01_a0101135010004900038z,0.6666666666666666,0.3780288229133097,24.0,12.0,1.024669937349215,0.742711632818479
21,01_01_a0101135010004900043z,0.5,0.18004603331478247,38.0,15.0,1.0332168164257354,0.7233506416465806
22,01_01_a0101135010005200042z,0.5,0.2654390240627349,61.0,29.0,1.0303714534823156,0.9465833661083192
23,01_01_a0101135010005200043z,0.5,0.18579251698435328,52.0,21.0,1.0248586388786032,0.8238929854571608
24,01_01_a0101135010005200054z,0.3333333333333333,0.6915970388053636,70.0,29.0,1.0135661562929688,0.928784296126054
25,01_01_a0101135010005600032z,0.5,0.4883559771038682,42.0,17.0,1.0344692832578537,0.7919445075742992
26,01_01_A0101135080001200060z,0.3333333333333333,0.376201723070374,58.0,21.0,1.0220523508186872,0.8776070906868665
27,01_01_a0101135080001400034z,0.5,0.14046853057963293,34.0,15.0,1.0092203059058782,0.8142468514935777
28,01_01_a0101135080001800024A,0.5,0.4088655586516409,26.0,14.0,1.00870687682091,0.8434906065801178
29,01_01_a0101135080001800034z,0.5,0.2488768032209916,38.0,18.0,1.0104418664028831,0.8180881540457845
30,01_01_a0101135080002300017z,0.5,0.5159564788254527,38.0,20.0,1.7412922521451828,1.266160744145771
31,01_01_a0101135080002300020z,0.5,0.5303696388914592,39.0,20.0,1.741280440901712,1.2714767482450824
32,01_01_A0101135080004400016z,0.6666666666666666,1.0013227387826005,36.0,16.0,1.746745385133231,1.5215823406012536
33,01_01_A0101135080004400020z,0.6666666666666666,0.31833543037242,33.0,11.0,1.4229267085284258,1.1617566510287154
34,01_01_A0101135080004400021z,0.5,0.8217537627689633,37.0,16.0,1.7473864860533033,1.4770038956898808
35,01_01_A0101135080004400032z,0.5,0.30271043037242,27.0,12.0,1.7412340662979835,0.9041090187001346
36,01_01_A0101135080004400047z,0.3333333333333333,0.25311427855150365,44.0,24.0,1.4231606864939597,0.7791158565983481
37,01_01_a0101135080004500034A,0.6666666666666666,0.13155226990966307,28.0,12.0,1.0146458274147834,0.8071424875295538
38,01_01_a0101135080005500017z,0.6666666666666666,0.17177301262518346,32.0,14.0,1.7461153549582975,0.9751687434730122
39,01_01_a0101135080005500019z,0.6666666666666666,0.15586844006057116,33.0,14.0,1.7468529059868816,0.9779085152775164
40,01_01_a0101135080005500022z,0.6666666666666666,0.148617357378308,34.0,14.0,1.7465177249954769,0.941784166827138
41,01_01_a0101135080005500026z,0.6666666666666666,0.148617357378308,34.0,14.0,1.7451229913314676,0.970520882163063
42,01_01_A0101135080005700022z,0.6666666666666666,0.4920986478950787,26.0,8.0,1.011044231431818,0.9910683534903378
43,01_01_a0101135080005800031z,0.6666666666666666,0.29807246650504765,29.0,8.0,1.0189549442000465,0.8275794962089783
44,01_01_a0101135080005800046z,0.5,0.15884561148871895,30.0,16.0,1.0190818835574946,0.7834625708004963
45,01_01_a0101135080005800047A,0.5,0.2617526378332453,31.0,17.0,1.031817443075494,0.8662404685628502
46,01_01_a0101135080005800047z,0.5,0.2654605945438129,31.0,17.0,1.0352072396231236,0.8647581656491751
47,01_01_a0101135080007000014z,0.6666666666666666,1.1721280908044898,36.0,16.0,1.749287962987586,1.4827749728930142
48,01_01_a0101135080007000018z,0.6666666666666666,1.39076513567798,35.0,16.0,1.7536965633776855,1.6303699059539905
49,01_01_A0101135080007100014z,0.3333333333333333,0.635892917588587,34.0,21.0,1.7364598906675015,1.1139680716999198
50,01_01_A0101135080007100015a,0.3333333333333333,0.6446447796408283,34.0,19.0,1.7357522734899729,1.22748589772176
51,01_01_a0101135080007500020z,0.6666666666666666,0.325863312482859,24.0,10.0,1.737213341829328,0.8870434711602844
52,01_01_a0101135080007500021b,0.3333333333333333,0.3306054789494535,28.0,11.0,1.735431335045785,0.7968388999672064
53,01_01_a0101135080007500021c,0.8333333333333334,0.353670837432366,17.0,5.0,1.4239100869332024,0.92408079100244
54,01_01_a0101135080007500026a,0.5,0.5063623345706016,29.0,8.0,1.4225606391584635,0.89508664376572
55,01_01_a0101135080007800024z,0.6666666666666666,0.9485195688038052,23.0,10.0,1.0159846580962415,1.1239717240771705
56,01_01_a0101135080008200031A,0.6666666666666666,0.1912709518488419,28.0,9.0,1.0141112374398746,0.8004529575472884
57,01_01_a0101135080008200031B,0.6666666666666666,0.1911734874461921,28.0,9.0,1.0142493491710582,0.799094083116899
58,01_01_a0101135080008200031C,0.6666666666666666,0.2850209518488419,31.0,8.0,1.009916952701061,0.790923964449191
59,01_01_a0101135080008500034a,0.3333333333333333,0.5209036922967998,32.0,16.0,1.7405774284631732,0.9009500218338894
60,01_01_a0101135080008500034b,0.3333333333333333,0.7217778277809286,32.0,11.0,1.7354590438601731,0.960772056001852
61,01_01_a0101135080008900015z,0.6666666666666666,0.27536212800523546,22.0,8.0,1.7355304396392737,0.8085247066195762
62,01_01_a0101135080008900024z,0.5,0.3955031849295493,27.0,11.0,1.4311861216489612,1.0347075524445453
63,01_01_a0101135080008900025z,0.5,0.225442616016758,21.0,11.0,1.426167361240095,0.9052632042625114
64,01_01_a0101135080009700024A,0.8333333333333334,0.30127936282192685,14.0,8.0,1.0113623986102207,0.7475107675420816
65,01_01_a0101135080009700024B,0.6666666666666666,0.16065436282192685,31.0,13.0,1.0115388875940017,0.7283617630394171
66,01_01_a0101135080009700033A,0.8333333333333334,0.2755270726265157,16.0,7.0,1.0111530056520726,0.7367212671290199
67,01_01_a0101135080009700033B,0.5,0.3187705434232952,33.0,15.0,1.0127299723868441,0.8110099249861031
