,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,1.1995597985743047,56.0,30.0,2.00356294935734,1.3621703842428343
1,01_01_a0101135010000300031z,0.3333333333333333,0.3592379385964912,39.0,20.0,2.0031480515858084,0.7820295404584799
2,01_01_a0101135010000300042z,0.5,0.3281264361148847,38.0,16.0,1.7351242346595397,0.7658567213042777
3,01_01_a0101135010001100026z,0.6666666666666666,0.3955306270934345,32.0,18.0,1.4179559880736792,0.7562042683770321
4,01_01_a0101135010001100037z,0.6666666666666666,0.3919331122651261,32.0,18.0,1.4175778944710262,0.7546930114290633
5,01_01_A0101135010001900032z,0.16666666666666666,0.3886203496457908,37.0,24.0,2.0021935089711005,0.6807944979814525
6,01_01_A0101135010001900041z,0.3333333333333333,0.13560409528140005,36.0,20.0,1.7321965249396276,0.5066989851760568
7,01_01_a0101135010002200032A,0.16666666666666666,0.411412485836828,40.0,20.0,2.236167798612836,0.8120125496271018
8,01_01_a0101135010002200032B,0.3333333333333333,0.15610340551557889,36.0,21.0,2.0003083828069688,0.7586505294494262
9,01_01_a0101135010002200032D,0.3333333333333333,0.322671338272151,39.0,21.0,2.0008292371921317,0.7531926619811917
10,01_01_A0101135010002600058a,0.5,0.21744644495224985,65.0,42.0,1.4153760103560795,0.8210022290314761
11,01_01_A0101135010002600058b,0.3333333333333333,0.1914386326392905,53.0,35.0,1.73238669130104,0.8397896106106177
12,01_01_A0101135010002600058c,0.3333333333333333,0.1914386326392905,53.0,35.0,1.7324381914164502,0.8547974398009002
13,01_01_A0101135010002600066z,0.3333333333333333,0.3906391286365566,47.0,35.0,1.4153035656610982,0.8372397352682379
14,01_01_a0101135010002600076z,0.5,0.4244008458646617,60.0,39.0,1.0008635653841802,0.8979087819074616
15,01_01_a0101135010002600077z,0.3333333333333333,0.21551652878899094,48.0,25.0,2.0005602090268355,0.8298014212644468
16,01_01_a0101135010003000030z,0.16666666666666666,0.3340565375131377,48.0,31.0,2.2362018428615404,0.8133086177512385
17,01_01_a0101135010003000032z,0.16666666666666666,0.410756000054484,45.0,26.0,2.236088394918285,0.7882149518896522
18,01_01_A0101135010003800014z,0.16666666666666666,0.7138582017101057,71.0,36.0,2.2363264761959525,1.2493007179185405
19,01_01_a0101135010004900033A,0.16666666666666666,0.4075491265916469,42.0,21.0,2.236937712712677,0.8029829457974547
20,01_01_a0101135010004900038z,0.16666666666666666,0.35650589296517154,37.0,20.0,2.2362619777395354,0.6716392795897402
21,01_01_a0101135010004900043z,0.3333333333333333,0.3044886825636988,38.0,17.0,2.000151183962652,0.8273168933519358
22,01_01_a0101135010005200042z,0.16666666666666666,0.3128456918157463,49.0,31.0,1.736367732473282,0.8644770535323801
23,01_01_a0101135010005200043z,0.16666666666666666,0.392492198894128,48.0,20.0,1.7345689423502932,0.8103636788894796
24,01_01_a0101135010005200054z,0.16666666666666666,0.3633123229268824,50.0,30.0,1.4150626479004895,0.6870463634201247
25,01_01_a0101135010005600032z,0.5,0.19930373877461305,37.0,17.0,1.7322375160783847,0.6312978196543223
26,01_01_A0101135080001200060z,0.5,0.17083299280810724,40.0,23.0,1.4163786308213482,0.6755738336270531
27,01_01_a0101135080001400034z,0.3333333333333333,0.4687532464581142,36.0,23.0,2.0024464858739077,0.8317763076112974
28,01_01_a0101135080001800024A,0.3333333333333333,0.4087058427731598,36.0,20.0,2.001470974441527,0.8049518522314092
29,01_01_a0101135080001800034z,0.16666666666666666,0.32716151909947283,38.0,24.0,2.0026431454362927,0.7991486849419457
30,01_01_a0101135080002300017z,0.16666666666666666,0.5314217629469714,65.0,35.0,2.0002580230240383,1.0694518612506931
31,01_01_a0101135080002300020z,0.16666666666666666,0.530209923012978,66.0,35.0,2.000305447546125,1.0758851642698612
32,01_01_A0101135080004400016z,0.16666666666666666,1.063663022904119,71.0,36.0,2.2361184513377648,1.4493152262083122
33,01_01_A0101135080004400020z,0.3333333333333333,0.3806757144939388,60.0,30.0,2.0019607808248217,0.9693537906947408
