,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,0.9879654382631492,68.0,35.0,2.00985864535614,1.2798898310022724
1,01_01_a0101135010000300031z,0.3333333333333333,0.18048142171466408,45.0,28.0,2.000443961353253,0.7183729079585115
2,01_01_a0101135010000300042z,0.3333333333333333,0.33659579642604,48.0,26.0,2.0013162337900825,0.8710700654328196
3,01_01_a0101135010001100026z,0.16666666666666666,0.5914999874045899,50.0,26.0,2.000405184141636,0.7960989816089368
4,01_01_a0101135010001100037z,0.16666666666666666,0.5879024725762814,50.0,26.0,2.0004081438615664,0.7920416774026151
5,01_01_A0101135010001900032z,0.3333333333333333,0.3502147099569461,48.0,29.0,1.7336594343637226,0.7801482545325348
6,01_01_A0101135010001900041z,0.3333333333333333,0.19094845559255536,51.0,25.0,1.7332247573733948,0.7267484954417329
7,01_01_a0101135010002200032A,0.3333333333333333,0.19981812552567269,55.0,27.0,2.0002229820195057,0.8026627326476203
8,01_01_a0101135010002200032B,0.3333333333333333,0.3520727658267342,50.0,23.0,2.0006878956085443,0.8289280585282349
9,01_01_a0101135010002200032D,0.3333333333333333,0.5139230220390043,47.0,26.0,2.001239182346755,0.8523620651900551
10,01_01_A0101135010002600058a,0.16666666666666666,0.17904080526340516,70.0,44.0,1.732750217683651,0.8739112755397713
11,01_01_A0101135010002600058b,0.16666666666666666,0.1374079929504458,65.0,39.0,1.7331988257967796,0.7899616171238096
12,01_01_A0101135010002600058c,0.16666666666666666,0.1374079929504458,65.0,39.0,1.7332673301348158,0.8037929436953726
13,01_01_A0101135010002600066z,0.16666666666666666,0.19595523167459872,54.0,38.0,1.7332832618140277,0.7748042809769096
14,01_01_a0101135010002600076z,0.16666666666666666,0.21280648555350634,63.0,41.0,1.7331475009768262,0.8403598746970926
15,01_01_a0101135010002600077z,0.5,0.019547168477835664,60.0,29.0,1.7358468316098847,0.7764187621704384
16,01_01_a0101135010003000030z,0.3333333333333333,0.2525378227980176,57.0,31.0,2.0003915855359136,0.8727500743243496
17,01_01_a0101135010003000032z,0.3333333333333333,0.3567253603656393,50.0,28.0,2.000994517201458,0.8693661720234158
18,01_01_A0101135010003800014z,0.3333333333333333,0.5022638413989504,82.0,43.0,2.0129088966244724,1.2210598786583953
19,01_01_a0101135010004900033A,0.3333333333333333,0.6035184869028022,54.0,28.0,2.001451871649557,0.8835530961937303
20,01_01_a0101135010004900038z,0.3333333333333333,0.5524752532763268,57.0,29.0,2.000520314331045,0.7920677723125794
21,01_01_a0101135010004900043z,0.3333333333333333,0.5004580428748541,48.0,25.0,2.0003213928160717,0.8960500208226566
22,01_01_a0101135010005200042z,0.5,0.2588150521269016,40.0,23.0,1.4200333407093948,0.8460082996074444
23,01_01_a0101135010005200043z,0.6666666666666666,0.3384615592052833,35.0,15.0,1.4179706047641147,0.8574644850484744
24,01_01_a0101135010005200054z,0.6666666666666666,0.20765703738427288,34.0,24.0,1.0020765487765158,0.6504771204063197
25,01_01_a0101135010005600032z,0.3333333333333333,0.30152309908576835,50.0,19.0,2.0003097517708546,0.7748619536256124
26,01_01_A0101135080001200060z,0.3333333333333333,0.16367735311926254,43.0,20.0,1.7332604683717143,0.6591390526794686
27,01_01_a0101135080001400034z,0.3333333333333333,0.6647226067692695,50.0,28.0,2.0006118658191983,0.8615432118653604
