,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,1.0565896444358571,33.0,14.0,1.7445732126677491,1.3097363180314905
1,01_01_a0101135010000300031z,1.0,0.2162677844580434,18.0,15.0,0.12153601589767805,0.7900777615405047
2,01_01_a0101135010000300042z,0.6666666666666666,0.2523465902533325,28.0,17.0,1.0108502057494622,0.8609668733609639
3,01_01_a0101135010001100026z,0.6666666666666666,0.4916257812318823,35.0,17.0,0.12227368141168338,0.7905558601793082
4,01_01_a0101135010001100037z,0.6666666666666666,0.4880282664035739,35.0,17.0,0.11696159836464333,0.7881269059600519
5,01_01_A0101135010001900032z,0.8333333333333334,0.3597155037842386,31.0,17.0,0.1281959485443203,0.8121652106332264
6,01_01_A0101135010001900041z,0.6666666666666666,0.09107424941984787,37.0,21.0,0.13090263848115485,0.6838552421060577
7,01_01_a0101135010002200032A,0.8333333333333334,0.26844233169838017,20.0,14.0,1.0016117820984012,0.7823934206081707
8,01_01_a0101135010002200032B,0.6666666666666666,0.2521985596540267,29.0,11.0,1.0036422759809909,0.8202427891009365
9,01_01_a0101135010002200032D,0.6666666666666666,0.4140488158662968,22.0,13.0,1.0015948624818447,0.774977691441452
10,01_01_A0101135010002600058a,0.5,0.18854159909069768,64.0,41.0,0.11651044264822324,0.8810535137777518
11,01_01_A0101135010002600058b,0.5,0.11565878677773833,55.0,27.0,1.0071156527441176,0.8318743622722435
12,01_01_A0101135010002600058c,0.5,0.11565878677773833,55.0,27.0,1.0072702274643954,0.8287897044528953
13,01_01_A0101135010002600066z,0.5,0.2476689744981088,59.0,26.0,0.13350501967798245,0.8109809729325345
14,01_01_a0101135010002600076z,0.3333333333333333,0.2814306917262138,74.0,34.0,0.10339529396218516,0.9209146723495428
15,01_01_a0101135010002600077z,0.5,0.11942137465054314,29.0,17.0,1.4250332971292807,0.824428277809532
16,01_01_a0101135010003000030z,0.6666666666666666,0.2307886166253101,30.0,11.0,1.41673511021799,0.7054746532987274
17,01_01_a0101135010003000032z,0.6666666666666666,0.3349761541929318,26.0,12.0,1.419196235179062,0.8728089533715956
18,01_01_A0101135010003800014z,0.3333333333333333,0.5708880475716579,49.0,22.0,2.018948170451036,1.249714939804928
19,01_01_a0101135010004900033A,0.6666666666666666,0.5036442807300947,27.0,15.0,1.4173814558990796,0.8202988632109425
20,01_01_a0101135010004900038z,0.8333333333333334,0.4526010471036194,25.0,11.0,1.0036555783430816,0.7688547883418254
21,01_01_a0101135010004900043z,0.6666666666666666,0.4005838367021466,29.0,14.0,1.0032073950742646,0.8365574639342217
22,01_01_a0101135010005200042z,0.6666666666666666,0.2370658459541941,49.0,22.0,0.169124592700007,0.8140851189552439
23,01_01_a0101135010005200043z,0.6666666666666666,0.3167123530325758,38.0,17.0,0.13964674110130915,0.8721278234657661
24,01_01_a0101135010005200054z,0.5,0.2672171687884346,56.0,32.0,0.05405520047674239,0.6562411450791842
25,01_01_a0101135010005600032z,0.5,0.2328988929130609,35.0,13.0,1.0046225068748846,0.7193019648485705
26,01_01_A0101135080001200060z,0.6666666666666666,0.1419281469465551,45.0,24.0,0.16258275144297268,0.6920732614708736
27,01_01_a0101135080001400034z,1.0,0.5648484005965619,25.0,12.0,0.14304860143390485,0.8600591508555685
28,01_01_a0101135080001800024A,1.0,0.265735688634712,20.0,12.0,0.106650553393835,0.8295359740102151
29,01_01_a0101135080001800034z,0.8333333333333334,0.3763816732379207,25.0,15.0,0.16054436587286874,0.9494586372859168
30,01_01_a0101135080002300017z,0.3333333333333333,0.3884516088085236,41.0,24.0,1.746906466976658,1.044545158964627
31,01_01_a0101135080002300020z,0.3333333333333333,0.38723976887453015,43.0,24.0,1.7468863012352518,1.0448251388392933
32,01_01_A0101135080004400016z,0.3333333333333333,0.9206928687656712,49.0,22.0,2.008706172694797,1.4512103294662968
33,01_01_A0101135080004400020z,0.5,0.3158305603554909,35.0,19.0,1.741875169498717,1.011868412433748
34,01_01_A0101135080004400021z,0.5,0.7411238927520342,46.0,21.0,1.7465217612966957,1.3349142000301604
35,01_01_A0101135080004400032z,0.5,0.3314555603554909,32.0,12.0,1.7334648787023201,0.8694780695832263
36,01_01_A0101135080004400047z,0.5,0.24939059146542544,39.0,19.0,1.0009737661444915,0.8612210759248
37,01_01_a0101135080004500034A,0.8333333333333334,0.495952600107266,27.0,15.0,1.0070358617240716,0.7469508736454653
38,01_01_a0101135080005500017z,0.3333333333333333,0.4711528826421125,43.0,20.0,2.0180112295275783,1.091755578256273
39,01_01_a0101135080005500019z,0.3333333333333333,0.4552483100775002,43.0,20.0,2.0184274215287203,1.0446707635044647
40,01_01_a0101135080005500022z,0.3333333333333333,0.44799722739523706,43.0,20.0,2.017923384459583,1.0768848847195214
41,01_01_a0101135080005500026z,0.3333333333333333,0.44799722739523706,43.0,20.0,2.015875794171495,1.106506000003538
42,01_01_A0101135080005700022z,0.8333333333333334,0.4114687778781496,22.0,11.0,1.0013068234276583,0.8884922593915753
43,01_01_a0101135080005800031z,0.8333333333333334,0.2174425964881186,20.0,12.0,1.0024566338870744,0.7796664912732594
44,01_01_a0101135080005800046z,0.6666666666666666,0.3436592585282101,30.0,14.0,1.0088959468167384,0.8306524653217705
45,01_01_a0101135080005800047A,0.5,0.1938772321836838,31.0,14.0,1.0042623424955313,0.7655170441250776
46,01_01_a0101135080005800047z,0.5,0.19016927547311613,31.0,14.0,1.0037027283885755,0.7607474139596019
47,01_01_a0101135080007000014z,0.3333333333333333,0.9352482207875606,49.0,22.0,2.010844056677316,1.3975744470036595
48,01_01_a0101135080007000018z,0.3333333333333333,1.1538852656610508,50.0,22.0,2.011882958872914,1.5371551810800408
49,01_01_A0101135080007100014z,0.16666666666666666,0.5552630475716579,37.0,23.0,1.7364347563787008,1.1656312425609012
50,01_01_A0101135080007100015a,0.16666666666666666,0.5640149096238992,39.0,21.0,1.7358185753222348,1.061465059089794
51,01_01_a0101135080007500020z,0.3333333333333333,0.14539155753407007,36.0,17.0,2.0059765092767923,0.8876337408705537
52,01_01_a0101135080007500021b,0.6666666666666666,0.2656493910674756,25.0,15.0,1.4239908350102002,0.7891996755295118
53,01_01_a0101135080007500021c,0.5,0.2425840325845631,31.0,15.0,1.7406533342810149,0.8493928077602703
54,01_01_a0101135080007500026a,0.8333333333333334,0.3555175354463275,22.0,10.0,1.0125974386714294,0.7553515321326163
55,01_01_a0101135080007800024z,0.8333333333333334,0.5241396987868762,23.0,13.0,1.0046206089872705,0.8901180174944275
56,01_01_a0101135080008200031A,0.8333333333333334,0.32685891816808715,21.0,14.0,1.0086413749321763,0.8473293634409789
57,01_01_a0101135080008200031B,0.8333333333333334,0.3269563825707369,21.0,14.0,1.0089402939377488,0.8498989492701995
58,01_01_a0101135080008200031C,0.8333333333333334,0.31123391816808715,25.0,14.0,1.0081053332762042,0.8516855165379159
59,01_01_a0101135080008500034a,0.5,0.20035117772012934,31.0,11.0,1.4192168105860543,0.5689743401985073
60,01_01_a0101135080008500034b,0.5,0.3442729577639996,29.0,13.0,1.4189454565249753,0.7246340795597475
61,01_01_a0101135080008900015z,0.3333333333333333,0.2271427420116936,36.0,17.0,2.005171737958561,0.8384913660234007
62,01_01_a0101135080008900024z,0.8333333333333334,0.3304983149126203,31.0,13.0,1.012156054585324,0.8833083216594998
63,01_01_a0101135080008900025z,0.8333333333333334,0.27706225400017104,32.0,12.0,1.015335689017735,0.9008170807795426
64,01_01_a0101135080009700024A,0.6666666666666666,0.5137255071950022,25.0,15.0,1.417535499491835,0.8467664341094919
65,01_01_a0101135080009700024B,0.6666666666666666,0.3731005071950022,30.0,18.0,1.004363490673479,0.8508180793499505
66,01_01_a0101135080009700033A,0.6666666666666666,0.2426027973904133,34.0,15.0,1.4185968294083553,0.7648736004158612
67,01_01_a0101135080009700033B,0.6666666666666666,0.3556093265936339,28.0,16.0,1.0049137219068416,0.809621222982197
68,01_01_a0101135080010200010z,0.3333333333333333,0.6212397313707797,38.0,19.0,2.00314542669102,1.105776297648085
69,01_01_a0101135080010200044z,0.16666666666666666,0.28954396694495155,42.0,32.0,1.416587909117928,0.739440600517731
70,01_01_a0101135080010200049A,0.5,0.255037275600988,28.0,16.0,1.0060952347223706,0.7251417376224966
71,01_01_a0101135080010200049B,0.5,0.2664839494024699,29.0,16.0,1.0062477884373344,0.7333379501892575
72,01_01_a0101135080010200054c,0.5,0.24116686372979226,29.0,16.0,1.0024583214146303,0.7135425415117671
73,01_01_a0101135080010300019z,0.3333333333333333,0.3194798678844312,33.0,15.0,2.0015317491578783,0.77583665506511
74,01_01_a0101135080010300035z,0.6666666666666666,0.3083136844243395,31.0,16.0,0.1258337141009164,0.7040551089467835
75,01_01_a0101135080010300036z,0.6666666666666666,0.3775592338916001,34.0,12.0,1.0051069372284822,0.8855321834953546
76,01_01_a0101135080010700022A,0.5,0.262318209817216,29.0,12.0,1.4161714552083868,0.6695541260838467
77,01_01_a0101135080010700044z,0.6666666666666666,0.2718659696265351,22.0,14.0,1.0026983796760849,0.6817248537442234
78,01_01_a0101135080010900023A,0.8333333333333334,0.4255502588234379,29.0,13.0,1.0042627023588362,0.8815263991524791
79,01_01_a0101135080010900023B,1.0,0.4362454126775059,20.0,14.0,0.1264068779063716,0.8472363604277547
80,01_01_a0101135080010900023C,0.8333333333333334,0.1556391950889393,28.0,13.0,1.002903361559843,0.8581148123801318
81,01_01_a0101135080010900033a,0.8333333333333334,0.3345791807900441,24.0,12.0,1.00729156473711,0.7819350585206359
82,01_01_a0101135080010900044z,0.6666666666666666,0.2286225215365888,30.0,11.0,0.07314516112957763,0.6766703131635124
83,01_01_a0101135080010900055a,0.6666666666666666,0.38614331404292607,41.0,18.0,0.0652895930972444,0.8035909514818786
84,01_01_A0101135080011100012c,0.3333333333333333,0.617017685380845,38.0,17.0,2.0007805477023415,0.9818504522423518
85,01_01_A010113508001110007b-1,0.16666666666666666,0.4384378891478121,40.0,20.0,2.004391879482596,0.9756589191775112
86,01_01_A010113508001110007b,0.16666666666666666,0.24072847689518814,46.0,20.0,2.000848514412954,0.9110591343881068
87,01_01_a0101135080011300055z,0.3333333333333333,0.28869888673801897,42.0,26.0,1.0041596621862383,0.7391445568110496
88,01_01_a0101135080011300061z,0.3333333333333333,0.2292317754731161,50.0,34.0,1.0064097959917229,0.7404989910645925
89,01_01_a0101135080011900033A,0.8333333333333334,0.4457583746898263,30.0,10.0,0.12066428673470175,0.8710704971536191
90,01_01_a0101135080011900033b,0.8333333333333334,0.1428235596540267,26.0,12.0,0.16234654320995526,0.6737910762304093
91,01_01_a0101135080011900033c,0.8333333333333334,0.2071007194435736,32.0,9.0,0.10842022440550003,0.7788644447550934
92,01_01_a0101135080011900043z,0.6666666666666666,0.4627905951867207,43.0,15.0,0.09163112289483298,0.7971835498439358
93,01_01_a0101135080011900045z,0.6666666666666666,0.11084416709290357,43.0,20.0,0.11498725424128285,0.5351428049138045
94,01_01_A0101135080012200017f,0.3333333333333333,0.13630426076577562,36.0,17.0,2.0077982410866344,0.7751012891122687
95,01_01_A0101135080012200018a,0.3333333333333333,0.19705095376525208,37.0,17.0,2.0079453900791497,0.8872638523644831
96,01_01_a0101135080012700048C,0.5,0.10738994620569607,46.0,21.0,0.11947106241846504,0.6615824112404138
97,01_01_a0101135080012700056B,0.5,0.15830908562763402,39.0,21.0,0.10792145226193164,0.6964857711883369
98,01_01_a0101135080014700026z,0.6666666666666666,0.4015134507069992,27.0,10.0,1.4159911519591588,0.9420105486941468
99,01_01_a0101135080014700028z,0.6666666666666666,0.2472889053803633,32.0,14.0,1.4196116413953983,0.7517410904505962
100,01_01_a0101135080014700032A,0.8333333333333334,0.24336517848729464,23.0,11.0,1.0037701469680005,0.6954664332734727
101,01_01_a0101135080014700033z,0.5,0.4032406731647718,37.0,16.0,1.4191712962366276,0.7956452102601325
102,01_01_a0101135090000300024z,0.5,0.3400202270050889,28.0,11.0,1.7324528843562836,0.7797740140901138
103,01_01_a0101135090000300034z,0.8333333333333334,0.3636923019483504,23.0,14.0,1.0015965244774658,0.7917847421050319
104,01_01_A0101135090000400023b,0.6666666666666666,0.2438723071283555,32.0,17.0,1.4172115139424029,0.7155631384326572
105,01_01_A0101135090000400032z,0.5,0.2835524966456786,30.0,21.0,1.4158120826990628,0.8370956585480289
106,01_01_A0101135090000400034z,0.6666666666666666,0.2614110384934535,27.0,18.0,1.0113011625511008,0.783639534124073
107,01_01_A0101135090000400044z,0.3333333333333333,0.2214923444304603,43.0,30.0,1.0035468334783086,0.7509466276654023
108,01_01_a0101135090000500013z,0.3333333333333333,0.8802320624686436,39.0,19.0,2.0011003355198898,1.1832270730552719
109,01_01_a0101135090000500032z,0.8333333333333334,0.5047517202013085,25.0,14.0,0.146169865674466,0.7898065494960649
110,01_01_a0101135090001000033z,0.6666666666666666,0.23728071141289275,26.0,14.0,1.4184708418646457,0.7858695092762873
111,01_01_a0101135090001000044z,0.6666666666666666,0.3899031115319315,32.0,20.0,0.11663905587381986,0.6975022468995956
112,01_01_A0101135090001800024z,0.8333333333333334,0.27709581386257565,24.0,17.0,1.00437682335611,0.8077656981071293
113,01_01_A0101135090001800031z,1.0,0.2227257194435736,19.0,13.0,0.13644322817652618,0.8660385030071135
114,01_01_A0101135090001800033z,0.8333333333333334,0.27192595710740863,22.0,13.0,1.005652811158897,0.7506903667335579
115,01_01_A0101135090002000025z,0.16666666666666666,0.4154110157695377,40.0,25.0,2.0019802803850166,0.9436927764092352
116,01_01_A0101135090002000032z,0.8333333333333334,0.5512189696793879,25.0,10.0,1.005170493201287,0.8625712541869879
117,01_01_A0101135090002500025z,0.16666666666666666,0.3096111285675027,43.0,24.0,1.7337645099441712,0.8613421016762294
118,01_01_A0101135090002500032z,0.6666666666666666,0.3346688301763687,27.0,16.0,1.007371781080337,0.9159843348554552
119,01_01_A0101135090003000035z,0.3333333333333333,0.35982087468982626,29.0,20.0,1.4200052588627767,0.8343242584317146
120,01_01_a0101135090003100024z,0.6666666666666666,0.2663884906352512,28.0,14.0,1.416754132491413,0.8171926551963996
121,01_01_a0101135090003100042z,0.8333333333333334,0.4026736810593027,24.0,18.0,0.15113090524591086,0.8550208958859885
122,01_01_a0101135090003800024z,0.6666666666666666,0.28070364299506123,28.0,14.0,1.417181619371641,0.8109928848499124
123,01_01_a0101135090003800033z,0.8333333333333334,0.26771879249283626,24.0,16.0,0.09946525494642232,0.8161805701452597
124,01_01_a0101135090003800038z,0.8333333333333334,0.4270014819409981,24.0,18.0,0.1821031326211984,0.8624173794166469
125,01_01_a0101135090004400025z,0.5,0.2700051956465652,29.0,12.0,1.7330592467680723,0.8111693878310429
126,01_01_a0101135090004400027z,0.5,0.26388898769549485,29.0,12.0,1.7328357397067862,0.819620563939234
127,01_01_a0101135090004400031z,0.8333333333333334,0.3326811880164444,16.0,11.0,1.0140323262285122,0.8239078516988197
128,01_01_a0101135090004400032z,1.0,0.252255854416802,17.0,12.0,0.13194343618995402,0.7651799536756684
129,01_01_A0101135090004700036z,0.8333333333333334,0.2245279481239515,26.0,13.0,0.18859508843884207,0.8919541786042372
130,01_01_A0101135090004700042z,0.5,0.2688007597472976,35.0,19.0,0.11510410123317386,0.784542438733165
131,01_01_A0101135090004700047z,0.5,0.24674521679508946,61.0,29.0,0.06472854527216775,0.6753285447904724
132,01_01_A0101135090004700049z,0.5,0.3170586620461481,57.0,28.0,1.0074081718133352,0.8027194418454947
133,01_01_A0101135090005200045z,0.3333333333333333,0.4700226835451178,49.0,27.0,0.11352409826512565,0.7819953462871899
134,01_01_a0101135090006400055z,0.5,0.5020937924928363,49.0,27.0,0.11595026615157902,0.8881990217337579
135,01_01_a0101135090006400063z,0.3333333333333333,0.2203073304383789,42.0,22.0,0.11825728305857885,0.7983444419500679
136,01_01_a0101135090006400065z,0.5,0.4059822604893269,52.0,27.0,0.13434607767894574,0.8718415992177551
137,01_01_a0101135090006400073z,0.5,0.4766177186046344,71.0,42.0,0.0892261603209562,0.8860385435828064
138,01_01_A0101135090006700027z,0.8333333333333334,0.2618245901887647,25.0,14.0,1.0057879130986118,0.8284971887265852
139,01_01_A0101135090006700032z,0.8333333333333334,0.5965412421846503,21.0,14.0,1.006255247054944,0.8264477176489641
140,01_01_A0101135090006700033z,0.8333333333333334,0.4148922813237329,20.0,12.0,1.0017185226293297,0.7870070212469978
141,01_01_A0101135090006700038z,0.6666666666666666,0.4552991478275238,25.0,14.0,1.0051062441324352,0.801298347415831
142,01_01_A0101135090006800022a,0.5,0.9119262013335656,46.0,21.0,1.7430670842018952,1.4447049760753077
143,01_01_a0101135090006900058z,0.16666666666666666,0.17845782559421908,44.0,20.0,1.0048488492060623,0.7251828774772677
144,01_01_a0101135090007000049z,0.5,0.2460552084629133,39.0,14.0,1.0091410531623557,0.7235134948276154
145,01_01_a0101135090007000051z,0.5,0.2304302084629133,44.0,23.0,1.0072200461200542,0.7254087942110624
146,01_01_a0101135090007000053z,0.5,0.2114382634486085,42.0,16.0,1.0023676195661764,0.6422533634414951
147,01_01_a0101135090007900033A,0.5,0.4727005131428733,38.0,17.0,1.4204651960023795,1.0582862694115818
148,01_01_a0101135090007900033C,0.3333333333333333,0.17782710581156647,43.0,18.0,1.734147261646808,0.8447199305678416
149,01_01_a0101135090007900033D,0.6666666666666666,0.7382051026764288,31.0,15.0,1.4157498039938343,1.1853697858970025
150,01_01_a0101135090008400046A,0.6666666666666666,0.2222417607657756,23.0,18.0,1.0028461341377612,0.7282709464744704
151,01_01_a0101135090008400046B,0.5,0.3973647856968521,21.0,18.0,1.4180577795085445,0.7578006653639054
152,01_01_a0101135090008400052z,0.8333333333333334,0.3117399183139873,35.0,18.0,0.11900541410133375,0.8110497880848052
153,01_01_a0101135090008500022B4,0.5,0.9509517383755004,46.0,21.0,1.7431376423518947,1.4761730700379134
154,01_01_a0101135090008500022B5,0.5,0.9509517383755004,46.0,21.0,1.7429394883382905,1.4730217475475291
155,01_01_A0101135090008500034B7,0.3333333333333333,0.29465796742165584,33.0,16.0,1.7345431799698288,0.8306232796513062
156,01_01_A0101135090008500035B10,0.5,0.3330740764502389,31.0,17.0,1.7388810841370819,0.8657803508348809
157,01_01_a0101135090008800033z,0.5,0.2312327757526517,33.0,16.0,1.4163186200933393,0.8044562326662668
158,01_01_A0101135090009000021e,0.5,0.23020785093691465,30.0,15.0,1.7345031860063267,0.859994883094271
159,01_01_A0101135090009000022b,0.6666666666666666,0.3458825081484576,28.0,14.0,1.4167055626283556,0.8827130324034513
160,01_01_a0101135090009700040z,0.5,0.481926137847721,32.0,18.0,1.415930469746305,0.8459406332770365
161,01_01_a0101135090009800032z,0.6666666666666666,0.2694927084629133,26.0,15.0,1.0060688727255886,0.7000825059207371
162,01_01_a0101135090009900032A,0.8333333333333334,0.31507814538333856,22.0,13.0,1.0064891719802231,0.7114715667870861
163,01_01_a0101135090009900032B,0.8333333333333334,0.35564550934535866,26.0,15.0,1.0056228309297526,0.824252466487501
164,01_01_a0101135090009900038z,0.8333333333333334,0.3101594751412935,22.0,13.0,1.0056957921835317,0.6871136473404998
165,01_01_a0101135090009900044A,0.3333333333333333,0.2829884537652521,42.0,21.0,1.0027911105075775,0.7329198758870576
166,01_01_a0101135090009900044B,0.3333333333333333,0.2304302084629133,40.0,21.0,1.0046292030359572,0.6360420109552101
167,01_01_a0101135090009900050z,0.3333333333333333,0.21582087468982625,40.0,22.0,1.0024106638082433,0.6119275755767143
168,01_01_a0101135090009900060z,0.3333333333333333,0.25488337468982625,48.0,24.0,1.0058768165057508,0.7203408674266151
169,01_01_a0101135090009900072z,0.3333333333333333,0.3969666617533224,56.0,27.0,0.12114059221211412,0.8118162197945541
170,01_01_a0101135090010000058z,0.5,0.7699725575135635,59.0,23.0,1.0050810806228627,0.9799818954773856
171,01_01_a0101135090010700038z,0.5,0.570005564197321,31.0,14.0,1.004833479465114,0.777947933340551
172,01_01_a0101135090010700045z,0.5,0.6036125841354114,42.0,19.0,1.0054793623126197,0.8140767014529077
173,01_01_a0101135090010700050z,0.6666666666666666,0.08592381586629683,43.0,16.0,0.10393235599375016,0.6771832644831809
174,01_01_a0101135090011000033z,0.8333333333333334,0.33685244818879106,24.0,12.0,0.15265013016773818,0.776231150466899
175,01_01_a0101135090011000044z,0.6666666666666666,0.32767251740029857,35.0,19.0,0.10571742835775208,0.8126884076132819
176,01_01_a0101135090011100032B,0.6666666666666666,0.2899891439205955,26.0,12.0,1.4176875771658042,0.8232388052227115
177,01_01_a0101135090011100047z,0.6666666666666666,0.31287596417528485,29.0,14.0,1.0021644809041106,0.8352357301254316
178,01_01_a0101135090011500054A,0.5,0.22240831386257565,40.0,14.0,1.0021953133772818,0.7295442791770526
179,01_01_a0101135090011900051A,0.6666666666666666,0.3874778541237329,41.0,16.0,0.12412590171063738,0.8074760464043647
180,01_01_a0101135090011900051B,0.5,0.30058934202844,39.0,20.0,0.12129084583325332,0.7866984212599564
181,01_01_a0101135090012800031z,0.6666666666666666,0.43080208554577615,29.0,11.0,1.0056841056535175,0.9287826694420542
182,01_01_a0101135090012800042z,0.5,0.1801882634486085,39.0,13.0,0.08136332675671858,0.7155483022312479
183,01_01_a0101135100000500027z,0.6666666666666666,0.3030964705870467,28.0,14.0,1.4167032965513375,0.8231915691089512
184,01_01_a0101135100000500032z,1.0,0.569942873645985,19.0,13.0,0.1471725012523722,0.7954035189262787
185,01_01_A0101135100000600038z,1.0,0.3827485062687737,22.0,14.0,0.14908099641204564,0.8424904324236718
186,01_01_a0101135100001100031A,0.5,0.21886950393264612,24.0,15.0,1.7339111146745974,0.7477427647300214
187,01_01_a0101135100001100031z,0.5,0.21499690828155749,24.0,15.0,1.73396171863792,0.7485885137780971
188,01_01_a0101135100001100032z,0.5,0.21886950393264612,24.0,15.0,1.7338323932429869,0.7496650211104595
189,01_01_a0101135100002100038z,0.8333333333333334,0.2129975215365888,24.0,14.0,1.0062869028517014,0.7603370033396569
190,01_01_A0101135100003000025z,0.8333333333333334,0.40418128623773786,20.0,13.0,1.0089428784044376,0.8523879499102458
191,01_01_A0101135100003000032z,1.0,0.17520581404292598,16.0,12.0,0.1269696776663956,0.7060029249011842
192,01_01_A0101135100003000045z,0.3333333333333333,0.2250685967854983,39.0,25.0,1.004694024143418,0.7394069095259546
193,01_01_A0101135100003500015z,0.3333333333333333,0.2224551811684844,33.0,19.0,2.001881286596684,0.8089392947480853
194,01_01_A0101135100003500033z,0.8333333333333334,0.23446331334436174,24.0,11.0,1.0014288437363246,0.8116652086870202
195,01_01_A0101135100003500038z,0.6666666666666666,0.3762479794126189,27.0,18.0,1.0038550740393168,0.8151082087252625
196,01_01_a0101135100003800025z,0.5,0.28148986198728976,31.0,12.0,1.7323825903517538,0.8489664419812286
