,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.3333333333333333,1.2605444257595897,41.0,21.0,2.0088788269872526,1.3257855025142944
1,01_01_a0101135010000300031z,0.6666666666666666,0.4202225657817763,32.0,14.0,1.4148972541633174,0.7940920371115685
2,01_01_a0101135010000300042z,0.6666666666666666,0.3452668089295996,32.0,14.0,1.4160282101572506,0.7687994458420327
3,01_01_a0101135010001100026z,0.6666666666666666,0.2876709999081494,34.0,17.0,1.0008371674841907,0.7199711134009907
4,01_01_a0101135010001100037z,0.6666666666666666,0.28407348507984104,34.0,17.0,1.0009806703134736,0.7184442210287274
5,01_01_A0101135010001900032z,0.6666666666666666,0.4057607224605057,30.0,16.0,1.0027576752050458,0.6835018998893772
6,01_01_A0101135010001900041z,0.8333333333333334,0.15274446809611494,35.0,12.0,0.12572656220423478,0.5829376897254451
7,01_01_a0101135010002200032A,0.6666666666666666,0.472397113022113,32.0,15.0,1.4149532955629254,0.8200717729255091
8,01_01_a0101135010002200032B,0.5,0.06386877833029381,39.0,14.0,1.414931890158056,0.7545305163793765
9,01_01_a0101135010002200032D,0.5,0.2586559654574361,38.0,14.0,1.4158565896581712,0.748123502867448
10,01_01_A0101135010002600058a,0.3333333333333333,0.2814618177669648,67.0,37.0,1.0023103985751387,0.8714315426646969
11,01_01_A0101135010002600058b,0.3333333333333333,0.20857900545400546,52.0,29.0,1.4162537983483077,0.8910435998920556
12,01_01_A0101135010002600058c,0.3333333333333333,0.20857900545400546,52.0,29.0,1.4163092314415806,0.9024346807628191
13,01_01_A0101135010002600066z,0.6666666666666666,0.4516237558218417,51.0,29.0,0.08849468212707383,0.8652122342094821
14,01_01_a0101135010002600076z,0.5,0.4853854730499467,66.0,35.0,0.10071545218032688,0.9171300960024792
15,01_01_a0101135010002600077z,0.3333333333333333,0.32337615597427605,38.0,20.0,1.7363465433734688,0.8811309225166611
16,01_01_a0101135010003000030z,0.5,0.3950411646984228,42.0,19.0,1.7327258106665342,0.8357425668153029
17,01_01_a0101135010003000032z,0.5,0.4278963728691989,36.0,20.0,1.733065954805673,0.7374043136461457
18,01_01_A0101135010003800014z,0.3333333333333333,0.7748428288953908,59.0,30.0,2.012470659173661,1.2753988712641509
19,01_01_a0101135010004900033A,0.5,0.2996894994063618,37.0,19.0,1.733213684619869,0.8022990568497044
20,01_01_a0101135010004900038z,0.6666666666666666,0.28260373422011353,29.0,17.0,1.4147849249185538,0.7258482007031363
21,01_01_a0101135010004900043z,0.8333333333333334,0.2122540553784137,30.0,13.0,1.00110636455738,0.7839720160865612
22,01_01_a0101135010005200042z,0.5,0.3731389353695388,45.0,19.0,1.010971580128328,0.8483171962027954
23,01_01_a0101135010005200043z,0.6666666666666666,0.4096325717088429,41.0,15.0,1.007088792431416,0.8313085516996263
24,01_01_a0101135010005200054z,0.5,0.3461719501121675,51.0,21.0,0.08572183854451239,0.6995790122731724
25,01_01_a0101135010005600032z,0.6666666666666666,0.25230588841067203,34.0,13.0,1.00105047564071,0.6051860959558008
26,01_01_A0101135080001200060z,0.6666666666666666,0.23484836562282216,32.0,17.0,1.002117122952283,0.7086786155851709
27,01_01_a0101135080001400034z,0.6666666666666666,0.4390186192728291,28.0,14.0,1.414948740621405,0.8332252627875449
28,01_01_a0101135080001800024A,0.6666666666666666,0.4696904699584449,26.0,16.0,1.4151030856526998,0.8389192942486958
29,01_01_a0101135080001800034z,0.8333333333333334,0.3443018919141877,28.0,14.0,1.0040087096149426,0.7875752198344256
30,01_01_a0101135080002300017z,0.3333333333333333,0.5924063901322565,48.0,25.0,1.741011787172676,1.1264999121338024
31,01_01_a0101135080002300020z,0.3333333333333333,0.5911945501982631,52.0,25.0,1.7409911425616942,1.1332006728492734
32,01_01_A0101135080004400016z,0.3333333333333333,1.124647650089404,59.0,30.0,2.013953403242596,1.4801639558011317
33,01_01_A0101135080004400020z,0.3333333333333333,0.4416603416792239,49.0,24.0,2.0051711333929654,1.0092534154163213
34,01_01_A0101135080004400021z,0.3333333333333333,0.9450786740757672,55.0,28.0,2.01384521339218,1.3483385914508828
35,01_01_A0101135080004400032z,0.3333333333333333,0.4260353416792239,41.0,22.0,2.0024361916812703,0.8691430378512887
36,01_01_A0101135080004400047z,0.5,0.3423108101416925,44.0,22.0,1.0028390068029474,0.8085762130151408
37,01_01_a0101135080004500034A,0.5,0.2919978187835331,29.0,17.0,1.733068559688283,0.7535763188494267
38,01_01_a0101135080005500017z,0.3333333333333333,0.5640731013183796,54.0,28.0,2.0108294186575955,1.0442664508235433
39,01_01_a0101135080005500019z,0.3333333333333333,0.5481685287537673,54.0,28.0,2.011130086034832,1.0267828525432825
40,01_01_a0101135080005500022z,0.3333333333333333,0.5409174460715042,54.0,28.0,2.0106568622369188,1.041525421613129
41,01_01_a0101135080005500026z,0.3333333333333333,0.5409174460715042,54.0,28.0,2.009125874482674,1.0839831594377631
