,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,0.4924828230472518,35.0,12.0,1.8046421357637117,1.4050802016751598
1,01_01_a0101135010000300031z,0.3333333333333333,0.3790890369305616,56.0,27.0,1.7775810243603736,1.312849707215574
2,01_01_a0101135010000300042z,0.3333333333333333,0.7383284116419375,53.0,28.0,1.7689091099300118,1.4514195331437332
3,01_01_a0101135010001100026z,0.16666666666666666,0.7119826026204874,73.0,33.0,1.7711186089207116,1.3824493063348342
4,01_01_a0101135010001100037z,0.16666666666666666,0.7083850877921789,73.0,33.0,1.7717342191435208,1.382367070258168
5,01_01_A0101135010001900032z,0.3333333333333333,0.8925723251728437,60.0,33.0,1.7671754674333189,1.414404108647992
6,01_01_A0101135010001900041z,0.3333333333333333,0.6551810708084529,73.0,37.0,1.7680675019502017,1.3420046248867037
7,01_01_a0101135010002200032A,0.5,0.34253948969022485,44.0,24.0,1.772269258414019,1.2821200883259798
8,01_01_a0101135010002200032B,0.5,0.7381803810426317,53.0,25.0,1.7625624901298254,1.3327180820904605
9,01_01_a0101135010002200032D,0.5,0.7125306372549018,61.0,27.0,1.7932269431007837,1.3387296517509009
10,01_01_A0101135010002600058a,0.16666666666666666,0.7213984204793027,105.0,48.0,1.7654002751237496,1.4467610472198285
11,01_01_A0101135010002600058b,0.16666666666666666,0.6172656081663433,87.0,38.0,1.7647366207461168,1.3373360792548936
12,01_01_A0101135010002600058c,0.16666666666666666,0.6172656081663433,87.0,38.0,1.764942421507904,1.343731115662942
13,01_01_A0101135010002600066z,0.16666666666666666,0.36331284689049625,92.0,40.0,1.7682501926773548,1.2567857509037357
14,01_01_a0101135010002600076z,0.16666666666666666,0.3295511296623912,111.0,52.0,1.7678756505257869,1.230844056926505
15,01_01_a0101135010002600077z,0.5,0.5384354467380619,43.0,21.0,1.755538685406085,1.1156618660108006
16,01_01_a0101135010003000030z,0.5,0.4198954380139152,43.0,21.0,1.7728159107717334,1.2943277905082178
17,01_01_a0101135010003000032z,0.5,0.5240829755815368,47.0,22.0,1.7655157282545633,1.3461068619403278
18,01_01_A0101135010003800014z,1.0,0.04009377381694712,2.0,0.0,1.7434920943588332,0.6544057014313821
19,01_01_a0101135010004900033A,0.5,0.7552511021186997,47.0,23.0,1.7817386161900992,1.3441160053989112
20,01_01_a0101135010004900038z,0.5,0.7198328684922244,50.0,24.0,1.7835470103494708,1.3077840188833665
21,01_01_a0101135010004900043z,0.5,0.6521906580907516,60.0,28.0,1.7913714171951889,1.3943502242822132
22,01_01_a0101135010005200042z,0.3333333333333333,0.4417976673427991,91.0,37.0,1.7775420163884756,1.3922133439140216
23,01_01_a0101135010005200043z,0.3333333333333333,0.5995691744211809,76.0,31.0,1.7724473697366412,1.4022022882715277
24,01_01_a0101135010005200054z,0.3333333333333333,0.7500146526001704,101.0,41.0,1.7706342157949764,1.3497120322119385
25,01_01_a0101135010005600032z,0.5,0.7970057143016659,67.0,29.0,1.7939849207060337,1.3685123527708547
26,01_01_A0101135080001200060z,0.3333333333333333,0.6747849683351601,82.0,36.0,1.7815219536573639,1.4226389479925026
27,01_01_a0101135080001400034z,0.3333333333333333,0.7852052219851671,53.0,27.0,1.767442706552402,1.4512735520054387
28,01_01_a0101135080001800024A,0.3333333333333333,0.32962113275389304,57.0,27.0,1.7588737628613589,1.2562652811339876
29,01_01_a0101135080001800034z,0.3333333333333333,0.8936134946265257,64.0,30.0,1.766997265805501,1.441810997885438
30,01_01_a0101135080002300017z,0.6666666666666666,0.22253021258008146,34.0,15.0,1.7450883211911372,1.0508134315563382
31,01_01_a0101135080002300020z,0.6666666666666666,0.22374205251407486,37.0,15.0,1.745184641941081,1.0486541792973822
32,01_01_A0101135080004400016z,1.0,0.3565860473770661,2.0,0.0,1.742984981054761,0.816300942552605
33,01_01_A0101135080004400020z,0.6666666666666666,0.3264012610331141,18.0,9.0,1.7471980469563506,1.1430591242740131
34,01_01_A0101135080004400021z,0.8333333333333334,0.17701707136342915,9.0,3.0,1.7462475444835917,0.7664269415580957
35,01_01_A0101135080004400032z,0.5,0.3420262610331141,31.0,12.0,1.7689525628519738,1.1265753730145915
36,01_01_A0101135080004400047z,0.3333333333333333,0.5634974128540304,71.0,32.0,1.7677611132927205,1.3377816614915377
37,01_01_a0101135080004500034A,0.3333333333333333,0.716309421495871,54.0,24.0,1.7720857942656052,1.422877213535324
38,01_01_a0101135080005500017z,0.8333333333333334,0.6602597040307175,13.0,3.0,1.7465166299671937,1.1377069944157825
39,01_01_a0101135080005500019z,0.8333333333333334,0.6443551314661052,14.0,3.0,1.7455503242829644,1.2250026022212444
40,01_01_a0101135080005500022z,0.8333333333333334,0.6371040487838421,14.0,3.0,1.744470815744344,1.1235691221299495
41,01_01_a0101135080005500026z,0.8333333333333334,0.6371040487838421,17.0,3.0,1.7409464334570328,1.2236623327069758
42,01_01_A0101135080005700022z,0.5,0.1526380435104554,55.0,23.0,1.7682801494937517,1.1469457160156145
43,01_01_a0101135080005800031z,0.5,0.3935392249004864,50.0,23.0,1.7740523799072103,1.3134978653374574
44,01_01_a0101135080005800046z,0.5,0.5327660799168151,53.0,28.0,1.7738247505184543,1.3826832658740662
45,01_01_a0101135080005800047A,0.5,0.3829840535722888,64.0,29.0,1.7911220441269189,1.2990723457198647
46,01_01_a0101135080005800047z,0.5,0.3792760968617212,64.0,29.0,1.7948295181487723,1.291620618648422
47,01_01_a0101135080007000014z,1.0,0.6836413993989556,2.0,0.0,1.7476033223710106,0.8190508405382511
48,01_01_a0101135080007000018z,1.0,0.902278444272446,4.0,0.0,1.7501926464884965,0.9618424951318176
49,01_01_A0101135080007100014z,0.3333333333333333,0.02446877381694712,42.0,15.0,1.74644390657222,0.9387119318490418
50,01_01_A0101135080007100015a,0.3333333333333333,0.0469669117647058,43.0,15.0,1.746396355641583,0.9478352015283168
51,01_01_a0101135080007500020z,0.6666666666666666,0.5063733789226751,27.0,9.0,1.7554167716762858,1.2544239614396526
52,01_01_a0101135080007500021b,0.3333333333333333,0.7985062124560807,36.0,15.0,1.7563660950933095,1.3193627210099483
53,01_01_a0101135080007500021c,0.6666666666666666,0.8066908539731681,31.0,12.0,1.7592308676553556,1.316474425580073
54,01_01_a0101135080007500026a,0.3333333333333333,0.7946243568349325,46.0,18.0,1.7577603325594398,1.2601686570371309
55,01_01_a0101135080007800024z,0.5,0.3368421226017289,56.0,22.0,1.7782103090754957,1.1015490927281606
56,01_01_a0101135080008200031A,0.5,0.7815907395566921,54.0,24.0,1.768248429808439,1.3818723515128406
57,01_01_a0101135080008200031B,0.5,0.7816882039593421,54.0,24.0,1.7679006609442451,1.3793512897171458
58,01_01_a0101135080008200031C,0.5,0.8753407395566921,56.0,24.0,1.7661597114322465,1.3977412597072911
59,01_01_a0101135080008500034a,0.3333333333333333,0.7332079991087344,47.0,21.0,1.7663257697122536,1.329463035832209
60,01_01_a0101135080008500034b,0.3333333333333333,0.6573338636246054,45.0,18.0,1.7649327016680425,1.1573856733131074
61,01_01_a0101135080008900015z,0.6666666666666666,0.4162495634002986,21.0,9.0,1.7493525775843346,1.226641678526529
62,01_01_a0101135080008900024z,0.5,0.24923350647598475,35.0,15.0,1.7740656856767985,1.134816928719542
63,01_01_a0101135080008900025z,0.5,0.4661690753887761,37.0,15.0,1.764245918623616,1.218895615079827
64,01_01_a0101135080009700024A,0.5,0.7809573285836072,44.0,23.0,1.7676361830169267,1.3589528311867367
65,01_01_a0101135080009700024B,0.5,0.6403323285836072,65.0,27.0,1.7676279182917294,1.350940175419863
66,01_01_a0101135080009700033A,0.5,0.8067096187790184,47.0,23.0,1.7675975466640028,1.3935824053551729
67,01_01_a0101135080009700033B,0.5,0.8572161479822389,52.0,28.0,1.7694014747569178,1.327413287622313
68,01_01_a0101135080010200010z,0.6666666666666666,0.15088290998217468,24.0,6.0,1.7421577368195404,0.9948850998707884
69,01_01_a0101135080010200044z,0.5,0.8067757883335566,70.0,39.0,1.773969935180837,1.317578983842122
70,01_01_a0101135080010200049A,0.5,0.709769096989593,63.0,32.0,1.7742337999404076,1.3057231237116669
71,01_01_a0101135080010200049B,0.5,0.7055907707910749,63.0,32.0,1.7721418341198127,1.2983208125310417
72,01_01_a0101135080010200054c,0.5,0.6510649576588128,64.0,32.0,1.774273537394678,1.2500973587757194
73,01_01_a0101135080010300019z,0.6666666666666666,0.29150195350417385,36.0,12.0,1.7480073831027505,1.1825116342786208
74,01_01_a0101135080010300035z,0.3333333333333333,0.5286705058129445,69.0,30.0,1.7693162116464876,1.3091856930575805
75,01_01_a0101135080010300036z,0.5,0.5666660552802052,70.0,27.0,1.7763849147860704,1.3879832771280631
76,01_01_a0101135080010700022A,0.3333333333333333,0.770538611571389,56.0,23.0,1.7648811466034962,1.327101426400163
77,01_01_a0101135080010700044z,0.5,0.7734727910151401,58.0,30.0,1.7841668034973792,1.3164122035341133
78,01_01_a0101135080010900023A,0.5,0.9271570802120429,47.0,24.0,1.767893268999666,1.4035874604851697
79,01_01_a0101135080010900023B,0.3333333333333333,0.937852234066111,53.0,27.0,1.7672787993758237,1.3450951869366905
80,01_01_a0101135080010900023C,0.5,0.7041210164775443,53.0,24.0,1.7599140328409435,1.3639533035216695
81,01_01_a0101135080010900033a,0.5,0.8205610021786491,49.0,24.0,1.765285285567164,1.305197218037495
82,01_01_a0101135080010900044z,0.3333333333333333,0.7886092998520162,74.0,32.0,1.7754087753179937,1.300244420858044
83,01_01_a0101135080010900055a,0.3333333333333333,0.606500135431531,78.0,34.0,1.7863324035380532,1.3055345093123123
84,01_01_A0101135080011100012c,0.6666666666666666,0.24396413600776,30.0,9.0,1.7783141241974425,1.1370645309845822
85,01_01_A010113508001110007b-1,0.5,0.1725439322407929,28.0,9.0,1.7820390804674575,1.1010464039963366
86,01_01_A010113508001110007b,0.6666666666666666,0.3702533444934169,18.0,6.0,1.7590029190849934,1.1319355726688405
87,01_01_a0101135080011300055z,0.16666666666666666,0.852805708126624,70.0,42.0,1.7750304135450456,1.3348589823278816
88,01_01_a0101135080011300061z,0.16666666666666666,0.7933385968617211,79.0,47.0,1.7637570593262526,1.3164536874559665
89,01_01_a0101135080011900033A,0.3333333333333333,0.6661151960784313,58.0,30.0,1.7701175574630603,1.3911444506750952
90,01_01_a0101135080011900033b,0.3333333333333333,0.6756803810426317,69.0,30.0,1.7871877370515452,1.3637277662383485
91,01_01_a0101135080011900033c,0.3333333333333333,0.6930825408321786,53.0,28.0,1.7628521201612837,1.3784694265691122
92,01_01_a0101135080011900043z,0.3333333333333333,0.6831474165753257,75.0,33.0,1.7577524391163997,1.4100764284264078
93,01_01_a0101135080011900045z,0.3333333333333333,0.5626376542957015,86.0,37.0,1.7765887867658352,1.3007340846388702
94,01_01_A0101135080012200017f,0.6666666666666666,0.6066610821543806,27.0,9.0,1.7563259167742618,1.255510256328186
95,01_01_A0101135080012200018a,0.6666666666666666,0.5267827751538571,21.0,9.0,1.754268789502641,1.2396789663732417
96,01_01_a0101135080012700048C,0.3333333333333333,0.4879668751829089,83.0,36.0,1.7845603863175004,1.224718137211657
97,01_01_a0101135080012700056B,0.3333333333333333,0.483922735760971,80.0,36.0,1.7958245424097623,1.2104588778348064
98,01_01_a0101135080014700026z,0.5,0.39696837068160573,50.0,21.0,1.7686983614202183,1.1216253077949443
99,01_01_a0101135080014700028z,0.3333333333333333,0.4363957267689683,38.0,19.0,1.7578502938011984,1.1907806633212967
100,01_01_a0101135080014700032A,0.5,0.5887219998758997,54.0,24.0,1.7840694855091,1.3288656202813376
101,01_01_a0101135080014700033z,0.3333333333333333,0.9360974945533768,43.0,22.0,1.7643986088988761,1.4097249319516334
102,01_01_a0101135090000300024z,0.6666666666666666,0.2709615943835161,41.0,15.0,1.7601221513236642,1.222958491129735
103,01_01_a0101135090000300034z,0.5,0.7785395194402547,47.0,24.0,1.7916552935256973,1.3130933922147534
104,01_01_A0101135090000400023b,0.5,0.3671095142602495,40.0,21.0,1.7579056036678125,1.276685800292534
105,01_01_A0101135090000400032z,0.5,0.3274293247429264,51.0,26.0,1.7567402035325483,1.2761960758989022
106,01_01_A0101135090000400034z,0.16666666666666666,0.34957078289515153,51.0,27.0,1.7778678998107722,1.26350534651652
107,01_01_A0101135090000400044z,0.16666666666666666,0.4105991658190653,70.0,34.0,1.7701344884073344,1.307341011648164
108,01_01_a0101135090000500013z,0.6666666666666666,0.6598752410800386,20.0,6.0,1.7508079762208444,1.0953162045626033
109,01_01_a0101135090000500032z,0.3333333333333333,0.7251085415899136,63.0,30.0,1.7692818822202416,1.4376526461778876
110,01_01_a0101135090001000033z,0.5,0.37370110997571226,49.0,19.0,1.7585703317146069,1.313397786347006
111,01_01_a0101135090001000044z,0.3333333333333333,0.5790099329205365,69.0,33.0,1.7818131328805629,1.381796016578789
