,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.8333333333333334,1.0195802418448243,18.0,5.0,1.0698772136905297,1.3438968778348823
1,01_01_a0101135010000300031z,0.5,0.24175838186701096,41.0,18.0,1.0260183794655724,0.9773514750475784
2,01_01_a0101135010000300042z,0.5,0.21123099284436486,42.0,19.0,1.0105907882470713,0.798110952595975
3,01_01_a0101135010001100026z,0.3333333333333333,0.19011481617708528,60.0,25.0,1.0248682044524038,0.8448000840797454
4,01_01_a0101135010001100037z,0.3333333333333333,0.1937123310053937,60.0,25.0,1.0261934328007567,0.8451683818261775
5,01_01_A0101135010001900032z,0.3333333333333333,0.353275093624729,49.0,24.0,1.0152548450962735,0.8119509008212721
6,01_01_A0101135010001900041z,0.3333333333333333,0.3250413479891197,64.0,28.0,1.0219196670641733,0.9065530630364712
7,01_01_a0101135010002200032A,0.3333333333333333,0.2314329291073477,39.0,19.0,1.4292147188399733,0.9518189913989368
8,01_01_a0101135010002200032B,0.3333333333333333,0.4139170377549409,47.0,21.0,1.4290969086523395,0.8528019475212681
9,01_01_a0101135010002200032D,0.3333333333333333,0.4708167815426708,47.0,22.0,1.4492872049752907,0.9107209223614408
10,01_01_A0101135010002600058a,0.16666666666666666,0.3369489983182699,86.0,43.0,1.0196108835098383,1.0397789351723343
11,01_01_A0101135010002600058b,0.16666666666666666,0.26920681063122925,71.0,30.0,1.007782600464606,0.8852212675998646
12,01_01_A0101135010002600058c,0.16666666666666666,0.26920681063122925,71.0,30.0,1.0080011473138182,0.8907980188985628
13,01_01_A0101135010002600066z,0.16666666666666666,0.21065957190707635,77.0,36.0,1.02062480430463,0.8761977914576201
14,01_01_a0101135010002600076z,0.16666666666666666,0.3069212891351814,95.0,41.0,1.0360227918453355,0.96067073813939
15,01_01_a0101135010002600077z,0.3333333333333333,0.4261619720595107,33.0,16.0,1.4172379382478217,0.9564392289928044
16,01_01_a0101135010003000030z,0.3333333333333333,0.15407698078365745,35.0,16.0,1.4288621630610931,0.9182621868201988
17,01_01_a0101135010003000032z,0.3333333333333333,0.04988944321603578,40.0,18.0,1.4205581892952601,0.8461183967802112
18,01_01_A0101135010003800014z,0.6666666666666666,0.5338786449806254,21.0,9.0,1.7452183973212112,1.2627435455966525
19,01_01_a0101135010004900033A,0.3333333333333333,0.4124713166788729,37.0,18.0,1.4383261432473209,0.9303375761877859
20,01_01_a0101135010004900038z,0.3333333333333333,0.4635145503053482,41.0,19.0,1.4326823661554673,0.9429689146923396
21,01_01_a0101135010004900043z,0.3333333333333333,0.265531760706821,54.0,23.0,1.4424219883239418,0.9094508530316964
22,01_01_a0101135010005200042z,0.3333333333333333,0.14779975145477348,72.0,29.0,1.041378451531038,1.0022411914744749
23,01_01_a0101135010005200043z,0.3333333333333333,0.06815324437639181,59.0,23.0,1.0297680572284955,0.8209402454320778
24,01_01_a0101135010005200054z,0.3333333333333333,0.5739577661974022,81.0,33.0,1.0273286516562563,1.007778812748175
25,01_01_a0101135010005600032z,0.3333333333333333,0.5113417044959068,62.0,25.0,1.4428160155158736,0.8955039021697764
26,01_01_A0101135080001200060z,0.5,0.2898124504624125,63.0,28.0,1.03701536348306,0.868924686541981
27,01_01_a0101135080001400034z,0.5,0.2581078031875944,41.0,19.0,1.010307929558096,0.9666263976822967
28,01_01_a0101135080001800024A,0.5,0.3068512860436796,42.0,18.0,1.0131503820567922,1.0203655121360375
29,01_01_a0101135080001800034z,0.3333333333333333,0.36651607582895307,48.0,22.0,1.007427635993094,0.7683912881738831
30,01_01_a0101135080002300017z,0.5,0.3983172062174912,36.0,16.0,1.4216693185906963,1.2050789254818222
31,01_01_a0101135080002300020z,0.5,0.41273036628349774,39.0,16.0,1.4216739451384108,1.2112663007134974
32,01_01_A0101135080004400016z,0.6666666666666666,0.8836834661746387,21.0,9.0,1.7463763542613946,1.462747726008636
33,01_01_A0101135080004400020z,0.6666666666666666,0.3569461577644585,22.0,9.0,1.4244095279365514,1.1985779026271484
34,01_01_A0101135080004400021z,0.8333333333333334,0.7041144901610017,17.0,8.0,1.4318307426965362,1.3707491252573978
35,01_01_A0101135080004400032z,0.8333333333333334,0.37257115776445854,21.0,5.0,1.0234234868266117,0.9520734228944918
36,01_01_A0101135080004400047z,0.5,0.13547500594354214,54.0,24.0,1.0167364942901072,0.9270320611465868
37,01_01_a0101135080004500034A,0.5,0.2170379973017016,37.0,16.0,1.011867009626412,0.8580586926229254
38,01_01_a0101135080005500017z,0.5,0.08628728523314494,22.0,10.0,1.7406966314181402,1.0390552725442408
39,01_01_a0101135080005500019z,0.5,0.07038271266853262,24.0,10.0,1.7417649513550673,1.0434712551559098
40,01_01_a0101135080005500022z,0.5,0.06313162998626948,24.0,10.0,1.7415511178642349,1.0226372226455347
41,01_01_a0101135080005500026z,0.5,0.06313162998626948,24.0,10.0,1.7414810299782122,1.047390408553394
42,01_01_A0101135080005700022z,0.3333333333333333,0.4369593752871172,44.0,19.0,1.4287659119755534,1.086004694960104
43,01_01_a0101135080005800031z,0.3333333333333333,0.18043319389708615,44.0,18.0,1.4302381794378456,0.9615713846252488
44,01_01_a0101135080005800046z,0.3333333333333333,0.04120633888075748,50.0,23.0,1.4244076964146208,0.8502807398558271
45,01_01_a0101135080005800047A,0.3333333333333333,0.19098836522528376,54.0,24.0,1.4405216014598188,0.9622051243416216
46,01_01_a0101135080005800047z,0.3333333333333333,0.19469632193585146,54.0,24.0,1.445997451869717,0.9605819385464236
47,01_01_a0101135080007000014z,0.6666666666666666,1.2576138181965282,21.0,9.0,1.7497582635503417,1.401864057538284
48,01_01_a0101135080007000018z,0.6666666666666666,1.4762508630700184,22.0,9.0,1.754211754465289,1.5314155831119824
49,01_01_A0101135080007100014z,0.3333333333333333,0.5495036449806254,32.0,17.0,1.4218248335304848,1.178182835769435
50,01_01_A0101135080007100015a,0.3333333333333333,0.5270055070328667,33.0,12.0,1.4215006410602138,1.2163890062709155
51,01_01_a0101135080007500020z,0.6666666666666666,0.2394740398748975,18.0,6.0,1.4224511820949466,0.8909695809633047
52,01_01_a0101135080007500021b,0.6666666666666666,0.22453379365850798,23.0,6.0,1.008215580654705,0.7694129568962094
53,01_01_a0101135080007500021c,0.5,0.4391565648244045,26.0,9.0,1.4198335544062362,0.8295199534330091
54,01_01_a0101135080007500026a,0.5,0.5918480619626401,33.0,9.0,1.0140771654596326,0.897021665706149
55,01_01_a0101135080007800024z,0.6666666666666666,0.8621302961958437,40.0,14.0,1.0384245497876063,1.2205477304047052
56,01_01_a0101135080008200031A,0.3333333333333333,0.27675667924088043,46.0,19.0,1.421300162597433,0.8198488223747774
57,01_01_a0101135080008200031B,0.3333333333333333,0.27665921483823064,46.0,19.0,1.4210568717475311,0.8163350550622823
58,01_01_a0101135080008200031C,0.3333333333333333,0.3705066792408804,48.0,19.0,1.4211610675532909,0.8063821607173703
59,01_01_a0101135080008500034a,0.5,0.4188894196888383,35.0,14.0,1.0150722464473474,1.0061040636962768
60,01_01_a0101135080008500034b,0.5,0.7291385551729672,29.0,10.0,1.0081266408985343,1.0551209589426644
61,01_01_a0101135080008900015z,0.6666666666666666,0.15772285539727401,18.0,4.0,1.4175229215920129,0.8974917054468333
62,01_01_a0101135080008900024z,0.6666666666666666,0.3716139123215879,30.0,8.0,1.0328377487390106,0.9901004751091426
63,01_01_a0101135080008900025z,0.6666666666666666,0.10780334340879656,28.0,8.0,1.0098424447816317,0.8284202568671667
64,01_01_a0101135080009700024A,0.3333333333333333,0.3867650902139654,36.0,18.0,1.426122207967936,0.9451340007052208
65,01_01_a0101135080009700024B,0.3333333333333333,0.24614009021396535,56.0,23.0,1.4275805848994905,0.9485577223956018
66,01_01_a0101135080009700033A,0.3333333333333333,0.36101280001855424,44.0,18.0,1.42061870902047,0.8833262548307973
67,01_01_a0101135080009700033B,0.3333333333333333,0.4042562708153337,48.0,23.0,1.4294836570806315,0.9185825488496075
68,01_01_a0101135080010200010z,0.5,0.6779803287797472,21.0,7.0,1.7379612983143031,1.2199683302234483
69,01_01_a0101135080010200044z,0.3333333333333333,0.5484466304640161,62.0,36.0,1.4274284769913659,0.9746178795656976
70,01_01_a0101135080010200049A,0.3333333333333333,0.4423283218079796,59.0,28.0,1.4265797123210775,0.942588142127136
71,01_01_a0101135080010200049B,0.3333333333333333,0.4308816480064977,57.0,28.0,1.4261633068060853,0.9439998533415691
72,01_01_a0101135080010200054c,0.3333333333333333,0.5010324611387598,60.0,28.0,1.4316147094039318,0.9691030223427888
73,01_01_a0101135080010300019z,0.6666666666666666,0.28247046529339875,31.0,9.0,1.4278549872445223,1.0003880406012968
74,01_01_a0101135080010300035z,0.3333333333333333,0.2640519129846281,51.0,21.0,1.036845783307118,0.977219217389706
75,01_01_a0101135080010300036z,0.3333333333333333,0.0073063635173674655,63.0,22.0,1.4435960215697394,0.8506852777137867
76,01_01_a0101135080010700022A,0.5,0.6315588072261835,41.0,14.0,1.0149611140865606,1.053761316562219
77,01_01_a0101135080010700044z,0.3333333333333333,0.5192496277824326,50.0,26.0,1.4376983370407859,0.9708894902339094
78,01_01_a0101135080010900023A,0.6666666666666666,0.4000596614144704,40.0,16.0,1.0271428463762002,0.9361843211778496
79,01_01_a0101135080010900023B,0.5,0.4107548152685384,41.0,19.0,1.0240451647707645,0.9082765344153332
80,01_01_a0101135080010900023C,0.3333333333333333,0.2448514023200283,45.0,20.0,1.4238775148902736,0.8737675605593235
81,01_01_a0101135080010900033a,0.3333333333333333,0.37841141661892347,43.0,19.0,1.4265981255576892,0.8856292014590579
82,01_01_a0101135080010900044z,0.5,0.6134881189455563,57.0,26.0,1.0459603326818487,0.9723186000071316
83,01_01_a0101135080010900055a,0.5,0.4205972833660416,64.0,27.0,1.0551710070386209,0.974933889051104
84,01_01_A0101135080011100012c,0.6666666666666666,0.7987582827898125,26.0,6.0,1.4369345513260945,1.2439636781672716
85,01_01_A010113508001110007b-1,0.3333333333333333,0.4014284865567797,24.0,8.0,1.7533035334717566,1.1095971152927195
86,01_01_A010113508001110007b,0.5,0.20371907430415576,21.0,7.0,1.7424209142998577,0.867165582376356
87,01_01_a0101135080011300055z,0.16666666666666666,0.5492917106709485,63.0,33.0,1.0355391485669965,0.9479300633801916
88,01_01_a0101135080011300061z,0.16666666666666666,0.6087588219358515,72.0,39.0,1.0419606488431683,0.998704189470932
89,01_01_a0101135080011900033A,0.3333333333333333,0.18910722271914127,48.0,22.0,1.021893474815392,0.8976876341220448
90,01_01_a0101135080011900033b,0.5,0.3045420377549409,53.0,22.0,1.0450772851094323,0.9841960569277964
91,01_01_a0101135080011900033c,0.5,0.17776487796539406,42.0,22.0,1.018597051656141,0.8427353139315981
92,01_01_a0101135080011900043z,0.3333333333333333,0.15645000222224692,65.0,25.0,1.0197803466039932,0.8996570028913584
93,01_01_a0101135080011900045z,0.3333333333333333,0.4175847645018712,73.0,29.0,1.0333042289856669,1.027657750623201
94,01_01_A0101135080012200017f,0.5,0.342311336643192,30.0,8.0,1.7352461222629372,1.0652887083013167
95,01_01_A0101135080012200018a,0.6666666666666666,0.18781464364371556,18.0,4.0,1.4263701174197587,0.8955463014683461
96,01_01_a0101135080012700048C,0.3333333333333333,0.4766305436146637,73.0,28.0,1.0580234281658163,1.0301287964306172
97,01_01_a0101135080012700056B,0.3333333333333333,0.5275496830366015,65.0,28.0,1.0645173601885258,1.0425874317097334
98,01_01_a0101135080014700026z,0.5,0.7707540481159667,43.0,16.0,1.4343352910898963,1.1760460443697562
99,01_01_a0101135080014700028z,0.6666666666666666,0.13757669202860429,25.0,12.0,1.0068141337806022,0.9150257036109064
