,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,0.8222117593345604,25.0,14.0,1.7567327688562948,1.2774590469584777
1,01_01_a0101135010000300031z,0.5,0.044389899356746976,44.0,22.0,1.422331652481182,0.8387700991574579
2,01_01_a0101135010000300042z,0.3333333333333333,0.4085994753546289,37.0,23.0,1.421599993503002,0.9302950598424976
3,01_01_a0101135010001100026z,0.16666666666666666,0.3822536663331788,53.0,25.0,1.4215760863007645,0.8660031712886747
4,01_01_a0101135010001100037z,0.16666666666666666,0.3786561515048703,53.0,25.0,1.4213188369826697,0.8643983689288827
5,01_01_A0101135010001900032z,0.5,0.5159683888855351,44.0,28.0,1.4195586803979807,0.9416272458824791
6,01_01_A0101135010001900041z,0.3333333333333333,0.3254521345211443,58.0,32.0,1.4189323359116517,0.8736879641354169
7,01_01_a0101135010002200032A,0.6666666666666666,0.034064446597083735,37.0,19.0,1.4194401767772669,0.8945872123845674
8,01_01_a0101135010002200032B,0.6666666666666666,0.4084514447553231,38.0,20.0,1.4162680803968677,0.8845784337056808
9,01_01_a0101135010002200032D,0.6666666666666666,0.3828017009675933,43.0,21.0,1.4284087409084874,0.9134078158570258
10,01_01_A0101135010002600058a,0.3333333333333333,0.3447944841919941,86.0,47.0,1.4208994400202832,1.0629816629388449
11,01_01_A0101135010002600058b,0.3333333333333333,0.2406616718790348,69.0,30.0,1.4202666371211718,0.9124934424514372
12,01_01_A0101135010002600058c,0.3333333333333333,0.2406616718790348,69.0,30.0,1.4200337116649533,0.9140379129792872
13,01_01_A0101135010002600066z,0.16666666666666666,0.01329108939681234,74.0,37.0,1.4223171019815444,0.87899822591835
14,01_01_a0101135010002600076z,0.16666666666666666,0.1095528066249174,90.0,47.0,1.423377326687115,0.9293855667708171
15,01_01_a0101135010002600077z,0.6666666666666666,0.2287934895492467,31.0,15.0,1.4194437344228787,0.8034470314646628
16,01_01_a0101135010003000030z,0.6666666666666666,0.04329150172660656,26.0,11.0,1.4199700773822896,0.8412034908338342
17,01_01_a0101135010003000032z,0.6666666666666666,0.14747903929422826,36.0,13.0,1.4205406293741312,0.958819796019636
18,01_01_A0101135010003800014z,0.8333333333333334,0.3365101624703615,23.0,12.0,1.7453816977345669,1.1442622426043147
