,floorplan_name,nr_sim,fs_sim,rl_sim,rc_sim,rs_sim,rsl_sim
0,01_01_a0101135010000300016z,0.5,0.1253426715321002,23.0,9.0,1.4358085529734057,0.881406361442702
1,01_01_a0101135010000300031z,0.3333333333333333,0.7149791884457132,53.0,24.0,1.431708967354487,1.3183893299454732
2,01_01_a0101135010000300042z,0.3333333333333333,1.105468563157089,52.0,25.0,1.4437334143255218,1.3456777907663908
3,01_01_a0101135010001100026z,0.16666666666666666,1.094747754135639,67.0,29.0,1.4398384338723007,1.4227196490601781
4,01_01_a0101135010001100037z,0.16666666666666666,1.0911502393073305,67.0,29.0,1.4402666035105696,1.423146842524294
5,01_01_A0101135010001900032z,0.3333333333333333,1.2128374766879952,51.0,30.0,1.4417606107083163,1.3251427565828824
6,01_01_A0101135010001900041z,0.3333333333333333,1.0223212223236045,66.0,34.0,1.4465473518182268,1.3606326201666437
7,01_01_a0101135010002200032A,0.5,0.6784296412053764,45.0,21.0,1.4326843777528238,1.2952383924169748
8,01_01_a0101135010002200032B,0.5,1.1053205325577833,49.0,22.0,1.4416942049285428,1.3237463322957521
9,01_01_a0101135010002200032D,0.5,1.0796707887700534,56.0,24.0,1.4378819870704898,1.3562773792654899
10,01_01_A0101135010002600058a,0.16666666666666666,1.0416635719944545,97.0,48.0,1.4445383986359983,1.4594987250189093
11,01_01_A0101135010002600058b,0.16666666666666666,0.9375307596814948,81.0,34.0,1.4422392043887349,1.3429840935725892
12,01_01_A0101135010002600058c,0.16666666666666666,0.9375307596814948,81.0,34.0,1.4424562077452556,1.3504688517030743
13,01_01_A0101135010002600066z,0.16666666666666666,0.6992029984056478,85.0,34.0,1.4455962682266832,1.2862439286624343
14,01_01_a0101135010002600076z,0.16666666666666666,0.6498162811775428,101.0,49.0,1.4515396757633916,1.2242999974050797
15,01_01_a0101135010002600077z,0.5,0.8587005982532134,39.0,18.0,1.4340159878072785,1.1341156549522164
16,01_01_a0101135010003000030z,0.5,0.7557855895290667,32.0,18.0,1.4277625608567164,1.226691065371759
17,01_01_a0101135010003000032z,0.5,0.8599731270966884,46.0,18.0,1.4389537282152518,1.3338734233456409
18,01_01_A0101135010003800014z,0.8333333333333334,0.3759839253320987,9.0,3.0,1.7453420527886108,1.0991280049102143
19,01_01_a0101135010004900033A,0.5,1.1223912536338512,44.0,20.0,1.4349654496459323,1.3905706937676194
20,01_01_a0101135010004900038z,0.5,1.086973020007376,49.0,21.0,1.435915002484752,1.3167665018688834
21,01_01_a0101135010004900043z,0.5,1.0193308096059033,58.0,25.0,1.438998936686901,1.413915675207057
22,01_01_a0101135010005200042z,0.3333333333333333,0.7620628188579507,83.0,34.0,1.4462449278432894,1.448391780731368
23,01_01_a0101135010005200043z,0.3333333333333333,0.9198343259363324,69.0,27.0,1.4400150889659291,1.4228841960900789
24,01_01_a0101135010005200054z,0.3333333333333333,1.070279804115322,91.0,38.0,1.4457051597696775,1.3620952975281082
25,01_01_a0101135010005600032z,0.5,1.1641458658168171,64.0,26.0,1.4390588514226588,1.3564729497916856
26,01_01_A0101135080001200060z,0.3333333333333333,1.0263001198503117,75.0,33.0,1.4451652492757583,1.3904568282469203
27,01_01_a0101135080001400034z,0.3333333333333333,1.1679703735003186,50.0,23.0,1.4379496386843051,1.5173307094940018
28,01_01_a0101135080001800024A,0.3333333333333333,0.6655112842690446,50.0,24.0,1.4346539821574504,1.2631232103434376
29,01_01_a0101135080001800034z,0.3333333333333333,1.2607536461416773,58.0,26.0,1.4335805486692583,1.3997742469623384
30,01_01_a0101135080002300017z,0.5,0.542795364095233,36.0,16.0,1.74227795420981,1.241547977484547
31,01_01_a0101135080002300020z,0.5,0.5440072040292264,38.0,16.0,1.7423348418639748,1.2391010929045831
32,01_01_A0101135080004400016z,0.8333333333333334,0.02617910413808544,9.0,3.0,1.7362011885522572,0.8813076390707091
33,01_01_A0101135080004400020z,0.5,0.7091664125482656,22.0,11.0,1.740732280187606,1.1970779831070903
34,01_01_A0101135080004400021z,0.6666666666666666,0.2057480801517224,14.0,4.0,1.7397029614064368,1.0226116210499
35,01_01_A0101135080004400032z,0.5,0.7247914125482656,24.0,9.0,1.4267910688756906,1.2331952400075898
36,01_01_A0101135080004400047z,0.3333333333333333,0.883762564369182,61.0,28.0,1.4328141745936624,1.3989091447576056
37,01_01_a0101135080004500034A,0.3333333333333333,1.0990745730110223,44.0,20.0,1.4415130559360452,1.4560127867963244
38,01_01_a0101135080005500017z,0.6666666666666666,0.9961498555458692,16.0,4.0,1.743620382540735,1.499513829105153
39,01_01_a0101135080005500019z,0.6666666666666666,0.9802452829812568,20.0,4.0,1.7433170354521017,1.487064606596053
40,01_01_a0101135080005500022z,0.6666666666666666,0.9729942002989936,20.0,4.0,1.742519085325592,1.4678062522974775
41,01_01_a0101135080005500026z,0.6666666666666666,0.9729942002989936,17.0,4.0,1.7420472016851867,1.4118010916120658
42,01_01_A0101135080005700022z,0.5,0.5354031950256071,48.0,19.0,1.4294680730756093,1.1042196249738478
